Day,Date,Time(ET),At,Favorite,Score,Spread,At,Underdog,Over/Under
Thu,"Dec 22, 2016",8:25,@,Philadelphia Eagles,W 24-19,W -1.5,,New York Giants,O 42.5,
Sat,"Dec 24, 2016",1:00,@,Buffalo Bills,L 31-34 (OT),L -4.5,,Miami Dolphins,O 44.5,
Sat,"Dec 24, 2016",1:00,,Atlanta Falcons,W 33-16,W -3,@,Carolina Panthers,P 49,
Sat,"Dec 24, 2016",1:00,,Washington Redskins,W 41-21,W -3,@,Chicago Bears,O 49,
Sat,"Dec 24, 2016",1:00,,San Diego Chargers,L 17-20,L -4.5,@,Cleveland Browns,U 45,
Sat,"Dec 24, 2016",1:00,@,Green Bay Packers,W 38-25,W -6,,Minnesota Vikings,O 44.5,
Sat,"Dec 24, 2016",1:00,,Tennessee Titans,L 17-38,L -4,@,Jacksonville Jaguars,O 44,
Sat,"Dec 24, 2016",1:00,@,New England Patriots,W 41-3,W -17,,New York Jets,U 45,
Sat,"Dec 24, 2016",4:05,@,Oakland Raiders,W 33-25,W -3.5,,Indianapolis Colts,O 52,
Sat,"Dec 24, 2016",4:25,@,Los Angeles Rams,L 21-22,L -6,,San Francisco 49ers,O 39.5,
Sat,"Dec 24, 2016",4:25,@,New Orleans Saints,W 31-24,W -3,,Tampa Bay Buccaneers,O 53,
Sat,"Dec 24, 2016",4:25,@,Seattle Seahawks,L 31-34,L -9,,Arizona Cardinals,O 43.5,
Sat,"Dec 24, 2016",8:25,@,Houston Texans,W 12-10,L -3,,Cincinnati Bengals,U 41.5,
Sun,"Dec 25, 2016",4:30,@,Pittsburgh Steelers,W 31-27,L -5.5,,Baltimore Ravens,O 46.5,
Sun,"Dec 25, 2016",8:30,@,Kansas City Chiefs,W 33-10,W -3.5,,Denver Broncos,O 38,
Mon,"Dec 26, 2016",8:30,@,Dallas Cowboys,W 42-21,W -6.5,,Detroit Lions,O 46.5,
