Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Thu,"Sep 22, 2016",8:26,@,New England Patriots,W 27-0,W PK,,Houston Texans,U 38.5,
Sun,"Sep 25, 2016",1:02,,Arizona Cardinals,L 18-33,L -5,@,Buffalo Bills,O 48,
Sun,"Sep 25, 2016",1:02,@,Carolina Panthers,L 10-22,L -6,,Minnesota Vikings,U 43,
Sun,"Sep 25, 2016",1:02,@,Cincinnati Bengals,L 17-29,L -3.5,,Denver Broncos,O 42,
Sun,"Sep 25, 2016",1:02,@,Green Bay Packers,W 34-27,W -6,,Detroit Lions,O 47.5,
Sun,"Sep 25, 2016",1:02,,Baltimore Ravens,W 19-17,L -2.5,@,Jacksonville Jaguars,U 45,
Sun,"Sep 25, 2016",1:02,@,Miami Dolphins,W 30-24 (OT),L -10,,Cleveland Browns,O 42,
Sun,"Sep 25, 2016",1:02,@,New York Giants,L 27-29,L -3.5,,Washington Redskins,O 47,
Sun,"Sep 25, 2016",1:02,,Oakland Raiders,W 17-10,W -1.5,@,Tennessee Titans,U 47,
Sun,"Sep 25, 2016",4:05,@,Seattle Seahawks,W 37-18,W -10.5,,San Francisco 49ers,O 42,
Sun,"Sep 25, 2016",4:05,@,Tampa Bay Buccaneers,L 32-37,L -3.5,,Los Angeles Rams,O 40.5,
Sun,"Sep 25, 2016",4:25,@,Indianapolis Colts,W 26-22,W -1.5,,San Diego Chargers,U 51.5,
Sun,"Sep 25, 2016",4:25,,Pittsburgh Steelers,L 3-34,L -3.5,@,Philadelphia Eagles,U 46.5,
Sun,"Sep 25, 2016",4:26,@,Kansas City Chiefs,W 24-3,W -3,,New York Jets,U 44.5,
Sun,"Sep 25, 2016",8:31,@,Dallas Cowboys,W 31-17,W -6.5,,Chicago Bears,O 44.5,
Mon,"Sep 26, 2016",8:30,@,New Orleans Saints,L 32-45,L -2.5,,Atlanta Falcons,O 54,
