Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Thu,"Nov 16, 2017",8:25,@,Pittsburgh Steelers,W 40-17,W -7,,Tennessee Titans,O 44.5,
Sun,"Nov 19, 2017",1:00,,Detroit Lions,W 27-24,P -3,@,Chicago Bears,O 41,
Sun,"Nov 19, 2017",1:00,,Jacksonville Jaguars,W 19-7,W -7.5,@,Cleveland Browns,U 37,
Sun,"Nov 19, 2017",1:00,,Baltimore Ravens,W 23-0,W -2.5,@,Green Bay Packers,U 38.5,
Sun,"Nov 19, 2017",1:00,@,Houston Texans,W 31-21,W -2.5,,Arizona Cardinals,O 38,
Sun,"Nov 19, 2017",1:00,,Tampa Bay Buccaneers,W 30-20,W -1,@,Miami Dolphins,O 44,
Sun,"Nov 19, 2017",1:00,@,Minnesota Vikings,W 24-7,W -1,,Los Angeles Rams,U 46,
Sun,"Nov 19, 2017",1:00,@,New Orleans Saints,W 34-31 (OT),L -9.5,,Washington Redskins,O 52.5,
Sun,"Nov 19, 2017",1:00,,Kansas City Chiefs,L 9-12 (OT),L -10,@,New York Giants,U 44.5,
Sun,"Nov 19, 2017",4:05,@,Los Angeles Chargers,W 54-24,W -7,,Buffalo Bills,O 41.5,
Sun,"Nov 19, 2017",4:25,@,Denver Broncos,L 17-20,L -2.5,,Cincinnati Bengals,U 37.5,
Sun,"Nov 19, 2017",4:25,N,New England Patriots,W 33-8,W -7,,Oakland Raiders,U 55,at Mexico City
Sun,"Nov 19, 2017",8:30,,Philadelphia Eagles,W 37-9,W -6,@,Dallas Cowboys,U 48,
Mon,"Nov 20, 2017",8:30,,Atlanta Falcons,W 34-31,W -1,@,Seattle Seahawks,O 46,
