Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Thu,"Dec 7, 2017",8:25,@,Atlanta Falcons,W 20-17,W -2.5,,New Orleans Saints,U 51.5,
Sun,"Dec 10, 2017",1:00,@,Buffalo Bills,W 13-7 (OT),W -3.5,,Indianapolis Colts,U 36.5,
Sun,"Dec 10, 2017",1:00,,Minnesota Vikings,L 24-31,L -2.5,@,Carolina Panthers,O 40.5,
Sun,"Dec 10, 2017",1:00,@,Cincinnati Bengals,L 7-33,L -6,,Chicago Bears,U 40.5,
Sun,"Dec 10, 2017",1:00,,Green Bay Packers,W 27-21 (OT),W -2.5,@,Cleveland Browns,O 38.5,
Sun,"Dec 10, 2017",1:00,@,Houston Texans,L 16-26,L -1,,San Francisco 49ers,U 45.5,
Sun,"Dec 10, 2017",1:00,@,Kansas City Chiefs,W 26-15,W -4.5,,Oakland Raiders,U 48.5,
Sun,"Dec 10, 2017",1:00,,Dallas Cowboys,W 30-10,W -4,@,New York Giants,U 42,
Sun,"Dec 10, 2017",1:00,@,Tampa Bay Buccaneers,L 21-24,L PK,,Detroit Lions,U 47.5,
Sun,"Dec 10, 2017",4:05,,Tennessee Titans,L 7-12,L -2.5,@,Arizona Cardinals,U 42,
Sun,"Dec 10, 2017",4:05,,New York Jets,L 0-23,L -1,@,Denver Broncos,U 40.5,
Sun,"Dec 10, 2017",4:05,@,Los Angeles Chargers,W 30-13,W -6,,Washington Redskins,U 46.5,
Sun,"Dec 10, 2017",4:25,@,Jacksonville Jaguars,W 30-24,W -3,,Seattle Seahawks,O 41,
Sun,"Dec 10, 2017",4:25,@,Los Angeles Rams,L 35-43,L -1,,Philadelphia Eagles,O 47.5,
Sun,"Dec 10, 2017",8:30,@,Pittsburgh Steelers,W 39-38,L -6,,Baltimore Ravens,O 43,
Mon,"Dec 11, 2017",8:30,,New England Patriots,L 20-27,L -10.5,@,Miami Dolphins,U 48,
