Day,Date,Time(ET),At,Favorite,Score,Spread,At,Underdog,Over/Under
Thu,"Dec 14, 2017",8:25,,Denver Broncos,W 25-13,W -3,@,Indianapolis Colts,U 40.5,
Sat,"Dec 16, 2017",4:30,@,Detroit Lions,W 20-10,W -5,,Chicago Bears,U 43.5,
Sat,"Dec 16, 2017",8:25,@,Kansas City Chiefs,W 30-13,W -1,,Los Angeles Chargers,U 47,
Sun,"Dec 17, 2017",1:00,@,Buffalo Bills,W 24-16,W -3.5,,Miami Dolphins,O 39.5,
Sun,"Dec 17, 2017",1:00,@,Carolina Panthers,W 31-24,W -3,,Green Bay Packers,O 46.5,
Sun,"Dec 17, 2017",1:00,,Baltimore Ravens,W 27-10,W -6.5,@,Cleveland Browns,U 42,
Sun,"Dec 17, 2017",1:00,@,Jacksonville Jaguars,W 45-7,W -10.5,,Houston Texans,O 39,
Sun,"Dec 17, 2017",1:00,@,Minnesota Vikings,W 34-7,W -12.5,,Cincinnati Bengals,U 42.5,
Sun,"Dec 17, 2017",1:00,@,New Orleans Saints,W 31-19,L -16.5,,New York Jets,O 47,
Sun,"Dec 17, 2017",1:00,,Philadelphia Eagles,W 34-29,L -7.5,@,New York Giants,O 40.5,
Sun,"Dec 17, 2017",1:00,@,Washington Redskins,W 20-15,W -4,,Arizona Cardinals,U 40,
Sun,"Dec 17, 2017",4:05,,Los Angeles Rams,W 42-7,W -1,@,Seattle Seahawks,O 47.5,
Sun,"Dec 17, 2017",4:25,,New England Patriots,W 27-24,W -2.5,@,Pittsburgh Steelers,U 52.5,
Sun,"Dec 17, 2017",4:25,@,San Francisco 49ers,W 25-23,L -2.5,,Tennessee Titans,O 44.5,
Sun,"Dec 17, 2017",8:30,,Dallas Cowboys,W 20-17,P -3,@,Oakland Raiders,U 46,
Mon,"Dec 18, 2017",8:30,,Atlanta Falcons,W 24-21,L -7,@,Tampa Bay Buccaneers,U 49.5,
