Day,Date,Time(ET),At,Favorite,Score,Spread,At,Underdog,Over/Under
Thu,"Sep 14, 2017",8:25,@,Cincinnati Bengals,L 9-13,L -5,,Houston Texans,U 38,
Sun,"Sep 17, 2017",1:00,@,Baltimore Ravens,W 24-10,W -7.5,,Cleveland Browns,U 39.5,
Sun,"Sep 17, 2017",1:00,@,Carolina Panthers,W 9-3,L -6.5,,Buffalo Bills,U 43,
Sun,"Sep 17, 2017",1:00,,Arizona Cardinals,W 16-13 (OT),L -7,@,Indianapolis Colts,U 44,
Sun,"Sep 17, 2017",1:00,,Tennessee Titans,W 37-16,W -1,@,Jacksonville Jaguars,O 42,
Sun,"Sep 17, 2017",1:00,@,Kansas City Chiefs,W 27-20,W -4,,Philadelphia Eagles,O 46.5,
Sun,"Sep 17, 2017",1:00,,New England Patriots,W 36-20,W -5.5,@,New Orleans Saints,O 55,
Sun,"Sep 17, 2017",1:00,@,Pittsburgh Steelers,W 26-9,W -8.5,,Minnesota Vikings,U 43,
Sun,"Sep 17, 2017",1:00,@,Tampa Bay Buccaneers,W 29-7,W -7,,Chicago Bears,U 44,
Sun,"Sep 17, 2017",4:05,@,Los Angeles Chargers,L 17-19,L -3.5,,Miami Dolphins,U 46,
Sun,"Sep 17, 2017",4:05,@,Oakland Raiders,W 45-20,W -14,,New York Jets,O 44,
Sun,"Sep 17, 2017",4:25,,Dallas Cowboys,L 17-42,L -2.5,@,Denver Broncos,O 44,
Sun,"Sep 17, 2017",4:25,@,Los Angeles Rams,L 20-27,L -3,,Washington Redskins,O 46.5,
Sun,"Sep 17, 2017",4:25,@,Seattle Seahawks,W 12-9,L -13.5,,San Francisco 49ers,U 42,
Sun,"Sep 17, 2017",8:30,@,Atlanta Falcons,W 34-23,W -3,,Green Bay Packers,O 55,
Mon,"Sep 18, 2017",8:30,@,New York Giants,L 10-24,L -3,,Detroit Lions,U 42,
