Arizona Cardinals,3-13 (18.8%),7-8-1  (46.7%),0-2 (0.0%),0-2-0  (0.0%),1-7 (12.5%),3-5-0 (37.5%),0-2 (0.0%),0-2-0 (0.0%),7-9-0 (43.8%)
Atlanta Falcons,7-9 (43.8%),5-11  (31.3%),6-5 (54.5%),4-7-0  (36.4%),4-4 (50.0%),3-5-0 (37.5%),4-4 (50.0%),3-5-0 (37.5%),9-7-0 (56.3%)
Baltimore Ravens,10-6 (62.5%),8-8  (50.0%),7-4 (63.6%),4-7-0  (36.4%),6-2 (75.0%),3-5-0 (37.5%),6-2 (75.0%),3-5-0 (37.5%),7-9-0 (43.8%)
Buffalo Bills,6-10 (37.5%),7-9  (43.8%),2-1 (66.7%),1-2-0  (33.3%),4-4 (50.0%),3-5-0 (37.5%),2-1 (66.7%),1-2-0 (33.3%),7-9-0 (43.8%)
Carolina Panthers,7-9 (43.8%),7-9  (43.8%),4-5 (44.4%),3-6-0  (33.3%),5-3 (62.5%),5-3-0 (62.5%),4-1 (80.0%),3-2-0 (60.0%),8-8-0 (50.0%)
Chicago Bears,12-4 (75.0%),12-4  (75.0%),10-2 (83.3%),9-3-0  (75.0%),7-1 (87.5%),7-1-0 (87.5%),6-0 (100.%),6-0-0 (100.%),8-8-0 (50.0%)
Cincinnati Bengals,6-10 (37.5%),9-7  (56.3%),5-1 (83.3%),4-2-0  (66.7%),4-4 (50.0%),3-5-0 (37.5%),4-1 (80.0%),3-2-0 (60.0%),8-6-2 (57.1%)
Cleveland Browns,7-8-1 (46.7%),10-6  (62.5%),3-1 (75.0%),2-2-0  (50.0%),5-2 (71.4%),5-3-0 (62.5%),2-1 (66.7%),1-2-0 (33.3%),7-8-1 (46.7%)
Dallas Cowboys,10-6 (62.5%),9-7  (56.3%),5-2 (71.4%),3-4-0  (42.9%),7-1 (87.5%),5-3-0 (62.5%),5-1 (83.3%),3-3-0 (50.0%),7-9-0 (43.8%)
Denver Broncos,6-10 (37.5%),6-9-1  (40.0%),4-4 (50.0%),2-5-1  (28.6%),3-5 (37.5%),2-5-1 (28.6%),2-2 (50.0%),0-3-1 (0.0%),3-12-1 (20.0%)
Detroit Lions,6-10 (37.5%),9-7  (56.3%),3-2 (60.0%),3-2-0  (60.0%),3-5 (37.5%),3-5-0 (37.5%),1-2 (33.3%),1-2-0 (33.3%),6-10-0 (37.5%)
Green Bay Packers,6-9-1 (40.0%),6-9-1  (40.0%),6-3 (66.7%),4-5-0  (44.4%),5-2 (71.4%),4-4-0 (50.0%),5-2 (71.4%),3-4-0 (42.9%),8-8-0 (50.0%)
Houston Texans,11-5 (68.8%),7-8-1  (46.7%),9-3 (75.0%),5-6-1  (45.5%),6-2 (75.0%),4-4-0 (50.0%),6-2 (75.0%),4-4-0 (50.0%),7-9-0 (43.8%)
Indianapolis Colts,10-6 (62.5%),8-7-1  (53.3%),8-1 (88.9%),5-3-1  (62.5%),6-2 (75.0%),3-4-1 (42.9%),6-0 (100.%),3-2-1 (60.0%),8-8-0 (50.0%)
Jacksonville Jaguars,5-11 (31.3%),5-9-2  (35.7%),2-5 (28.6%),2-5-0  (28.6%),3-5 (37.5%),3-4-1 (42.9%),1-3 (25.0%),1-3-0 (25.0%),6-10-0 (37.5%)
Kansas City Chiefs,12-4 (75.0%),9-6-1  (60.0%),10-2 (83.3%),6-6-0  (50.0%),7-1 (87.5%),4-4-0 (50.0%),7-1 (87.5%),4-4-0 (50.0%),10-5-1 (66.7%)
Los Angeles Chargers,12-4 (75.0%),9-7  (56.3%),8-3 (72.7%),5-6-0  (45.5%),4-3 (57.1%),2-5-0 (28.6%),4-3 (57.1%),2-5-0 (28.6%),8-8-0 (50.0%)
Los Angeles Rams,13-3 (81.3%),7-8-1  (46.7%),13-3 (81.3%),7-8-1  (46.7%),7-1 (87.5%),3-4-1 (42.9%),7-1 (87.5%),3-4-1 (42.9%),8-8-0 (50.0%)
Miami Dolphins,7-9 (43.8%),8-8  (50.0%),3-1 (75.0%),3-1-0  (75.0%),6-2 (75.0%),6-2-0 (75.0%),3-1 (75.0%),3-1-0 (75.0%),8-8-0 (50.0%)
Minnesota Vikings,8-7-1 (53.3%),8-7-1  (53.3%),7-2 (77.8%),6-3-1  (66.7%),5-3 (62.5%),4-3-1 (57.1%),5-2 (71.4%),4-2-1 (66.7%),6-10-0 (37.5%)
New England Patriots,11-5 (68.8%),9-7  (56.3%),11-5 (68.8%),9-7-0  (56.3%),8-0 (100.%),6-2-0 (75.0%),8-0 (100.%),6-2-0 (75.0%),5-11-0 (31.3%)
New Orleans Saints,13-3 (81.3%),10-6  (62.5%),10-3 (76.9%),7-6-0  (53.8%),6-2 (75.0%),4-4-0 (50.0%),5-2 (71.4%),3-4-0 (42.9%),7-9-0 (43.8%)
New York Giants,5-11 (31.3%),8-7-1  (53.3%),2-1 (66.7%),1-1-1  (50.0%),2-6 (25.0%),1-6-1 (14.3%),1-1 (50.0%),0-1-1 (0.0%),9-7-0 (56.3%)
New York Jets,4-12 (25.0%),5-10-1  (33.3%),2-2 (50.0%),2-2-0  (50.0%),2-6 (25.0%),2-5-1 (28.6%),2-2 (50.0%),2-2-0 (50.0%),10-6-0 (62.5%)
Oakland Raiders,4-12 (25.0%),6-10  (37.5%),1-1 (50.0%),1-1-0  (50.0%),3-4 (42.9%),4-3-0 (57.1%),1-0 (100.%),1-0-0 (100.%),6-9-1 (40.0%)
Philadelphia Eagles,9-7 (56.3%),7-9  (43.8%),8-5 (61.5%),6-7-0  (46.2%),5-3 (62.5%),3-5-0 (37.5%),5-3 (62.5%),3-5-0 (37.5%),7-9-0 (43.8%)
