Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Thu,"Sep 6, 2018",8:20,@,Philadelphia Eagles,W 18-12,W -1,,Atlanta Falcons,U 44.5,
Sun,"Sep 9, 2018",1:00,@,Baltimore Ravens,W 47-3,W -7.5,,Buffalo Bills,O 39,
Sun,"Sep 9, 2018",1:00,,Pittsburgh Steelers,T 21-21 (OT),L -3.5,@,Cleveland Browns,O 41,
Sun,"Sep 9, 2018",1:00,,Cincinnati Bengals,W 34-23,W -1,@,Indianapolis Colts,O 47.5,
Sun,"Sep 9, 2018",1:00,,Tennessee Titans,L 20-27,L -1,@,Miami Dolphins,O 43.5,
Sun,"Sep 9, 2018",1:00,@,Minnesota Vikings,W 24-16,W -6,,San Francisco 49ers,U 46.5,
Sun,"Sep 9, 2018",1:00,@,New England Patriots,W 27-20,W -6,,Houston Texans,U 49.5,
Sun,"Sep 9, 2018",1:00,@,New Orleans Saints,L 40-48,L -10,,Tampa Bay Buccaneers,O 50,
Sun,"Sep 9, 2018",1:00,,Jacksonville Jaguars,W 20-15,W -2.5,@,New York Giants,U 43,
Sun,"Sep 9, 2018",4:05,@,Los Angeles Chargers,L 28-38,L -3.5,,Kansas City Chiefs,O 48,
Sun,"Sep 9, 2018",4:25,@,Arizona Cardinals,L 6-24,L -2,,Washington Redskins,U 43.5,
Sun,"Sep 9, 2018",4:25,@,Carolina Panthers,W 16-8,W -2.5,,Dallas Cowboys,U 42.5,
Sun,"Sep 9, 2018",4:25,@,Denver Broncos,W 27-24,P -3,,Seattle Seahawks,O 42.5,
Sun,"Sep 9, 2018",8:20,@,Green Bay Packers,W 24-23,L -6.5,,Chicago Bears,O 45,
Mon,"Sep 10, 2018",7:10,@,Detroit Lions,L 17-48,L -7,,New York Jets,O 44,
Mon,"Sep 10, 2018",10:20,,Los Angeles Rams,W 33-13,W -6.5,@,Oakland Raiders,U 47.5,
