Day,Date,Time(ET),At,Favorite,Score,Spread,At,Underdog,Over/Under
Thu,"Nov 29, 2018",8:20,,New Orleans Saints,L 10-13,L -7.5,@,Dallas Cowboys,U 51.5,
Sun,"Dec 2, 2018",1:00,@,Atlanta Falcons,L 16-26,L -2.5,,Baltimore Ravens,U 46.5,
Sun,"Dec 2, 2018",1:00,,Denver Broncos,W 24-10,W -4,@,Cincinnati Bengals,U 45,
Sun,"Dec 2, 2018",1:00,,Los Angeles Rams,W 30-16,W -10.5,@,Detroit Lions,U 54,
Sun,"Dec 2, 2018",1:00,@,Green Bay Packers,L 17-20,L -13.5,,Arizona Cardinals,U 41,
Sun,"Dec 2, 2018",1:00,@,Houston Texans,W 29-13,W -5,,Cleveland Browns,U 47.5,
Sun,"Dec 2, 2018",1:00,,Indianapolis Colts,L 0-6,L -4,@,Jacksonville Jaguars,U 45.5,
Sun,"Dec 2, 2018",1:00,@,Miami Dolphins,W 21-17,W -3.5,,Buffalo Bills,U 40,
Sun,"Dec 2, 2018",1:00,,Chicago Bears,L 27-30 (OT),L -4,@,New York Giants,O 44,
Sun,"Dec 2, 2018",1:00,,Carolina Panthers,L 17-24,L -3.5,@,Tampa Bay Buccaneers,U 52,
Sun,"Dec 2, 2018",4:05,,Kansas City Chiefs,W 40-33,L -14,@,Oakland Raiders,O 53.5,
Sun,"Dec 2, 2018",4:05,@,Tennessee Titans,W 26-22,L -10.5,,New York Jets,O 40.5,
Sun,"Dec 2, 2018",4:25,@,New England Patriots,W 24-10,W -6,,Minnesota Vikings,U 49.5,
Sun,"Dec 2, 2018",4:25,@,Seattle Seahawks,W 43-16,W -10,,San Francisco 49ers,O 45.5,
Sun,"Dec 2, 2018",8:20,@,Pittsburgh Steelers,L 30-33,L -3,,Los Angeles Chargers,O 52.5,
Mon,"Dec 3, 2018",8:15,@,Philadelphia Eagles,W 28-13,W -5.5,,Washington Redskins,U 45,
