Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Thu,"Oct 11, 2018",8:20,,Philadelphia Eagles,W 34-13,W -1.5,@,New York Giants,O 45,
Sun,"Oct 14, 2018",1:00,@,Atlanta Falcons,W 34-29,W -3,,Tampa Bay Buccaneers,O 57,
Sun,"Oct 14, 2018",1:00,@,Cincinnati Bengals,L 21-28,L -1.5,,Pittsburgh Steelers,U 49.5,
Sun,"Oct 14, 2018",1:00,@,Cleveland Browns,L 14-38,L -1,,Los Angeles Chargers,O 47,
Sun,"Oct 14, 2018",1:00,@,Houston Texans,W 20-13,L -10.5,,Buffalo Bills,U 40.5,
Sun,"Oct 14, 2018",1:00,,Chicago Bears,L 28-31 (OT),L -7.5,@,Miami Dolphins,O 40.5,
Sun,"Oct 14, 2018",1:00,@,Minnesota Vikings,W 27-17,P -10,,Arizona Cardinals,O 43.5,
Sun,"Oct 14, 2018",1:00,@,New York Jets,W 42-34,W -2.5,,Indianapolis Colts,O 47.5,
Sun,"Oct 14, 2018",1:00,N,Seattle Seahawks,W 27-3,W -3,,Oakland Raiders,U 48,at London
Sun,"Oct 14, 2018",1:00,,Carolina Panthers,L 17-23,L -1,@,Washington Redskins,U 44.5,
Sun,"Oct 14, 2018",4:05,,Los Angeles Rams,W 23-20,L -7,@,Denver Broncos,U 50,
Sun,"Oct 14, 2018",4:25,,Jacksonville Jaguars,L 7-40,L -3,@,Dallas Cowboys,O 39,
Sun,"Oct 14, 2018",4:25,,Baltimore Ravens,W 21-0,W -2.5,@,Tennessee Titans,U 43.5,
Sun,"Oct 14, 2018",8:20,@,New England Patriots,W 43-40,L -3.5,,Kansas City Chiefs,O 59.5,
Mon,"Oct 15, 2018",8:15,@,Green Bay Packers,W 33-30,L -9,,San Francisco 49ers,O 46.5,
