Day,Date,Time(ET),At,Favorite,Score,Spread,At,Underdog,Over/Under
Thu,"Oct 18, 2018",8:20,,Denver Broncos,W 45-10,W -1,@,Arizona Cardinals,O 42.5,
Sun,"Oct 21, 2018",9:30,N,Los Angeles Chargers,W 20-19,L -6.5,,Tennessee Titans,U 46,at London
Sun,"Oct 21, 2018",1:00,,New England Patriots,W 38-31,W -1,@,Chicago Bears,O 48.5,
Sun,"Oct 21, 2018",1:00,@,Indianapolis Colts,W 37-5,W -7,,Buffalo Bills,U 43.5,
Sun,"Oct 21, 2018",1:00,@,Jacksonville Jaguars,L 7-20,L -3.5,,Houston Texans,U 42.5,
Sun,"Oct 21, 2018",1:00,,Detroit Lions,W 32-21,W -3,@,Miami Dolphins,O 47,
Sun,"Oct 21, 2018",1:00,,Minnesota Vikings,W 37-17,W -3.5,@,New York Jets,O 45,
Sun,"Oct 21, 2018",1:00,@,Philadelphia Eagles,L 17-21,L -5,,Carolina Panthers,U 45,
Sun,"Oct 21, 2018",1:00,@,Tampa Bay Buccaneers,W 26-23 (OT),L -3.5,,Cleveland Browns,U 52.5,
Sun,"Oct 21, 2018",4:05,@,Baltimore Ravens,L 23-24,L -2.5,,New Orleans Saints,U 49,
Sun,"Oct 21, 2018",4:25,,Los Angeles Rams,W 39-10,W -8,@,San Francisco 49ers,U 52,
Sun,"Oct 21, 2018",4:25,,Dallas Cowboys,L 17-20,L -1,@,Washington Redskins,U 40.5,
Sun,"Oct 21, 2018",8:20,@,Kansas City Chiefs,W 45-10,W -6.5,,Cincinnati Bengals,U 56,
Mon,"Oct 22, 2018",8:15,@,Atlanta Falcons,W 23-20,L -4.5,,New York Giants,U 52,
