Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Thu,"Oct 25, 2018",8:20,@,Houston Texans,W 42-23,W -7.5,,Miami Dolphins,O 45,
Sun,"Oct 28, 2018",1:00,,Baltimore Ravens,L 21-36,L -2.5,@,Carolina Panthers,O 44,
Sun,"Oct 28, 2018",1:00,@,Chicago Bears,W 24-10,W -8.5,,New York Jets,U 42.5,
Sun,"Oct 28, 2018",1:00,@,Cincinnati Bengals,W 37-34,L -3.5,,Tampa Bay Buccaneers,O 55,
Sun,"Oct 28, 2018",1:00,@,Detroit Lions,L 14-28,L -3,,Seattle Seahawks,U 48,
Sun,"Oct 28, 2018",1:00,@,Kansas City Chiefs,W 30-23,L -8.5,,Denver Broncos,P 53,
Sun,"Oct 28, 2018",1:00,,Washington Redskins,W 20-13,W -1,@,New York Giants,U 44,
Sun,"Oct 28, 2018",1:00,@,Pittsburgh Steelers,W 33-18,W -8.5,,Cleveland Browns,O 47.5,
Sun,"Oct 28, 2018",4:05,,Indianapolis Colts,W 42-28,W -3.5,@,Oakland Raiders,O 51,
Sun,"Oct 28, 2018",4:25,,San Francisco 49ers,L 15-18,L -2.5,@,Arizona Cardinals,U 40,
Sun,"Oct 28, 2018",4:25,@,Los Angeles Rams,W 29-27,L -7.5,,Green Bay Packers,U 57,
Sun,"Oct 28, 2018",8:20,,New Orleans Saints,W 30-20,W -2.5,@,Minnesota Vikings,U 53.5,
Sun,"Oct 28, 2018",9:30,,Philadelphia Eagles,W 24-18,W -3.5,@,Jacksonville Jaguars,U 44,
Mon,"Oct 29, 2018",8:15,,New England Patriots,W 25-6,W -13.5,@,Buffalo Bills,U 44.5,
