Day,Date,Time(ET),At,Favorite,Score,Spread,At,Underdog,Over/Under
Thu,"Sep 5, 2019",8:20,@,Chicago Bears,L 3-10,L -3.5,,Green Bay Packers,U 47,
Sun,"Sep 8, 2019",1:00,,Los Angeles Rams,W 30-27,W -1.5,@,Carolina Panthers,O 49.5,
Sun,"Sep 8, 2019",1:00,@,Cleveland Browns,L 13-43,L -5.5,,Tennessee Titans,O 44,
Sun,"Sep 8, 2019",1:00,,Kansas City Chiefs,W 40-26,W -3.5,@,Jacksonville Jaguars,O 49,
Sun,"Sep 8, 2019",1:00,,Baltimore Ravens,W 59-10,W -7,@,Miami Dolphins,O 41,
Sun,"Sep 8, 2019",1:00,@,Minnesota Vikings,W 28-12,W -3.5,,Atlanta Falcons,U 47,
Sun,"Sep 8, 2019",1:00,@,New York Jets,L 16-17,L -2.5,,Buffalo Bills,U 41,
Sun,"Sep 8, 2019",1:00,@,Philadelphia Eagles,W 32-27,L -10.5,,Washington Redskins,O 44,
Sun,"Sep 8, 2019",4:05,@,Los Angeles Chargers,W 30-24 (OT),P -6,,Indianapolis Colts,O 44.5,
Sun,"Sep 8, 2019",4:05,@,Seattle Seahawks,W 21-20,L -9.5,,Cincinnati Bengals,U 44,
Sun,"Sep 8, 2019",4:25,,Detroit Lions,T 27-27 (OT),L -2.5,@,Arizona Cardinals,O 45.5,
Sun,"Sep 8, 2019",4:25,@,Dallas Cowboys,W 35-17,W -7,,New York Giants,O 44,
Sun,"Sep 8, 2019",4:25,@,Tampa Bay Buccaneers,L 17-31,L -1,,San Francisco 49ers,U 51,
Sun,"Sep 8, 2019",8:20,@,New England Patriots,W 33-3,W -5.5,,Pittsburgh Steelers,U 49,
Mon,"Sep 9, 2019",7:10,@,New Orleans Saints,W 30-28,L -6.5,,Houston Texans,O 52,
Mon,"Sep 9, 2019",10:20,,Denver Broncos,L 16-24,L -3,@,Oakland Raiders,U 42.5,
