Day,Date,Time(ET),At,Favorite,Score,Spread,At,Underdog,Over/Under
Thu,"Nov 14, 2019",8:20,@,Cleveland Browns,W 21-7,W -3,,Pittsburgh Steelers,U 41.5,
Sun,"Nov 17, 2019",1:00,@,Baltimore Ravens,W 41-7,W -4,,Houston Texans,U 51,
Sun,"Nov 17, 2019",1:00,@,Carolina Panthers,L 3-29,L -3.5,,Atlanta Falcons,U 49,
Sun,"Nov 17, 2019",1:00,,Dallas Cowboys,W 35-27,W -7.5,@,Detroit Lions,O 46.5,
Sun,"Nov 17, 2019",1:00,@,Indianapolis Colts,W 33-13,W -2.5,,Jacksonville Jaguars,O 41.5,
Sun,"Nov 17, 2019",1:00,,Buffalo Bills,W 37-20,W -7,@,Miami Dolphins,O 41.5,
Sun,"Nov 17, 2019",1:00,@,Minnesota Vikings,W 27-23,L -10,,Denver Broncos,O 40.5,
Sun,"Nov 17, 2019",1:00,,New Orleans Saints,W 34-17,W -5,@,Tampa Bay Buccaneers,O 50.5,
Sun,"Nov 17, 2019",1:00,@,Washington Redskins,L 17-34,L -1,,New York Jets,O 37.5,
Sun,"Nov 17, 2019",4:05,@,San Francisco 49ers,W 36-26,P -10,,Arizona Cardinals,O 44,
Sun,"Nov 17, 2019",4:25,@,Oakland Raiders,W 17-10,L -13,,Cincinnati Bengals,U 48,
Sun,"Nov 17, 2019",4:25,,New England Patriots,W 17-10,W -4.5,@,Philadelphia Eagles,U 45,
Sun,"Nov 17, 2019",8:20,@,Los Angeles Rams,W 17-7,W -5,,Chicago Bears,U 40,
Mon,"Nov 18, 2019",8:15,N,Kansas City Chiefs,W 24-17,W -5.5,,Los Angeles Chargers,U 52.5,at Mexico City
