Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Thu,"Nov 21, 2019",8:20,@,Houston Texans,W 20-17,L -3.5,,Indianapolis Colts,U 46,
Sun,"Nov 24, 2019",1:00,@,Atlanta Falcons,L 22-35,L -3.5,,Tampa Bay Buccaneers,O 51.5,
Sun,"Nov 24, 2019",1:00,@,Buffalo Bills,W 20-3,W -3.5,,Denver Broncos,U 37,
Sun,"Nov 24, 2019",1:00,@,Chicago Bears,W 19-14,L -6,,New York Giants,U 41,
Sun,"Nov 24, 2019",1:00,,Pittsburgh Steelers,W 16-10,W -5.5,@,Cincinnati Bengals,U 37.5,
Sun,"Nov 24, 2019",1:00,@,Cleveland Browns,W 41-24,W -11,,Miami Dolphins,O 45.5,
Sun,"Nov 24, 2019",1:00,@,New Orleans Saints,W 34-31,L -10,,Carolina Panthers,O 46,
Sun,"Nov 24, 2019",1:00,,Oakland Raiders,L 3-34,L -3.5,@,New York Jets,U 45,
Sun,"Nov 24, 2019",1:00,,Seattle Seahawks,W 17-9,W -1,@,Philadelphia Eagles,U 45.5,
Sun,"Nov 24, 2019",1:00,,Detroit Lions,L 16-19,L -4,@,Washington Redskins,U 39,
Sun,"Nov 24, 2019",4:05,@,Tennessee Titans,W 42-20,W -4.5,,Jacksonville Jaguars,O 42,
Sun,"Nov 24, 2019",4:25,@,New England Patriots,W 13-9,L -5.5,,Dallas Cowboys,U 44,
Sun,"Nov 24, 2019",8:20,@,San Francisco 49ers,W 37-8,W -3,,Green Bay Packers,U 48,
Mon,"Nov 25, 2019",8:15,,Baltimore Ravens,W 45-6,W -3.5,@,Los Angeles Rams,O 47,
