Day,Date,Time(ET),At,Favorite,Score,Spread,At,Underdog,Over/Under
Thu,"Dec 5, 2019",8:20,,Dallas Cowboys,L 24-31,L -3,@,Chicago Bears,O 43,
Sun,"Dec 8, 2019",1:00,@,Atlanta Falcons,W 40-20,W -3.5,,Carolina Panthers,O 48,
Sun,"Dec 8, 2019",1:00,,Baltimore Ravens,W 24-17,W -6.5,@,Buffalo Bills,U 44,
Sun,"Dec 8, 2019",1:00,@,Cleveland Browns,W 27-19,W -6.5,,Cincinnati Bengals,O 43,
Sun,"Dec 8, 2019",1:00,@,Green Bay Packers,W 20-15,L -13,,Washington Redskins,U 42.5,
Sun,"Dec 8, 2019",1:00,@,Houston Texans,L 24-38,L -8,,Denver Broncos,O 42.5,
Sun,"Dec 8, 2019",1:00,@,Minnesota Vikings,W 20-7,W -12,,Detroit Lions,U 43.5,
Sun,"Dec 8, 2019",1:00,@,New Orleans Saints,L 46-48,L -1,,San Francisco 49ers,O 45,
Sun,"Dec 8, 2019",1:00,@,New York Jets,W 22-21,L -5,,Miami Dolphins,U 47,
Sun,"Dec 8, 2019",1:00,@,Tampa Bay Buccaneers,W 38-35,P -3,,Indianapolis Colts,O 46.5,
Sun,"Dec 8, 2019",4:05,,Los Angeles Chargers,W 45-10,W -3.5,@,Jacksonville Jaguars,O 42,
Sun,"Dec 8, 2019",4:25,,Pittsburgh Steelers,W 23-17,W -2.5,@,Arizona Cardinals,U 43.5,
Sun,"Dec 8, 2019",4:25,@,New England Patriots,L 16-23,L -3,,Kansas City Chiefs,U 49.5,
Sun,"Dec 8, 2019",4:25,,Tennessee Titans,W 42-21,W -3,@,Oakland Raiders,O 47,
Sun,"Dec 8, 2019",8:20,@,Los Angeles Rams,W 28-12,W -1,,Seattle Seahawks,U 47.5,
Mon,"Dec 9, 2019",8:15,@,Philadelphia Eagles,W 23-17 (OT),L -9.5,,New York Giants,U 45.5,
