Day,Date,Time(ET),At,Favorite,Score,Spread,At,Underdog,Over/Under
Thu,"Dec 12, 2019",8:20,@,Baltimore Ravens,W 42-21,W -17,,New York Jets,O 44,
Sun,"Dec 15, 2019",1:00,,Seattle Seahawks,W 30-24,P -6,@,Carolina Panthers,O 48.5,
Sun,"Dec 15, 2019",1:00,,New England Patriots,W 34-13,W -10.5,@,Cincinnati Bengals,O 42,
Sun,"Dec 15, 2019",1:00,,Tampa Bay Buccaneers,W 38-17,W -5.5,@,Detroit Lions,O 46,
Sun,"Dec 15, 2019",1:00,@,Green Bay Packers,W 21-13,W -4,,Chicago Bears,U 40,
Sun,"Dec 15, 2019",1:00,@,Kansas City Chiefs,W 23-3,W -10,,Denver Broncos,U 43,
Sun,"Dec 15, 2019",1:00,@,New York Giants,W 36-20,W -3.5,,Miami Dolphins,O 47,
Sun,"Dec 15, 2019",1:00,@,Tennessee Titans,L 21-24,L -3,,Houston Texans,U 50,
Sun,"Dec 15, 2019",1:00,,Philadelphia Eagles,W 37-27,W -7,@,Washington Redskins,O 38,
Sun,"Dec 15, 2019",4:05,,Cleveland Browns,L 24-38,L -3,@,Arizona Cardinals,O 49,
Sun,"Dec 15, 2019",4:05,,Minnesota Vikings,W 39-10,W -1,@,Los Angeles Chargers,O 45,
Sun,"Dec 15, 2019",4:05,@,Oakland Raiders,L 16-20,L -7,,Jacksonville Jaguars,U 47,
Sun,"Dec 15, 2019",4:25,,Los Angeles Rams,L 21-44,L -1,@,Dallas Cowboys,O 48.5,
Sun,"Dec 15, 2019",4:25,@,San Francisco 49ers,L 22-29,L -10.5,,Atlanta Falcons,O 50,
Sun,"Dec 15, 2019",8:20,@,Pittsburgh Steelers,L 10-17,L -1,,Buffalo Bills,U 37,
Mon,"Dec 16, 2019",8:15,@,New Orleans Saints,W 34-7,W -8,,Indianapolis Colts,U 48.5,
