Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Thu,"Sep 26, 2019",8:20,@,Green Bay Packers,L 27-34,L -3.5,,Philadelphia Eagles,O 46,
Sun,"Sep 29, 2019",1:00,@,Atlanta Falcons,L 10-24,L -3.5,,Tennessee Titans,U 46,
Sun,"Sep 29, 2019",1:00,@,Baltimore Ravens,L 25-40,L -7.5,,Cleveland Browns,O 47,
Sun,"Sep 29, 2019",1:00,,New England Patriots,W 16-10,L -7,@,Buffalo Bills,U 41.5,
Sun,"Sep 29, 2019",1:00,,Kansas City Chiefs,W 34-30,L -7.5,@,Detroit Lions,O 54.5,
Sun,"Sep 29, 2019",1:00,@,Houston Texans,L 10-16,L -5.5,,Carolina Panthers,U 47.5,
Sun,"Sep 29, 2019",1:00,@,Indianapolis Colts,L 24-31,L -5.5,,Oakland Raiders,O 46,
Sun,"Sep 29, 2019",1:00,,Los Angeles Chargers,W 30-10,W -15,@,Miami Dolphins,U 43.5,
Sun,"Sep 29, 2019",1:00,@,New York Giants,W 24-3,W -3,,Washington Redskins,U 48,
Sun,"Sep 29, 2019",4:05,,Seattle Seahawks,W 27-10,W -5.5,@,Arizona Cardinals,U 49,
Sun,"Sep 29, 2019",4:05,@,Los Angeles Rams,L 40-55,L -9,,Tampa Bay Buccaneers,O 48.5,
Sun,"Sep 29, 2019",4:25,,Minnesota Vikings,L 6-16,L -1,@,Chicago Bears,U 38,
Sun,"Sep 29, 2019",4:25,@,Denver Broncos,L 24-26,L -2.5,,Jacksonville Jaguars,O 37,
Sun,"Sep 29, 2019",8:20,,Dallas Cowboys,L 10-12,L -2.5,@,New Orleans Saints,U 47,
Mon,"Sep 30, 2019",8:15,@,Pittsburgh Steelers,W 27-3,W -3.5,,Cincinnati Bengals,U 45.5,
