Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Thu,"Oct 17, 2019",8:20,,Kansas City Chiefs,W 30-6,W -3,@,Denver Broncos,U 49.5,
Sun,"Oct 20, 2019",1:00,,Los Angeles Rams,W 37-10,W -3,@,Atlanta Falcons,U 54.5,
Sun,"Oct 20, 2019",1:00,@,Buffalo Bills,W 31-21,L -17,,Miami Dolphins,O 42.5,
Sun,"Oct 20, 2019",1:00,,Jacksonville Jaguars,W 27-17,W -4,@,Cincinnati Bengals,U 44.5,
Sun,"Oct 20, 2019",1:00,,Minnesota Vikings,W 42-30,W -2.5,@,Detroit Lions,O 43.5,
Sun,"Oct 20, 2019",1:00,@,Green Bay Packers,W 42-24,W -5.5,,Oakland Raiders,O 48,
Sun,"Oct 20, 2019",1:00,@,Indianapolis Colts,W 30-23,W -1.5,,Houston Texans,O 46.5,
Sun,"Oct 20, 2019",1:00,@,New York Giants,L 21-27,L -3.5,,Arizona Cardinals,U 49.5,
Sun,"Oct 20, 2019",1:00,,San Francisco 49ers,W 9-0,L -10,@,Washington Redskins,U 39,
Sun,"Oct 20, 2019",4:05,@,Tennessee Titans,W 23-20,P -3,,Los Angeles Chargers,O 42.5,
Sun,"Oct 20, 2019",4:25,@,Chicago Bears,L 25-36,L -4,,New Orleans Saints,O 37,
Sun,"Oct 20, 2019",4:25,@,Seattle Seahawks,L 16-30,L -3,,Baltimore Ravens,U 49,
Sun,"Oct 20, 2019",8:20,@,Dallas Cowboys,W 37-10,W -3,,Philadelphia Eagles,U 50,
Mon,"Oct 21, 2019",8:15,,New England Patriots,W 33-0,W -9.5,@,New York Jets,U 43,
