Day,Date,Time(ET),At,Favorite,Score,Spread,At,Underdog,Over/Under
Thu,"Oct 31, 2019",8:20,,San Francisco 49ers,W 28-25,L -10.5,@,Arizona Cardinals,O 43.5,
Sun,"Nov 3, 2019",9:30,N,Jacksonville Jaguars,L 3-26,L -1,,Houston Texans,U 46,at London
Sun,"Nov 3, 2019",1:00,@,Buffalo Bills,W 24-9,W -10.5,,Washington Redskins,U 37,
Sun,"Nov 3, 2019",1:00,@,Carolina Panthers,W 30-20,W -3.5,,Tennessee Titans,O 43,
Sun,"Nov 3, 2019",1:00,,Minnesota Vikings,L 23-26,L -5.5,@,Kansas City Chiefs,O 46,
Sun,"Nov 3, 2019",1:00,,New York Jets,L 18-26,L -3.5,@,Miami Dolphins,O 42.5,
Sun,"Nov 3, 2019",1:00,@,Philadelphia Eagles,W 22-14,W -5,,Chicago Bears,U 41,
Sun,"Nov 3, 2019",1:00,@,Pittsburgh Steelers,W 26-24,W -1,,Indianapolis Colts,O 39.5,
Sun,"Nov 3, 2019",4:05,@,Oakland Raiders,W 31-24,W -2.5,,Detroit Lions,O 51.5,
Sun,"Nov 3, 2019",4:05,@,Seattle Seahawks,W 40-34 (OT),W -4,,Tampa Bay Buccaneers,O 51,
Sun,"Nov 3, 2019",4:25,,Cleveland Browns,L 19-24,L -4,@,Denver Broncos,O 39,
Sun,"Nov 3, 2019",4:25,,Green Bay Packers,L 11-26,L -4,@,Los Angeles Chargers,U 50,
Sun,"Nov 3, 2019",8:20,,New England Patriots,L 20-37,L -3,@,Baltimore Ravens,O 44.5,
Mon,"Nov 4, 2019",8:15,,Dallas Cowboys,W 37-18,W -6.5,@,New York Giants,O 48.5,
