Day,Date,Time(ET),At,Favorite,Score,Spread,At,Underdog,Over/Under
Thu,"Sep 10, 2020",8:20,@,Kansas City Chiefs,W 34-20,W -9.5,,Houston Texans,O 53.5,
Sun,"Sep 13, 2020",1:00,@,Atlanta Falcons,L 25-38,L -1,,Seattle Seahawks,O 49.5,
Sun,"Sep 13, 2020",1:00,@,Baltimore Ravens,W 38-6,W -7,,Cleveland Browns,U 47,
Sun,"Sep 13, 2020",1:00,@,Buffalo Bills,W 27-17,W -6.5,,New York Jets,O 39.5,
Sun,"Sep 13, 2020",1:00,,Las Vegas Raiders,W 34-30,W -3,@,Carolina Panthers,O 48,
Sun,"Sep 13, 2020",1:00,@,Detroit Lions,L 23-27,L -2.5,,Chicago Bears,O 42.5,
Sun,"Sep 13, 2020",1:00,,Indianapolis Colts,L 20-27,L -7,@,Jacksonville Jaguars,O 44,
Sun,"Sep 13, 2020",1:00,@,Minnesota Vikings,L 34-43,L -1,,Green Bay Packers,O 44,
Sun,"Sep 13, 2020",1:00,@,New England Patriots,W 21-11,W -7.5,,Miami Dolphins,U 41.5,
Sun,"Sep 13, 2020",1:00,,Philadelphia Eagles,L 17-27,L -5.5,@,Washington Football Team,O 41.5,
Sun,"Sep 13, 2020",4:05,,Los Angeles Chargers,W 16-13,W -2.5,@,Cincinnati Bengals,U 41.5,
Sun,"Sep 13, 2020",4:25,@,New Orleans Saints,W 34-23,W -4,,Tampa Bay Buccaneers,O 48.5,
Sun,"Sep 13, 2020",4:25,@,San Francisco 49ers,L 20-24,L -7,,Arizona Cardinals,U 48.5,
Sun,"Sep 13, 2020",8:20,@,Los Angeles Rams,W 20-17,W -1,,Dallas Cowboys,U 52,
Mon,"Sep 14, 2020",7:15,,Pittsburgh Steelers,W 26-16,W -6,@,New York Giants,U 44,
Mon,"Sep 14, 2020",10:10,,Tennessee Titans,W 16-14,L -3.5,@,Denver Broncos,U 41.5,
