Day,Date,Time(ET),At,Favorite,Score,Spread,At,Underdog,Over/Under
Thu,"Dec 17, 2020",8:20,@,Las Vegas Raiders,L 27-30 (OT),L -3.5,,Los Angeles Chargers,O 52.5,
Sat,"Dec 19, 2020",4:30,,Buffalo Bills,W 48-19,W -5.5,@,Denver Broncos,O 49,
Sat,"Dec 19, 2020",8:15,@,Green Bay Packers,W 24-16,P -8,,Carolina Panthers,U 51.5,
Sun,"Dec 20, 2020",1:00,,Tampa Bay Buccaneers,W 31-27,L -6,@,Atlanta Falcons,O 49.5,
Sun,"Dec 20, 2020",1:00,@,Baltimore Ravens,W 40-14,W -13,,Jacksonville Jaguars,O 49,
Sun,"Dec 20, 2020",1:00,,San Francisco 49ers,L 33-41,L -4,@,Dallas Cowboys,O 46,
Sun,"Dec 20, 2020",1:00,@,Indianapolis Colts,W 27-20,L -7.5,,Houston Texans,U 52.5,
Sun,"Dec 20, 2020",1:00,,New England Patriots,L 12-22,L -1.5,@,Miami Dolphins,U 40.5,
Sun,"Dec 20, 2020",1:00,@,Minnesota Vikings,L 27-33,L -2.5,,Chicago Bears,O 47.5,
Sun,"Dec 20, 2020",1:00,@,Tennessee Titans,W 46-25,W -9.5,,Detroit Lions,O 54.5,
Sun,"Dec 20, 2020",1:00,,Seattle Seahawks,W 20-15,L -6,@,Washington Football Team,U 44.5,
Sun,"Dec 20, 2020",4:05,@,Arizona Cardinals,W 33-26,W -6.5,,Philadelphia Eagles,O 49.5,
Sun,"Dec 20, 2020",4:05,@,Los Angeles Rams,L 20-23,L -17.5,,New York Jets,U 44.5,
Sun,"Dec 20, 2020",4:25,,Kansas City Chiefs,W 32-29,W -2.5,@,New Orleans Saints,O 54,
Sun,"Dec 20, 2020",8:20,,Cleveland Browns,W 20-6,W -6,@,New York Giants,U 45,
Mon,"Dec 21, 2020",8:15,,Pittsburgh Steelers,L 17-27,L -14.5,@,Cincinnati Bengals,O 40.5,
