Day,Date,Time(ET),At,Favorite,Score,Spread,At,Underdog,Over/Under
Fri,"Dec 25, 2020",4:30,@,New Orleans Saints,W 52-33,W -6.5,,Minnesota Vikings,O 48.5,
Sat,"Dec 26, 2020",1:00,,Tampa Bay Buccaneers,W 47-7,W -9.5,@,Detroit Lions,P 54,
Sat,"Dec 26, 2020",4:30,@,Arizona Cardinals,L 12-20,L -5,,San Francisco 49ers,U 48.5,
Sat,"Dec 26, 2020",8:15,,Miami Dolphins,W 26-25,L -3,@,Las Vegas Raiders,O 48,
Sun,"Dec 27, 2020",1:00,@,Baltimore Ravens,W 27-13,W -10,,New York Giants,U 43,
Sun,"Dec 27, 2020",1:00,@,Houston Texans,L 31-37,L -7.5,,Cincinnati Bengals,O 46,
Sun,"Dec 27, 2020",1:00,,Chicago Bears,W 41-17,W -9.5,@,Jacksonville Jaguars,O 47,
Sun,"Dec 27, 2020",1:00,@,Kansas City Chiefs,W 17-14,L -11,,Atlanta Falcons,U 54,
Sun,"Dec 27, 2020",1:00,,Cleveland Browns,L 16-23,L -6.5,@,New York Jets,U 45,
Sun,"Dec 27, 2020",1:00,,Indianapolis Colts,L 24-28,L -1,@,Pittsburgh Steelers,O 43.5,
Sun,"Dec 27, 2020",4:05,@,Los Angeles Chargers,W 19-16,W -2.5,,Denver Broncos,U 47.5,
Sun,"Dec 27, 2020",4:05,,Carolina Panthers,W 20-13,W -1,@,Washington Football Team,U 41.5,
Sun,"Dec 27, 2020",4:25,,Philadelphia Eagles,L 17-37,L -3,@,Dallas Cowboys,O 50,
Sun,"Dec 27, 2020",4:25,@,Seattle Seahawks,W 20-9,W -1.5,,Los Angeles Rams,U 47.5,
Sun,"Dec 27, 2020",8:20,@,Green Bay Packers,W 40-14,W -3,,Tennessee Titans,O 52.5,
Mon,"Dec 28, 2020",8:15,,Buffalo Bills,W 38-9,W -7,@,New England Patriots,U 47.5,
