Day,Date,Time(ET),At,Favorite,Score,Spread,At,Underdog,Over/Under
Thu,"Sep 24, 2020",8:20,@,Jacksonville Jaguars,L 13-31,L -2.5,,Miami Dolphins,U 49.5,
Sun,"Sep 27, 2020",1:00,@,Atlanta Falcons,L 26-30,L -2.5,,Chicago Bears,O 46,
Sun,"Sep 27, 2020",1:00,@,Buffalo Bills,W 35-32,W -1.5,,Los Angeles Rams,O 46.5,
Sun,"Sep 27, 2020",1:00,@,Cleveland Browns,W 34-20,W -7.5,,Washington Football Team,O 45,
Sun,"Sep 27, 2020",1:00,,Tennessee Titans,W 31-30,L -3,@,Minnesota Vikings,O 49.5,
Sun,"Sep 27, 2020",1:00,@,New England Patriots,W 36-20,W -7,,Las Vegas Raiders,O 47,
Sun,"Sep 27, 2020",1:00,,San Francisco 49ers,W 36-9,W -3,@,New York Giants,O 44,
Sun,"Sep 27, 2020",1:00,@,Philadelphia Eagles,T 23-23 (OT),L -5.5,,Cincinnati Bengals,U 46.5,
Sun,"Sep 27, 2020",1:00,@,Pittsburgh Steelers,W 28-21,W -3.5,,Houston Texans,O 46.5,
Sun,"Sep 27, 2020",4:05,@,Indianapolis Colts,W 36-7,W -12.5,,New York Jets,U 44,
Sun,"Sep 27, 2020",4:05,@,Los Angeles Chargers,L 16-21,L -6,,Carolina Panthers,U 43.5,
Sun,"Sep 27, 2020",4:25,@,Arizona Cardinals,L 23-26,L -4.5,,Detroit Lions,U 55.5,
Sun,"Sep 27, 2020",4:25,,Tampa Bay Buccaneers,W 28-10,W -6,@,Denver Broncos,U 42.5,
Sun,"Sep 27, 2020",4:25,@,Seattle Seahawks,W 38-31,W -5.5,,Dallas Cowboys,O 58,
Sun,"Sep 27, 2020",8:20,@,New Orleans Saints,L 30-37,L -3.5,,Green Bay Packers,O 52,
Mon,"Sep 28, 2020",8:15,@,Baltimore Ravens,L 20-34,L -3.5,,Kansas City Chiefs,U 55,
