Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Thu,"Nov 11, 2021",8:20,,Baltimore Ravens,L 10-22,L -7.5,@,Miami Dolphins,U 46.5,
Sun,"Nov 14, 2021",1:00,@,Dallas Cowboys,W 43-3,W -8,,Atlanta Falcons,U 55,
Sun,"Nov 14, 2021",1:00,@,Indianapolis Colts,W 23-17,L -10,,Jacksonville Jaguars,U 47.5,
Sun,"Nov 14, 2021",1:00,@,New England Patriots,W 45-7,W -2.5,,Cleveland Browns,O 45,
Sun,"Nov 14, 2021",1:00,,Buffalo Bills,W 45-17,W -13,@,New York Jets,O 47.5,
Sun,"Nov 14, 2021",1:00,@,Pittsburgh Steelers,T 16-16 (OT),L -6,,Detroit Lions,U 41,
Sun,"Nov 14, 2021",1:00,@,Tennessee Titans,W 23-21,L -3,,New Orleans Saints,P 44,
Sun,"Nov 14, 2021",1:00,,Tampa Bay Buccaneers,L 19-29,L -9.5,@,Washington Football Team,U 51,
Sun,"Nov 14, 2021",4:05,@,Arizona Cardinals,L 10-34,L -10.5,,Carolina Panthers,O 43,
Sun,"Nov 14, 2021",4:05,@,Los Angeles Chargers,L 20-27,L -3,,Minnesota Vikings,U 53.5,
Sun,"Nov 14, 2021",4:25,@,Denver Broncos,L 13-30,L -2,,Philadelphia Eagles,U 46,
Sun,"Nov 14, 2021",4:25,@,Green Bay Packers,W 17-0,W -3.5,,Seattle Seahawks,U 49.5,
Sun,"Nov 14, 2021",8:20,,Kansas City Chiefs,W 41-14,W -2.5,@,Las Vegas Raiders,O 52,
Mon,"Nov 15, 2021",8:15,,Los Angeles Rams,L 10-31,L -4,@,San Francisco 49ers,U 49.5,
