Day,Date,Time(ET),At,Favorite,Score,Spread,At,Underdog,Over/Under
Thu,"Dec 23, 2021",8:20,,San Francisco 49ers,L 17-20,L -3.5,@,Tennessee Titans,U 44,
Sat,"Dec 25, 2021",4:30,@,Green Bay Packers,W 24-22,L -7.5,,Cleveland Browns,U 46.5,
Sat,"Dec 25, 2021",8:15,@,Arizona Cardinals,L 16-22,L -2,,Indianapolis Colts,U 49,
Sun,"Dec 26, 2021",1:00,@,Atlanta Falcons,W 20-16,L -6.5,,Detroit Lions,U 42,
Sun,"Dec 26, 2021",1:00,,Tampa Bay Buccaneers,W 32-6,W -9.5,@,Carolina Panthers,U 43,
Sun,"Dec 26, 2021",1:00,@,Cincinnati Bengals,W 41-21,W -7,,Baltimore Ravens,O 41.5,
Sun,"Dec 26, 2021",1:00,,Los Angeles Chargers,L 29-41,L -11,@,Houston Texans,O 45.5,
Sun,"Dec 26, 2021",1:00,,Los Angeles Rams,W 30-23,W -3.5,@,Minnesota Vikings,O 49,
Sun,"Dec 26, 2021",1:00,@,New England Patriots,L 21-33,L -1.5,,Buffalo Bills,O 43.5,
Sun,"Dec 26, 2021",1:00,@,New York Jets,W 26-21,W -1.5,,Jacksonville Jaguars,O 41,
Sun,"Dec 26, 2021",1:00,@,Philadelphia Eagles,W 34-10,W -10,,New York Giants,O 40.5,
Sun,"Dec 26, 2021",4:05,@,Seattle Seahawks,L 24-25,L -6.5,,Chicago Bears,O 41.5,
Sun,"Dec 26, 2021",4:25,@,Kansas City Chiefs,W 36-10,W -10,,Pittsburgh Steelers,P 46,
Sun,"Dec 26, 2021",4:25,@,Las Vegas Raiders,W 17-13,W PK,,Denver Broncos,U 41,
Sun,"Dec 26, 2021",8:20,@,Dallas Cowboys,W 56-14,W -10,,Washington Football Team,O 46.5,
Mon,"Dec 27, 2021",8:15,,Miami Dolphins,W 20-3,W -2.5,@,New Orleans Saints,U 37.5,
