Arizona Cardinals,4-13 (23.5%),8-9  (47.1%),1-2 (33.3%),1-2-0  (33.3%),1-7 (12.5%),4-4-0 (50.0%),1-1 (50.0%),1-1-0 (50.0%),10-7-0 (58.8%)
Atlanta Falcons,7-10 (41.2%),9-7-1  (56.3%),4-2 (66.7%),2-4-0  (33.3%),6-3 (66.7%),5-3-1 (62.5%),4-1 (80.0%),2-3-0 (40.0%),7-10-0 (41.2%)
Baltimore Ravens,10-7 (58.8%),6-10-1  (37.5%),8-4 (66.7%),4-8-0  (33.3%),5-3 (62.5%),1-6-1 (14.3%),5-2 (71.4%),1-6-0 (14.3%),5-12-0 (29.4%)
Buffalo Bills,13-3 (81.3%),8-7-1  (53.3%),13-3 (81.3%),8-7-1  (53.3%),6-1 (85.7%),3-4-0 (42.9%),6-1 (85.7%),3-4-0 (42.9%),6-10-0 (37.5%)
Carolina Panthers,7-10 (41.2%),9-8  (52.9%),0-3 (0.0%),0-3-0  (0.0%),5-4 (55.6%),5-4-0 (55.6%),0-3 (0.0%),0-3-0 (0.0%),8-9-0 (47.1%)
Chicago Bears,3-14 (17.6%),5-11-1  (31.3%),1-1 (50.0%),0-1-1  (0.0%),2-7 (22.2%),3-5-1 (37.5%),1-1 (50.0%),0-1-1 (0.0%),10-7-0 (58.8%)
Cincinnati Bengals,12-4 (75.0%),13-3  (81.3%),11-3 (78.6%),11-3-0  (78.6%),6-1 (85.7%),6-1-0 (85.7%),5-1 (83.3%),5-1-0 (83.3%),6-9-1 (40.0%)
Cleveland Browns,7-10 (41.2%),8-9  (47.1%),3-4 (42.9%),3-4-0  (42.9%),4-4 (50.0%),4-4-0 (50.0%),2-3 (40.0%),2-3-0 (40.0%),8-8-1 (50.0%)
Dallas Cowboys,12-5 (70.6%),10-7  (58.8%),9-3 (75.0%),7-5-0  (58.3%),8-1 (88.9%),6-3-0 (66.7%),7-0 (100.%),5-2-0 (71.4%),9-7-1 (56.3%)
Denver Broncos,5-12 (29.4%),7-9-1  (43.8%),3-5 (37.5%),1-6-1  (14.3%),4-4 (50.0%),3-4-1 (42.9%),3-2 (60.0%),1-3-1 (25.0%),6-11-0 (35.3%)
Detroit Lions,9-8 (52.9%),12-5  (70.6%),4-2 (66.7%),4-2-0  (66.7%),5-4 (55.6%),7-2-0 (77.8%),4-1 (80.0%),4-1-0 (80.0%),9-8-0 (52.9%)
Green Bay Packers,8-9 (47.1%),8-9  (47.1%),5-6 (45.5%),4-7-0  (36.4%),5-3 (62.5%),4-4-0 (50.0%),4-3 (57.1%),3-4-0 (42.9%),8-9-0 (47.1%)
Houston Texans,3-13-1 (18.8%),8-8-1  (50.0%),0-0,0-0-0,0-7 (0.0%),3-5-0 (37.5%),0-0,0-0-0,7-10-0 (41.2%)
Indianapolis Colts,4-12-1 (25.0%),6-11  (35.3%),1-5 (16.7%),1-6-0  (14.3%),2-6 (25.0%),3-5-0 (37.5%),1-4 (20.0%),1-4-0 (20.0%),7-10-0 (41.2%)
Jacksonville Jaguars,9-8 (52.9%),8-9  (47.1%),2-3 (40.0%),1-4-0  (20.0%),5-2 (71.4%),4-3-0 (57.1%),1-2 (33.3%),0-3-0 (0.0%),8-9-0 (47.1%)
Kansas City Chiefs,14-3 (82.4%),7-10  (41.2%),13-2 (86.7%),6-9-0  (40.0%),7-1 (87.5%),3-5-0 (37.5%),7-0 (100.%),3-4-0 (42.9%),8-9-0 (47.1%)
Las Vegas Raiders,6-11 (35.3%),8-9  (47.1%),4-6 (40.0%),4-6-0  (40.0%),4-4 (50.0%),5-3-0 (62.5%),4-2 (66.7%),4-2-0 (66.7%),9-8-0 (52.9%)
Los Angeles Chargers,10-7 (58.8%),9-5-3  (64.3%),9-2 (81.8%),5-4-2  (55.6%),5-3 (62.5%),4-3-1 (57.1%),4-2 (66.7%),2-3-1 (40.0%),7-10-0 (41.2%)
Los Angeles Rams,5-12 (29.4%),6-10-1  (37.5%),3-3 (50.0%),2-4-0  (33.3%),4-5 (44.4%),4-5-0 (44.4%),2-3 (40.0%),1-4-0 (20.0%),6-11-0 (35.3%)
Miami Dolphins,9-8 (52.9%),9-8  (52.9%),7-3 (70.0%),5-5-0  (50.0%),6-2 (75.0%),5-3-0 (62.5%),5-1 (83.3%),4-2-0 (66.7%),8-9-0 (47.1%)
Minnesota Vikings,13-4 (76.5%),7-9-1  (43.8%),12-0 (100.%),6-5-1  (54.5%),8-1 (88.9%),4-5-0 (44.4%),8-0 (100.%),4-4-0 (50.0%),10-7-0 (58.8%)
New England Patriots,8-9 (47.1%),8-9  (47.1%),7-1 (87.5%),6-2-0  (75.0%),4-4 (50.0%),3-5-0 (37.5%),4-1 (80.0%),3-2-0 (60.0%),8-9-0 (47.1%)
New Orleans Saints,7-10 (41.2%),7-10  (41.2%),4-3 (57.1%),2-5-0  (28.6%),4-4 (50.0%),3-5-0 (37.5%),3-1 (75.0%),2-2-0 (50.0%),6-11-0 (35.3%)
New York Giants,9-7-1 (56.3%),13-4  (76.5%),4-2 (66.7%),4-2-0  (66.7%),5-3 (62.5%),6-3-0 (66.7%),4-2 (66.7%),4-2-0 (66.7%),6-10-1 (37.5%)
New York Jets,7-10 (41.2%),8-9  (47.1%),2-3 (40.0%),2-3-0  (40.0%),3-5 (37.5%),3-5-0 (37.5%),1-2 (33.3%),1-2-0 (33.3%),5-12-0 (29.4%)
Philadelphia Eagles,14-3 (82.4%),8-9  (47.1%),14-2 (87.5%),8-8-0  (50.0%),7-2 (77.8%),6-3-0 (66.7%),7-2 (77.8%),6-3-0 (66.7%),10-7-0 (58.8%)
Pittsburgh Steelers,9-8 (52.9%),10-7  (58.8%),2-2 (50.0%),2-2-0  (50.0%),4-4 (50.0%),4-4-0 (50.0%),2-2 (50.0%),2-2-0 (50.0%),7-10-0 (41.2%)
San Francisco 49ers,13-4 (76.5%),11-6  (64.7%),12-3 (80.0%),10-5-0  (66.7%),8-1 (88.9%),7-2-0 (77.8%),8-0 (100.%),7-1-0 (87.5%),9-8-0 (52.9%)
Seattle Seahawks,9-8 (52.9%),7-10  (41.2%),3-3 (50.0%),1-5-0  (16.7%),5-4 (55.6%),4-5-0 (44.4%),2-3 (40.0%),1-4-0 (20.0%),8-9-0 (47.1%)
Tampa Bay Buccaneers,8-9 (47.1%),4-12-1  (25.0%),8-6 (57.1%),4-9-1  (30.8%),4-4 (50.0%),1-6-1 (14.3%),4-3 (57.1%),1-5-1 (16.7%),6-11-0 (35.3%)
Tennessee Titans,7-10 (41.2%),9-7-1  (56.3%),4-3 (57.1%),4-3-0  (57.1%),3-5 (37.5%),3-5-0 (37.5%),2-3 (40.0%),2-3-0 (40.0%),6-11-0 (35.3%)
Washington Commanders,8-8-1 (50.0%),8-8-1  (50.0%),4-2 (66.7%),4-3-0  (57.1%),4-5 (44.4%),4-4-1 (50.0%),2-2 (50.0%),2-2-0 (50.0%),5-12-0 (29.4%)
