Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Thu,"Dec 1, 2022",8:15,,Buffalo Bills,W 24-10,W -3.5,@,New England Patriots,U 43.5,
Sun,"Dec 4, 2022",1:00,@,Atlanta Falcons,L 16-19,L -1,,Pittsburgh Steelers,U 43,
Sun,"Dec 4, 2022",1:00,@,Baltimore Ravens,W 10-9,L -9.5,,Denver Broncos,U 39.5,
Sun,"Dec 4, 2022",1:00,,Green Bay Packers,W 28-19,W -4.5,@,Chicago Bears,O 45,
Sun,"Dec 4, 2022",1:00,@,Detroit Lions,W 40-14,W -1,,Jacksonville Jaguars,O 51,
Sun,"Dec 4, 2022",1:00,,Cleveland Browns,W 27-14,W -8,@,Houston Texans,U 46.5,
Sun,"Dec 4, 2022",1:00,@,Minnesota Vikings,W 27-22,W -3,,New York Jets,O 44.5,
Sun,"Dec 4, 2022",1:00,,Washington Commanders,T 20-20 (OT),L -2,@,New York Giants,U 40.5,
Sun,"Dec 4, 2022",1:00,@,Philadelphia Eagles,W 35-10,W -4,,Tennessee Titans,O 44,
Sun,"Dec 4, 2022",4:05,,Seattle Seahawks,W 27-23,L -7,@,Los Angeles Rams,O 41,
Sun,"Dec 4, 2022",4:05,@,San Francisco 49ers,W 33-17,W -4.5,,Miami Dolphins,O 45.5,
Sun,"Dec 4, 2022",4:25,,Kansas City Chiefs,L 24-27,L -2.5,@,Cincinnati Bengals,U 53,
Sun,"Dec 4, 2022",4:25,@,Las Vegas Raiders,W 27-20,W -2.5,,Los Angeles Chargers,U 49.5,
Sun,"Dec 4, 2022",8:20,@,Dallas Cowboys,W 54-19,W -10.5,,Indianapolis Colts,O 44.5,
Mon,"Dec 5, 2022",8:15,@,Tampa Bay Buccaneers,W 17-16,L -3,,New Orleans Saints,U 41,
