Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Thu,"Dec 15, 2022",8:15,,San Francisco 49ers,W 21-13,W -3,@,Seattle Seahawks,U 43,
Sat,"Dec 17, 2022",1:00,@,Minnesota Vikings,W 39-36 (OT),L -3.5,,Indianapolis Colts,O 47.5,
Sat,"Dec 17, 2022",4:30,@,Cleveland Browns,W 13-3,W -3,,Baltimore Ravens,U 38,
Sat,"Dec 17, 2022",8:15,@,Buffalo Bills,W 32-29,L -7,,Miami Dolphins,O 43.5,
Sun,"Dec 18, 2022",1:00,@,Carolina Panthers,L 16-24,L -2.5,,Pittsburgh Steelers,O 37.5,
Sun,"Dec 18, 2022",1:00,,Philadelphia Eagles,W 25-20,L -8.5,@,Chicago Bears,U 48.5,
Sun,"Dec 18, 2022",1:00,,Kansas City Chiefs,W 30-24 (OT),L -14.5,@,Houston Texans,O 48.5,
Sun,"Dec 18, 2022",1:00,,Dallas Cowboys,L 34-40 (OT),L -4,@,Jacksonville Jaguars,O 48,
Sun,"Dec 18, 2022",1:00,@,New Orleans Saints,W 21-18,L -4,,Atlanta Falcons,U 43.5,
Sun,"Dec 18, 2022",1:00,@,New York Jets,L 17-20,L -1,,Detroit Lions,U 43.5,
Sun,"Dec 18, 2022",4:05,@,Denver Broncos,W 24-15,W -1.5,,Arizona Cardinals,O 36.5,
Sun,"Dec 18, 2022",4:25,@,Las Vegas Raiders,W 30-24,W -1.5,,New England Patriots,O 45,
Sun,"Dec 18, 2022",4:25,@,Los Angeles Chargers,W 17-14,P -3,,Tennessee Titans,U 46.5,
Sun,"Dec 18, 2022",4:25,,Cincinnati Bengals,W 34-23,W -3.5,@,Tampa Bay Buccaneers,O 45,
Sun,"Dec 18, 2022",8:20,@,Washington Commanders,L 12-20,L -4.5,,New York Giants,U 40.5,
Mon,"Dec 19, 2022",8:15,@,Green Bay Packers,W 24-12,W -7,,Los Angeles Rams,U 39.5,
