Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Thu,"Sep 29, 2022",8:15,@,Cincinnati Bengals,W 27-15,W -3.5,,Miami Dolphins,U 47.5,
Sun,"Oct 2, 2022",1:00,,Cleveland Browns,L 20-23,L -1,@,Atlanta Falcons,U 47.5,
Sun,"Oct 2, 2022",1:00,,Buffalo Bills,W 23-20,P -3,@,Baltimore Ravens,U 51,
Sun,"Oct 2, 2022",1:00,@,Dallas Cowboys,W 25-10,W -3,,Washington Commanders,U 41.5,
Sun,"Oct 2, 2022",1:00,@,Detroit Lions,L 45-48,L -3.5,,Seattle Seahawks,O 48,
Sun,"Oct 2, 2022",1:00,,Los Angeles Chargers,W 34-24,W -6,@,Houston Texans,O 45,
Sun,"Oct 2, 2022",1:00,@,Indianapolis Colts,L 17-24,L -3.5,,Tennessee Titans,U 43,
Sun,"Oct 2, 2022",1:00,N,Minnesota Vikings,W 28-25,L -3.5,,New Orleans Saints,O 42,at London
Sun,"Oct 2, 2022",1:00,@,New York Giants,W 20-12,W -3,,Chicago Bears,U 39,
Sun,"Oct 2, 2022",1:00,@,Philadelphia Eagles,W 29-21,W -6.5,,Jacksonville Jaguars,O 45.5,
Sun,"Oct 2, 2022",1:00,@,Pittsburgh Steelers,L 20-24,L -3.5,,New York Jets,O 41.5,
Sun,"Oct 2, 2022",4:05,@,Carolina Panthers,L 16-26,L -1,,Arizona Cardinals,U 43.5,
Sun,"Oct 2, 2022",4:25,@,Green Bay Packers,W 27-24 (OT),L -9.5,,New England Patriots,O 40,
Sun,"Oct 2, 2022",4:25,@,Las Vegas Raiders,W 32-23,W -2.5,,Denver Broncos,O 45.5,
Sun,"Oct 2, 2022",8:20,@,Tampa Bay Buccaneers,L 31-41,L -1,,Kansas City Chiefs,O 46,
Mon,"Oct 3, 2022",8:15,@,San Francisco 49ers,W 24-9,W -1.5,,Los Angeles Rams,U 42.5,
