Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Thu,"Oct 20, 2022",8:15,@,Arizona Cardinals,W 42-34,W -2.5,,New Orleans Saints,O 44,
Sun,"Oct 23, 2022",1:00,@,Baltimore Ravens,W 23-20,L -6.5,,Cleveland Browns,U 45.5,
Sun,"Oct 23, 2022",1:00,,Tampa Bay Buccaneers,L 3-21,L -13,@,Carolina Panthers,U 39.5,
Sun,"Oct 23, 2022",1:00,@,Cincinnati Bengals,W 35-17,W -6.5,,Atlanta Falcons,O 47,
Sun,"Oct 23, 2022",1:00,@,Dallas Cowboys,W 24-6,W -6.5,,Detroit Lions,U 49,
Sun,"Oct 23, 2022",1:00,@,Jacksonville Jaguars,L 17-23,L -3,,New York Giants,U 43.5,
Sun,"Oct 23, 2022",1:00,@,Tennessee Titans,W 19-10,W -2.5,,Indianapolis Colts,U 41.5,
Sun,"Oct 23, 2022",1:00,,Green Bay Packers,L 21-23,L -4.5,@,Washington Commanders,O 41.5,
Sun,"Oct 23, 2022",4:05,,New York Jets,W 16-9,W -1.5,@,Denver Broncos,U 37,
Sun,"Oct 23, 2022",4:05,@,Las Vegas Raiders,W 38-20,W -7,,Houston Texans,O 46,
Sun,"Oct 23, 2022",4:25,@,Los Angeles Chargers,L 23-37,L -4.5,,Seattle Seahawks,O 50.5,
Sun,"Oct 23, 2022",4:25,,Kansas City Chiefs,W 44-23,W -1,@,San Francisco 49ers,O 49,
Sun,"Oct 23, 2022",8:20,@,Miami Dolphins,W 16-10,L -7.5,,Pittsburgh Steelers,U 44.5,
Mon,"Oct 24, 2022",8:15,@,New England Patriots,L 14-33,L -8.5,,Chicago Bears,O 40.5,
