Day,Date,Time(ET),At,Favorite,Score,Spread,At,Underdog,Over/Under
Thu,"Nov 30, 2023",8:15,@,Dallas Cowboys,W 41-35,L -9.5,,Seattle Seahawks,O 47.5,
Sun,"Dec 3, 2023",1:00,@,Houston Texans,W 22-17,W -3.5,,Denver Broncos,U 47,
Sun,"Dec 3, 2023",1:00,,Los Angeles Chargers,W 6-0,W -4.5,@,New England Patriots,U 39,
Sun,"Dec 3, 2023",1:00,,Detroit Lions,W 33-28,W -4,@,New Orleans Saints,O 48,
Sun,"Dec 3, 2023",1:00,,Atlanta Falcons,W 13-8,W -2,@,New York Jets,U 33,
Sun,"Dec 3, 2023",1:00,@,Pittsburgh Steelers,L 10-24,L -6,,Arizona Cardinals,U 41,
Sun,"Dec 3, 2023",1:00,,Indianapolis Colts,W 31-28 (OT),W -1.5,@,Tennessee Titans,O 42.5,
Sun,"Dec 3, 2023",1:00,,Miami Dolphins,W 45-15,W -8.5,@,Washington Commanders,O 49.5,
Sun,"Dec 3, 2023",4:05,@,Tampa Bay Buccaneers,W 21-18,L -3.5,,Carolina Panthers,O 37,
Sun,"Dec 3, 2023",4:25,@,Los Angeles Rams,W 36-19,W -3.5,,Cleveland Browns,O 39.5,
Sun,"Dec 3, 2023",4:25,,San Francisco 49ers,W 42-19,W -3,@,Philadelphia Eagles,O 46.5,
Sun,"Dec 3, 2023",8:20,,Kansas City Chiefs,L 19-27,L -5.5,@,Green Bay Packers,O 43.5,
Mon,"Dec 4, 2023",8:15,@,Jacksonville Jaguars,L 31-34 (OT),L -10,,Cincinnati Bengals,O 40.5,
