Day,Date,Time(ET),At,Favorite,Score,Spread,At,Underdog,Over/Under
Thu,"Dec 21, 2023",8:15,@,Los Angeles Rams,W 30-22,W -4,,New Orleans Saints,O 45.5,
Sat,"Dec 23, 2023",4:30,,Cincinnati Bengals,L 11-34,L -3,@,Pittsburgh Steelers,O 39,
Sat,"Dec 23, 2023",8:00,,Buffalo Bills,W 24-22,L -12.5,@,Los Angeles Chargers,O 44.5,
Sun,"Dec 24, 2023",1:00,@,Atlanta Falcons,W 29-10,W -2.5,,Indianapolis Colts,U 44.5,
Sun,"Dec 24, 2023",1:00,,Green Bay Packers,W 33-30,L -3.5,@,Carolina Panthers,O 39.5,
Sun,"Dec 24, 2023",1:00,,Cleveland Browns,W 36-22,W -3,@,Houston Texans,O 40,
Sun,"Dec 24, 2023",1:00,,Detroit Lions,W 30-24,W -2.5,@,Minnesota Vikings,O 47.5,
Sun,"Dec 24, 2023",1:00,@,New York Jets,W 30-28,L -3,,Washington Commanders,O 36.5,
Sun,"Dec 24, 2023",1:00,,Seattle Seahawks,W 20-17,P -3,@,Tennessee Titans,U 42.5,
Sun,"Dec 24, 2023",4:05,,Jacksonville Jaguars,L 12-30,L -2.5,@,Tampa Bay Buccaneers,U 43.5,
Sun,"Dec 24, 2023",4:25,@,Chicago Bears,W 27-16,W -4.5,,Arizona Cardinals,O 42.5,
Sun,"Dec 24, 2023",4:25,@,Miami Dolphins,W 22-20,W -1.5,,Dallas Cowboys,U 48.5,
Sun,"Dec 24, 2023",8:15,@,Denver Broncos,L 23-26,L -7,,New England Patriots,O 37,
Mon,"Dec 25, 2023",1:00,@,Kansas City Chiefs,L 14-20,L -10.5,,Las Vegas Raiders,U 40.5,
Mon,"Dec 25, 2023",4:30,@,Philadelphia Eagles,W 33-25,L -14,,New York Giants,O 41.5,
Mon,"Dec 25, 2023",8:15,@,San Francisco 49ers,L 19-33,L -6.5,,Baltimore Ravens,O 47,
