Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Thu,"Sep 14, 2023",8:15,@,Philadelphia Eagles,W 34-28,P -6,,Minnesota Vikings,O 49,
Sun,"Sep 17, 2023",1:00,@,Atlanta Falcons,W 25-24,L -3,,Green Bay Packers,O 40.5,
Sun,"Sep 17, 2023",1:00,@,Buffalo Bills,W 38-10,W -8,,Las Vegas Raiders,O 47,
Sun,"Sep 17, 2023",1:00,@,Cincinnati Bengals,L 24-27,L -3.5,,Baltimore Ravens,O 45.5,
Sun,"Sep 17, 2023",1:00,@,Detroit Lions,L 31-37 (OT),L -4.5,,Seattle Seahawks,O 47,
Sun,"Sep 17, 2023",1:00,@,Houston Texans,L 20-31,L -1,,Indianapolis Colts,O 40,
Sun,"Sep 17, 2023",1:00,,Kansas City Chiefs,W 17-9,W -3.5,@,Jacksonville Jaguars,U 51,
Sun,"Sep 17, 2023",1:00,@,Tampa Bay Buccaneers,W 27-17,W -2.5,,Chicago Bears,O 42,
Sun,"Sep 17, 2023",1:00,,Los Angeles Chargers,L 24-27 (OT),L -2.5,@,Tennessee Titans,O 45.5,
Sun,"Sep 17, 2023",4:05,,New York Giants,W 31-28,L -4.5,@,Arizona Cardinals,O 36.5,
Sun,"Sep 17, 2023",4:05,,San Francisco 49ers,W 30-23,L -7.5,@,Los Angeles Rams,O 44.5,
Sun,"Sep 17, 2023",4:25,@,Dallas Cowboys,W 30-10,W -8.5,,New York Jets,O 38.5,
Sun,"Sep 17, 2023",4:25,@,Denver Broncos,L 33-35,L -4,,Washington Commanders,O 38.5,
Sun,"Sep 17, 2023",8:20,,Miami Dolphins,W 24-17,W -2,@,New England Patriots,U 46.5,
Mon,"Sep 18, 2023",7:15,,New Orleans Saints,W 20-17,P -3,@,Carolina Panthers,U 39.5,
Mon,"Sep 18, 2023",8:15,,Cleveland Browns,L 22-26,L -2.5,@,Pittsburgh Steelers,O 39,
