Day,Date,Time(ET),At,Favorite,Score,Spread,At,Underdog,Over/Under
Thu,"Sep 21, 2023",8:15,@,San Francisco 49ers,W 30-12,W -10.5,,New York Giants,U 43.5,
Sun,"Sep 24, 2023",1:00,@,Baltimore Ravens,L 19-22 (OT),L -7.5,,Indianapolis Colts,U 44.5,
Sun,"Sep 24, 2023",1:00,@,Cleveland Browns,W 27-3,W -3.5,,Tennessee Titans,U 38,
Sun,"Sep 24, 2023",1:00,@,Detroit Lions,W 20-6,W -3,,Atlanta Falcons,U 47.5,
Sun,"Sep 24, 2023",1:00,@,Green Bay Packers,W 18-17,L -1.5,,New Orleans Saints,U 41.5,
Sun,"Sep 24, 2023",1:00,@,Jacksonville Jaguars,L 17-37,L -9.5,,Houston Texans,O 43.5,
Sun,"Sep 24, 2023",1:00,@,Miami Dolphins,W 70-20,W -6,,Denver Broncos,O 47.5,
Sun,"Sep 24, 2023",1:00,@,Minnesota Vikings,L 24-28,L -1,,Los Angeles Chargers,U 53,
Sun,"Sep 24, 2023",1:00,,New England Patriots,W 15-10,W -2.5,@,New York Jets,U 35.5,
Sun,"Sep 24, 2023",1:00,,Buffalo Bills,W 37-3,W -4.5,@,Washington Commanders,U 43.5,
Sun,"Sep 24, 2023",4:05,@,Seattle Seahawks,W 37-27,W -5,,Carolina Panthers,O 43,
Sun,"Sep 24, 2023",4:25,,Dallas Cowboys,L 16-28,L -11.5,@,Arizona Cardinals,O 43.5,
Sun,"Sep 24, 2023",4:25,@,Kansas City Chiefs,W 41-10,W -13,,Chicago Bears,O 48.5,
Sun,"Sep 24, 2023",8:20,@,Las Vegas Raiders,L 18-23,L -3,,Pittsburgh Steelers,U 43.5,
Mon,"Sep 25, 2023",7:15,,Philadelphia Eagles,W 25-11,W -6,@,Tampa Bay Buccaneers,U 44,
Mon,"Sep 25, 2023",8:15,@,Cincinnati Bengals,W 19-16,P -3,,Los Angeles Rams,U 45.5,
