Day,Date,Time(ET),At,Favorite,Score,Spread,At,Underdog,Over/Under
Thu,"Oct 5, 2023",8:15,@,Washington Commanders,L 20-40,L -6,,Chicago Bears,O 44.5,
Sun,"Oct 8, 2023",9:30,N,Buffalo Bills,L 20-25,L -5.5,,Jacksonville Jaguars,U 48.5,at London
Sun,"Oct 8, 2023",1:00,@,Atlanta Falcons,W 21-19,L -2.5,,Houston Texans,U 42,
Sun,"Oct 8, 2023",1:00,@,Detroit Lions,W 42-24,W -9.5,,Carolina Panthers,O 43.5,
Sun,"Oct 8, 2023",1:00,,Tennessee Titans,L 16-23,L -2.5,@,Indianapolis Colts,U 43.5,
Sun,"Oct 8, 2023",1:00,@,Miami Dolphins,W 31-16,W -13,,New York Giants,U 47.5,
Sun,"Oct 8, 2023",1:00,@,New England Patriots,L 0-34,L -1.5,,New Orleans Saints,U 38.5,
Sun,"Oct 8, 2023",1:00,,Baltimore Ravens,L 10-17,L -4.5,@,Pittsburgh Steelers,U 38.5,
Sun,"Oct 8, 2023",4:05,,Cincinnati Bengals,W 34-20,W -3,@,Arizona Cardinals,O 45.5,
Sun,"Oct 8, 2023",4:05,,Philadelphia Eagles,W 23-14,W -3.5,@,Los Angeles Rams,U 49.5,
Sun,"Oct 8, 2023",4:25,@,Denver Broncos,L 21-31,L -2.5,,New York Jets,O 42.5,
Sun,"Oct 8, 2023",4:25,,Kansas City Chiefs,W 27-20,W -3.5,@,Minnesota Vikings,U 52.5,
Sun,"Oct 8, 2023",8:20,@,San Francisco 49ers,W 42-10,W -3.5,,Dallas Cowboys,O 45,
Mon,"Oct 9, 2023",8:15,@,Las Vegas Raiders,W 17-13,W -1.5,,Green Bay Packers,U 44.5,
