Day,Date,Time(ET),At,Favorite,Score,Spread,At,Underdog,Over/Under
Thu,"Oct 12, 2023",8:15,@,Kansas City Chiefs,W 19-8,W -10.5,,Denver Broncos,U 47.5,
Sun,"Oct 15, 2023",9:30,N,Baltimore Ravens,W 24-16,W -5,,Tennessee Titans,U 42.5,at London
Sun,"Oct 15, 2023",1:00,@,Atlanta Falcons,L 16-24,L -1.5,,Washington Commanders,U 41.5,
Sun,"Oct 15, 2023",1:00,,Minnesota Vikings,W 19-13,W -3,@,Chicago Bears,U 44.5,
Sun,"Oct 15, 2023",1:00,@,Cincinnati Bengals,W 17-13,W -3,,Seattle Seahawks,U 45.5,
Sun,"Oct 15, 2023",1:00,,San Francisco 49ers,L 17-19,L -9.5,@,Cleveland Browns,O 35.5,
Sun,"Oct 15, 2023",1:00,,New Orleans Saints,L 13-20,L -2.5,@,Houston Texans,U 41.5,
Sun,"Oct 15, 2023",1:00,@,Jacksonville Jaguars,W 37-20,W -4.5,,Indianapolis Colts,O 43.5,
Sun,"Oct 15, 2023",1:00,@,Miami Dolphins,W 42-21,W -14,,Carolina Panthers,O 47.5,
Sun,"Oct 15, 2023",4:05,@,Las Vegas Raiders,W 21-17,W -2.5,,New England Patriots,U 42.5,
Sun,"Oct 15, 2023",4:25,@,Los Angeles Rams,W 26-9,W -7,,Arizona Cardinals,U 47.5,
Sun,"Oct 15, 2023",4:25,,Philadelphia Eagles,L 14-20,L -6.5,@,New York Jets,U 43.5,
Sun,"Oct 15, 2023",4:25,,Detroit Lions,W 20-6,W -3,@,Tampa Bay Buccaneers,U 43.5,
Sun,"Oct 15, 2023",8:20,@,Buffalo Bills,W 14-9,L -15.5,,New York Giants,U 43.5,
Mon,"Oct 16, 2023",8:15,,Dallas Cowboys,W 20-17,W -1.5,@,Los Angeles Chargers,U 50,
