Week,Favorites_StraightUp,Favorites_vs_Spread,Home_Records,Home_vs_Spread,Home_Favorites,Home_Favorites_vs_Spread,Home_Underdogs,Home_Underdogs_vs_Spread,Over/Unders
Arizona Cardinals,5-4 (55.6%),6-3  (66.7%),2-1 (66.7%),2-1-0  (66.7%),3-2 (60.0%),3-2-0 (60.0%),2-1 (66.7%),2-1-0 (66.7%),4-4-1 (50.0%)
Atlanta Falcons,6-3 (66.7%),5-4  (55.6%),5-2 (71.4%),4-3-0  (57.1%),3-3 (50.0%),2-4-0 (33.3%),3-2 (60.0%),2-3-0 (40.0%),4-5-0 (44.4%)
Baltimore Ravens,7-3 (70.0%),5-4-1  (55.6%),7-2 (77.8%),5-3-1  (62.5%),4-1 (80.0%),2-2-1 (50.0%),4-1 (80.0%),2-2-1 (50.0%),9-1-0 (90.0%)
Buffalo Bills,7-2 (77.8%),5-4  (55.6%),6-0 (100.%),4-2-0  (66.7%),4-0 (100.%),2-2-0 (50.0%),4-0 (100.%),2-2-0 (50.0%),5-4-0 (55.6%)
Carolina Panthers,2-7 (22.2%),2-7  (22.2%),0-0,0-0-0,1-3 (25.0%),1-3-0 (25.0%),0-0,0-0-0,7-2-0 (77.8%)
Chicago Bears,4-4 (50.0%),5-3  (62.5%),3-0 (100.%),3-0-0  (100.%),3-0 (100.%),3-0-0 (100.%),3-0 (100.%),3-0-0 (100.%),3-5-0 (37.5%)
Cincinnati Bengals,4-6 (40.0%),6-4  (60.0%),4-3 (57.1%),4-3-0  (57.1%),1-4 (20.0%),1-4-0 (20.0%),1-3 (25.0%),1-3-0 (25.0%),7-3-0 (70.0%)
Cleveland Browns,2-7 (22.2%),3-6  (33.3%),0-3 (0.0%),0-3-0  (0.0%),1-4 (20.0%),1-4-0 (20.0%),0-2 (0.0%),0-2-0 (0.0%),3-6-0 (33.3%)
Dallas Cowboys,3-5 (37.5%),2-6  (25.0%),1-1 (50.0%),0-2-0  (0.0%),0-3 (0.0%),0-3-0 (0.0%),0-1 (0.0%),0-1-0 (0.0%),5-3-0 (62.5%)
Denver Broncos,5-4 (55.6%),6-3  (66.7%),3-0 (100.%),3-0-0  (100.%),2-2 (50.0%),2-2-0 (50.0%),2-0 (100.%),2-0-0 (100.%),6-3-0 (66.7%)
Detroit Lions,7-1 (87.5%),7-1  (87.5%),6-1 (85.7%),6-1-0  (85.7%),3-1 (75.0%),3-1-0 (75.0%),3-1 (75.0%),3-1-0 (75.0%),4-4-0 (50.0%)
