Week,Favorites_StraightUp,Favorites_vs_Spread,Home_Records,Home_vs_Spread,Home_Favorites,Home_Favorites_vs_Spread,Home_Underdogs,Home_Underdogs_vs_Spread,Over/Unders
1,13-3 (81.3%),9-7-0  (56.3%),10-5 (66.7%),8-7-0 (53.3%),10-3 (76.9%),7-6-0 (53.8%),0-2 (0.0%),1-1-0 (50.0%),9-7-0 (56.3%)
2,8-8 (50.0%),5-10-1  (33.3%),6-10 (37.5%),4-11-1 (26.7%),4-6 (40.0%),2-8-0 (20.0%),2-4 (33.3%),2-3-1 (40.0%),5-10-1 (33.3%)
3,8-8 (50.0%),8-8-0  (50.0%),7-9 (43.8%),7-9-0 (43.8%),5-6 (45.5%),5-6-0 (45.5%),2-3 (40.0%),2-3-0 (40.0%),6-10-0 (37.5%)
4,9-7 (56.3%),5-10-1  (33.3%),9-7 (56.3%),8-7-1 (53.3%),6-4 (60.0%),4-6-0 (40.0%),3-3 (50.0%),4-1-1 (80.0%),10-6-0 (62.5%)
5,11-3 (78.6%),10-4-0  (71.4%),7-6 (53.8%),6-7-0 (46.2%),7-3 (70.0%),6-4-0 (60.0%),0-3 (0.0%),0-3-0 (0.0%),7-7-0 (50.0%)
6,12-2 (85.7%),10-3-1  (76.9%),3-10 (23.1%),1-11-1 (8.3%),3-1 (75.0%),1-2-1 (33.3%),0-9 (0.0%),0-9-0 (0.0%),10-3-1 (76.9%)
7,10-5 (66.7%),8-7-0  (53.3%),7-7 (50.0%),5-9-0 (35.7%),5-3 (62.5%),3-5-0 (37.5%),2-4 (33.3%),2-4-0 (33.3%),6-9-0 (40.0%)
8,11-5 (68.8%),8-8-0  (50.0%),10-6 (62.5%),11-5-0 (68.8%),7-2 (77.8%),6-3-0 (66.7%),3-4 (42.9%),5-2-0 (71.4%),12-4-0 (75.0%)
9,14-1 (93.3%),10-5-0  (66.7%),11-4 (73.3%),7-8-0 (46.7%),10-0 (100.%),6-4-0 (60.0%),1-4 (20.0%),1-4-0 (20.0%),7-8-0 (46.7%)
10,1-0 (100.%),0-1-0  (0.0%),1-0 (100.%),0-1-0 (0.0%),1-0 (100.%),0-1-0 (0.0%),0-0,0-0-0,1-0-0 (100.%)
