Team,Favorites_StraightUp,Favorites_vs_Spread,Home_Records,Home_vs_Spread,Home_Favorites,Home_Favorites_vs_Spread,Home_Underdogs,Home_Underdogs_vs_Spread,Over/Unders
Baltimore Colts,223-195-7 (53.3%),210-204-11 (50.7%),163-63-0 (72.1%),112-113-6 (49.8%),118-89-0 (57.0%),101-105-6 (49.1%),96-37-0 (72.2%),66-67-3 (49.6%),43-33-0 (56.6%)
Chicago Bears,522-534-9 (49.4%),517-519-29 (49.9%),326-154-0 (67.9%),230-244-14 (48.6%),298-228-0 (56.7%),266-253-13 (51.2%),218-98-0 (69.0%),151-160-10 (48.6%),333-374-9 (47.1%)
Chicago Cardinals,21-60-3 (26.8%),36-48-0 (42.9%),6-9-0 (40.0%),6-10-0 (37.5%),12-26-0 (31.6%),18-23-0 (43.9%),5-7-0 (41.7%),5-8-0 (38.5%),0
Cleveland Browns,483-524-11 (48.0%),495-500-22 (49.8%),319-156-0 (67.2%),239-236-8 (50.3%),271-230-0 (54.1%),239-254-13 (48.5%),205-99-0 (67.4%),150-155-4 (49.2%),310-341-13 (47.7%)
Detroit Lions,462-584-20 (44.3%),528-517-21 (50.5%),268-157-0 (63.1%),198-228-8 (46.5%),278-247-0 (53.0%),267-256-9 (51.0%),198-97-0 (67.1%),144-150-5 (49.0%),363-339-10 (51.7%)
Green Bay Packers,579-470-17 (55.1%),528-510-28 (50.8%),427-164-0 (72.3%),299-284-18 (51.2%),338-185-0 (64.6%),272-248-12 (52.3%),288-92-0 (75.8%),199-175-11 (53.1%),365-339-8 (51.8%)
Los Angeles Rams,386-329-14 (53.9%),354-359-16 (49.7%),285-137-0 (67.5%),202-217-10 (48.3%),208-146-0 (58.8%),169-181-11 (48.3%),174-83-0 (67.7%),125-127-8 (49.6%),194-181-5 (51.7%)
New York Giants,517-537-12 (49.1%),526-519-21 (50.3%),325-172-0 (65.4%),239-251-11 (48.8%),281-246-0 (53.3%),257-265-12 (49.3%),217-114-0 (65.6%),159-167-9 (48.8%),315-379-19 (45.5%)
Philadelphia Eagles,531-516-19 (50.7%),543-504-17 (51.8%),342-179-0 (65.6%),246-271-8 (47.6%),297-229-0 (56.5%),263-260-9 (50.3%),229-110-0 (67.6%),162-174-5 (48.2%),344-357-11 (49.1%)
Pittsburgh Steelers,599-453-13 (56.9%),540-501-24 (51.8%),418-186-0 (69.2%),300-301-12 (49.9%),351-176-0 (66.6%),286-235-12 (54.8%),282-98-0 (74.2%),203-174-8 (53.8%),324-378-12 (46.2%)
San Francisco 49ers,569-484-13 (54.0%),525-514-27 (50.5%),418-181-0 (69.8%),289-302-16 (48.9%),309-215-0 (59.0%),251-263-18 (48.9%),248-114-0 (68.5%),161-193-13 (45.6%),351-347-15 (50.3%)
Washington Redskins,480-502-16 (48.9%),481-482-34 (49.9%),290-155-0 (65.2%),196-240-15 (45.1%),271-220-0 (55.2%),231-250-17 (48.1%),197-95-0 (67.5%),128-160-8 (44.6%),312-324-12 (49.1%)
Boston Patriots,66-80-9 (45.5%),74-77-1 (49.0%),37-22-0 (62.7%),26-36-0 (41.9%),34-36-0 (48.6%),38-37-0 (50.7%),24-15-0 (61.5%),17-24-0 (41.5%),0
Buffalo Bills,473-502-8 (48.5%),481-468-29 (50.7%),302-144-0 (67.7%),218-214-14 (50.4%),271-216-0 (55.6%),246-229-13 (51.7%),207-89-0 (69.9%),152-137-7 (52.5%),329-371-11 (47.0%)
Dallas Cowboys,562-413-6 (57.6%),488-469-24 (51.0%),445-186-0 (70.5%),316-304-14 (50.9%),314-172-0 (64.6%),253-225-12 (52.9%),274-101-0 (73.1%),192-176-9 (52.1%),348-360-7 (49.2%)
Dallas Texans,25-17-0 (59.5%),18-19-3 (48.8%),20-11-0 (64.5%),13-15-3 (46.8%),15-6-0 (71.4%),11-7-1 (60.5%),13-4-0 (76.5%),10-6-1 (61.8%),0
Denver Broncos,508-465-10 (52.2%),468-471-34 (49.8%),354-168-0 (67.8%),240-262-23 (47.9%),305-181-0 (62.8%),240-229-21 (51.1%),246-94-0 (72.4%),157-167-17 (48.5%),352-344-18 (50.6%)
Houston Oilers,251-291-6 (46.4%),255-273-16 (48.3%),163-72-0 (69.4%),115-114-10 (50.2%),149-123-0 (54.8%),131-132-8 (49.8%),110-45-0 (71.0%),74-79-4 (48.4%),142-131-6 (52.0%)
Los Angeles Chargers,67-62-0 (51.9%),62-58-8 (51.6%),46-30-0 (60.5%),33-39-4 (46.1%),32-31-0 (50.8%),26-34-3 (43.7%),27-21-0 (56.2%),18-27-3 (40.6%),50-65-0 (43.5%)
New York Titans,19-23-0 (45.2%),19-19-2 (50.0%),10-7-0 (58.8%),8-8-1 (50.0%),10-11-0 (47.6%),9-12-0 (42.9%),7-5-0 (58.3%),6-6-0 (50.0%),0
Oakland Raiders,355-350-11 (50.3%),330-366-16 (47.5%),240-109-0 (68.8%),157-192-8 (45.1%),200-150-0 (57.1%),158-181-11 (46.7%),155-66-0 (70.1%),103-115-5 (47.3%),222-216-12 (50.7%)
St Louis Cardinals,186-202-14 (48.0%),182-216-4 (45.8%),117-60-0 (66.1%),80-104-0 (43.5%),98-92-0 (51.6%),85-113-1 (43.0%),70-37-0 (65.4%),45-68-0 (39.8%),70-61-4 (53.3%)
Minnesota Vikings,523-435-11 (54.5%),475-473-21 (50.1%),380-174-0 (68.6%),262-284-13 (48.0%),305-175-0 (63.5%),239-237-8 (50.2%),252-98-0 (72.0%),170-176-6 (49.1%),366-339-11 (51.9%)
