Team,Favorites_StraightUp,Favorites_vs_Spread,Home_Records,Home_vs_Spread,Home_Favorites,Home_Favorites_vs_Spread,Home_Underdogs,Home_Underdogs_vs_Spread,Over/Unders
Arizona Cardinals,84-93-2 (47.5%),92-81-6 (53.1%),45-27-0 (62.5%),33-38-2 (46.6%),41-45-0 (47.7%),42-44-2 (48.9%),27-18-0 (60.0%),18-27-1 (40.2%),87-91-1 (48.9%)
Atlanta Falcons,78-101-0 (43.6%),78-99-2 (44.1%),49-41-0 (54.4%),33-56-1 (37.2%),41-46-0 (47.1%),36-50-1 (42.0%),31-31-0 (50.0%),21-41-0 (33.9%),80-96-3 (45.5%)
Baltimore Ravens,106-73-0 (59.2%),87-87-5 (50.0%),84-39-0 (68.3%),55-67-1 (45.1%),60-30-0 (66.7%),41-47-2 (46.7%),54-22-0 (71.1%),33-43-0 (43.4%),82-95-2 (46.4%)
Buffalo Bills,103-75-0 (57.9%),91-81-6 (52.8%),69-28-0 (71.1%),49-45-3 (52.1%),57-30-0 (65.5%),46-40-1 (53.4%),44-14-0 (75.9%),30-27-1 (52.6%),82-94-2 (46.6%)
Carolina Panthers,82-96-1 (46.1%),82-91-6 (47.5%),46-32-0 (59.0%),32-43-3 (42.9%),47-42-0 (52.8%),41-45-3 (47.8%),32-19-0 (62.7%),23-27-1 (46.1%),88-90-1 (49.4%)
Chicago Bears,71-108-0 (39.7%),76-98-5 (43.9%),35-19-0 (64.8%),22-30-2 (42.6%),38-51-0 (42.7%),39-46-4 (46.1%),24-14-0 (63.2%),16-20-2 (44.7%),88-90-1 (49.4%)
Cincinnati Bengals,89-86-3 (50.8%),99-72-7 (57.6%),59-29-0 (67.0%),49-37-4 (56.7%),53-34-0 (60.9%),48-35-5 (57.4%),40-17-0 (70.2%),32-22-4 (58.6%),82-89-7 (48.0%)
Cleveland Browns,65-113-1 (36.6%),75-101-3 (42.7%),40-27-0 (59.7%),27-39-1 (41.0%),43-45-0 (48.9%),38-49-2 (43.8%),31-18-0 (63.3%),21-27-1 (43.9%),87-88-4 (49.7%)
Dallas Cowboys,106-73-0 (59.2%),97-80-2 (54.7%),79-34-0 (69.9%),61-51-1 (54.4%),57-32-0 (64.0%),47-41-1 (53.4%),48-20-0 (70.6%),34-34-0 (50.0%),89-88-2 (50.3%)
Denver Broncos,89-90-0 (49.7%),84-90-5 (48.3%),62-37-0 (62.6%),43-51-5 (46.0%),53-37-0 (58.9%),43-43-4 (50.0%),40-20-0 (66.7%),24-32-4 (43.3%),79-97-3 (45.0%)
Detroit Lions,81-96-2 (45.8%),93-84-2 (52.5%),51-23-0 (68.9%),41-32-2 (56.0%),45-44-0 (50.6%),48-40-1 (54.5%),34-13-0 (72.3%),27-19-1 (58.5%),91-87-1 (51.1%)
Green Bay Packers,109-68-2 (61.5%),93-81-5 (53.4%),87-32-0 (73.1%),64-52-4 (55.0%),64-22-0 (74.4%),50-36-2 (58.0%),59-15-0 (79.7%),44-29-2 (60.0%),95-84-0 (53.1%)
Houston Texans,75-103-1 (42.2%),79-95-5 (45.5%),45-22-0 (67.2%),28-36-3 (44.0%),42-47-0 (47.2%),37-51-2 (42.2%),32-16-0 (66.7%),20-27-1 (42.7%),81-97-1 (45.5%)
Indianapolis Colts,92-86-1 (51.7%),91-83-5 (52.2%),64-28-0 (69.6%),49-42-2 (53.8%),50-40-0 (55.6%),44-45-1 (49.4%),44-19-0 (69.8%),32-30-1 (51.6%),91-87-1 (51.1%)
Jacksonville Jaguars,58-121-0 (32.4%),76-99-4 (43.6%),27-26-0 (50.9%),23-29-1 (44.3%),31-51-0 (37.8%),32-48-2 (40.2%),14-16-0 (46.7%),12-18-0 (40.0%),87-92-0 (48.6%)
Kansas City Chiefs,128-51-0 (71.5%),96-79-4 (54.7%),108-34-0 (76.1%),73-67-2 (52.1%),64-24-0 (72.7%),41-46-1 (47.2%),61-19-0 (76.2%),38-41-1 (48.1%),82-94-3 (46.6%)
Miami Dolphins,89-90-0 (49.7%),90-85-4 (51.4%),46-23-0 (66.7%),35-33-1 (51.4%),54-34-0 (61.4%),49-35-4 (58.0%),32-13-0 (71.1%),24-20-1 (54.4%),90-88-1 (50.6%)
Minnesota Vikings,97-80-2 (54.7%),98-76-5 (56.1%),71-27-0 (72.4%),54-42-3 (56.1%),56-32-0 (63.6%),48-39-1 (55.1%),44-19-0 (69.8%),32-30-1 (51.6%),92-85-2 (52.0%)
New England Patriots,115-64-0 (64.2%),95-80-4 (54.2%),97-36-0 (72.9%),73-57-3 (56.0%),62-27-0 (69.7%),49-36-4 (57.3%),55-17-0 (76.4%),41-28-3 (59.0%),79-100-0 (44.1%)
New Orleans Saints,106-73-0 (59.2%),95-82-2 (53.6%),80-38-0 (67.8%),58-58-2 (50.0%),55-32-0 (63.2%),42-44-1 (48.9%),48-22-0 (68.6%),34-35-1 (49.3%),88-90-1 (49.4%)
New York Giants,67-111-1 (37.7%),90-86-3 (51.1%),32-17-0 (65.3%),24-24-1 (50.0%),38-50-0 (43.2%),40-48-1 (45.5%),23-12-0 (65.7%),17-17-1 (50.0%),77-100-2 (43.6%)
New York Jets,63-116-0 (35.2%),78-97-4 (44.7%),25-22-0 (53.2%),19-27-1 (41.5%),38-52-0 (42.2%),45-44-1 (50.6%),16-13-0 (55.2%),12-17-0 (41.4%),85-93-1 (47.8%)
Oakland Raiders,43-69-0 (38.4%),53-57-2 (48.2%),19-12-0 (61.3%),12-18-1 (40.3%),25-26-0 (49.0%),22-28-1 (44.1%),13-6-0 (68.4%),8-11-0 (42.1%),55-54-3 (50.4%)
Philadelphia Eagles,103-75-1 (57.8%),86-91-2 (48.6%),78-37-0 (67.8%),56-59-1 (48.7%),55-33-0 (62.5%),45-43-1 (51.1%),51-18-0 (73.9%),37-32-1 (53.6%),93-85-1 (52.2%)
Pittsburgh Steelers,110-67-2 (62.0%),98-78-3 (55.6%),71-33-0 (68.3%),52-52-2 (50.0%),61-28-0 (68.5%),49-40-1 (55.0%),46-19-0 (70.8%),33-32-1 (50.8%),72-103-4 (41.3%)
San Diego Chargers,27-37-0 (42.2%),31-32-1 (49.2%),15-10-0 (60.0%),10-15-0 (40.0%),16-16-0 (50.0%),13-19-0 (40.6%),12-7-0 (63.2%),8-11-0 (42.1%),30-33-1 (47.7%)
San Francisco 49ers,91-88-0 (50.8%),86-89-4 (49.2%),64-35-0 (64.6%),45-50-4 (47.5%),46-43-0 (51.7%),36-49-4 (42.7%),34-24-0 (58.6%),20-34-4 (37.9%),90-87-2 (50.8%)
Seattle Seahawks,112-66-1 (62.8%),90-82-7 (52.2%),88-33-0 (72.7%),58-59-4 (49.6%),60-29-0 (67.4%),46-42-1 (52.2%),53-21-0 (71.6%),37-36-1 (50.7%),82-92-5 (47.2%)
St Louis Rams,20-28-0 (41.7%),22-26-0 (45.8%),9-6-0 (60.0%),8-7-0 (53.3%),13-11-0 (54.2%),13-11-0 (54.2%),8-4-0 (66.7%),7-5-0 (58.3%),21-26-1 (44.8%)
Tampa Bay Buccaneers,79-100-0 (44.1%),81-93-5 (46.6%),52-32-0 (61.9%),35-47-2 (42.9%),40-47-0 (46.0%),35-49-3 (42.0%),32-23-0 (58.2%),21-32-2 (40.0%),88-89-2 (49.7%)
Tennessee Titans,84-95-0 (46.9%),78-92-9 (46.1%),51-27-0 (65.4%),33-41-4 (44.9%),46-43-0 (51.7%),39-43-7 (47.8%),32-17-0 (65.3%),21-25-3 (45.9%),92-83-4 (52.5%)
Washington Redskins,41-70-1 (37.1%),51-61-0 (45.5%),15-15-0 (50.0%),11-19-0 (36.7%),24-32-0 (42.9%),24-32-0 (42.9%),10-11-0 (47.6%),7-14-0 (33.3%),59-52-1 (53.1%)
Los Angeles Rams,74-57-0 (56.5%),63-62-6 (50.4%),61-26-0 (70.1%),44-40-3 (52.3%),35-27-0 (56.5%),28-31-3 (47.6%),31-17-0 (64.6%),22-24-2 (47.9%),62-69-0 (47.3%)
Los Angeles Chargers,57-58-0 (49.6%),53-55-7 (49.1%),42-28-0 (60.0%),30-37-3 (45.0%),27-29-0 (48.2%),22-32-2 (41.1%),24-19-0 (55.8%),16-25-2 (39.5%),50-65-0 (43.5%)
Las Vegas Raiders,32-35-0 (47.8%),35-31-1 (53.0%),16-13-0 (55.2%),13-16-0 (44.8%),17-17-0 (50.0%),19-14-1 (57.4%),12-6-0 (66.7%),11-7-0 (61.1%),35-31-1 (53.0%)
Washington Football Team,14-19-0 (42.4%),16-17-0 (48.5%),5-2-0 (71.4%),3-4-0 (42.9%),6-10-0 (37.5%),8-8-0 (50.0%),2-2-0 (50.0%),1-3-0 (25.0%),12-21-0 (36.4%)
Washington Commanders,12-21-1 (36.8%),14-19-1 (42.6%),5-5-0 (50.0%),4-7-0 (36.4%),5-12-0 (29.4%),4-12-1 (26.5%),3-4-0 (42.9%),2-5-0 (28.6%),15-19-0 (44.1%)
