Week,Favorites_StraightUp,Favorites_vs_Spread,Home_Records,Home_vs_Spread,Home_Favorites,Home_Favorites_vs_Spread,Home_Underdogs,Home_Underdogs_vs_Spread,Over/Unders
1,588-323-0 (64.5%),435-460-25 (48.6%),516-423-0 (55.0%),463-451-25 (50.6%),381-201-0 (65.5%),278-284-22 (49.5%),121-207-0 (36.9%),175-157-3 (52.7%),320-349-10 (47.9%)
2,1191-635-0 (65.2%),856-943-49 (47.6%),1036-838-0 (55.3%),928-907-49 (50.6%),774-396-0 (66.2%),553-585-39 (48.6%),238-417-0 (36.3%),357-303-10 (54.0%),630-703-26 (47.3%)
3,1775-932-0 (65.6%),1265-1397-73 (47.6%),1538-1234-0 (55.5%),1356-1356-73 (50.0%),1165-591-0 (66.3%),825-889-54 (48.2%),340-610-0 (35.8%),507-440-19 (53.5%),932-1024-35 (47.7%)
4,2359-1221-0 (65.9%),1680-1838-93 (47.8%),2027-1624-0 (55.5%),1767-1807-93 (49.5%),1532-762-0 (66.8%),1074-1171-62 (47.9%),454-823-0 (35.6%),661-603-31 (52.2%),1231-1315-49 (48.4%)
5,2921-1507-0 (66.0%),2068-2289-112 (47.5%),2515-1998-0 (55.7%),2185-2242-114 (49.4%),1905-941-0 (66.9%),1325-1463-77 (47.6%),558-1010-0 (35.6%),817-738-35 (52.5%),1535-1599-54 (49.0%)
6,3465-1806-0 (65.7%),2450-2743-136 (47.3%),2991-2376-0 (55.7%),2598-2676-138 (49.3%),2266-1129-0 (66.7%),1574-1757-93 (47.3%),668-1190-0 (36.0%),976-868-43 (52.9%),1808-1908-60 (48.7%)
7,4042-2073-0 (66.1%),2857-3164-161 (47.5%),3518-2704-0 (56.5%),3036-3076-164 (49.7%),2669-1283-0 (67.5%),1851-2026-111 (47.8%),780-1359-0 (36.5%),1126-994-50 (53.0%),2109-2191-74 (49.1%)
8,4606-2356-0 (66.2%),3257-3612-173 (47.5%),4013-3059-0 (56.7%),3461-3501-176 (49.7%),3043-1450-0 (67.7%),2109-2309-118 (47.8%),894-1541-0 (36.7%),1286-1130-55 (53.2%),2403-2487-84 (49.2%)
9,5179-2630-0 (66.3%),3645-4054-201 (47.4%),4483-3451-0 (56.5%),3879-3928-204 (49.7%),3406-1627-0 (67.7%),2358-2592-131 (47.7%),990-1750-0 (36.1%),1444-1268-70 (53.2%),2691-2786-99 (49.1%)
10,5748-2927-0 (66.3%),4045-4511-222 (47.3%),4986-3826-0 (56.6%),4296-4379-225 (49.5%),3792-1817-0 (67.6%),2619-2902-144 (47.5%),1097-1930-0 (36.2%),1591-1404-78 (53.0%),2992-3090-112 (49.2%)
11,6383-3186-0 (66.7%),4492-4940-253 (47.7%),5494-4224-0 (56.5%),4721-4841-256 (49.4%),4202-1990-0 (67.9%),2898-3196-162 (47.6%),1183-2150-0 (35.5%),1726-1567-91 (52.3%),3278-3445-125 (48.8%)
12,7023-3461-0 (67.0%),4936-5401-276 (47.8%),6047-4599-0 (56.8%),5172-5307-279 (49.4%),4639-2158-0 (68.3%),3189-3505-178 (47.7%),1290-2352-0 (35.4%),1878-1719-98 (52.2%),3609-3782-131 (48.9%)
13,7615-3754-0 (67.0%),5380-5834-289 (48.0%),6558-4992-0 (56.8%),5637-5738-293 (49.6%),5017-2329-0 (68.3%),3472-3767-184 (48.0%),1412-2566-0 (35.5%),2049-1880-105 (52.1%),3947-4112-137 (49.0%)
14,8220-4028-0 (67.1%),5832-6250-305 (48.3%),7078-5366-0 (56.9%),6084-6173-309 (49.6%),5425-2498-0 (68.5%),3769-4039-195 (48.3%),1517-2763-0 (35.4%),2193-2035-110 (51.8%),4266-4454-149 (48.9%)
15,8702-4269-0 (67.1%),6165-6616-330 (48.3%),7490-5690-0 (56.8%),6438-6528-334 (49.7%),5741-2652-0 (68.4%),3989-4277-207 (48.3%),1604-2929-0 (35.4%),2321-2148-123 (51.9%),4600-4784-167 (49.0%)
16,9151-4519-0 (66.9%),6485-6975-350 (48.2%),7894-5992-0 (56.8%),6780-6872-354 (49.7%),6051-2813-0 (68.3%),4208-4518-218 (48.3%),1693-3068-0 (35.6%),2439-2249-132 (52.0%),4930-5118-185 (49.1%)
17,9533-4676-0 (67.1%),6746-7244-359 (48.3%),8228-6202-0 (57.0%),7066-7120-363 (49.8%),6316-2903-0 (68.5%),4389-4684-226 (48.4%),1760-3185-0 (35.6%),2542-2329-133 (52.1%),5196-5387-190 (49.1%)
18,9573-4696-0 (67.1%),6775-7273-361 (48.3%),8262-6230-0 (57.0%),7099-7147-365 (49.8%),6340-2914-0 (68.5%),4407-4699-228 (48.4%),1769-3201-0 (35.6%),2556-2340-133 (52.1%),5228-5416-191 (49.1%)
Playoffs,9964-4894-0 (67.1%),7069-7559-370 (48.4%),8620-6408-0 (57.4%),7379-7396-372 (49.9%),6655-3051-0 (68.6%),4640-4913-233 (48.6%),1811-3240-0 (35.9%),2602-2373-135 (52.2%),5482-5662-198 (49.2%)
