Week,Favorites_StraightUp,Favorites_vs_Spread,Home_Records,Home_vs_Spread,Home_Favorites,Home_Favorites_vs_Spread,Home_Underdogs,Home_Underdogs_vs_Spread,Over/Unders
1,262-141-0 (65.0%),184-208-14 (47.0%),221-186-0 (54.3%),188-208-14 (47.6%),171-93-0 (64.8%),115-137-12 (45.8%),47-91-0 (34.1%),70-69-2 (50.4%),183-223-5 (45.1%)
2,265-143-0 (65.0%),183-215-11 (46.1%),239-170-0 (58.4%),197-202-11 (49.4%),185-89-0 (67.5%),124-142-8 (46.7%),54-80-0 (40.3%),73-59-3 (55.2%),193-208-9 (48.2%)
3,249-144-0 (63.4%),179-201-14 (47.2%),222-174-0 (56.1%),184-199-14 (48.1%),171-96-0 (64.0%),119-139-10 (46.3%),48-78-0 (38.1%),62-60-4 (50.8%),198-196-3 (50.3%)
4,240-137-0 (63.7%),177-189-11 (48.4%),204-167-0 (55.0%),171-189-11 (47.6%),149-79-0 (65.4%),104-118-6 (46.9%),54-87-0 (38.3%),66-70-5 (48.6%),192-180-7 (51.6%)
5,238-126-0 (65.4%),167-188-9 (47.1%),200-164-0 (54.9%),169-186-9 (47.7%),164-90-0 (64.6%),114-133-7 (46.3%),33-73-0 (31.1%),52-52-2 (50.0%),200-165-3 (54.8%)
6,222-137-0 (61.8%),154-195-11 (44.3%),200-159-0 (55.7%),168-181-11 (48.2%),144-81-0 (64.0%),96-123-7 (44.0%),55-75-0 (42.3%),71-55-4 (56.2%),177-184-3 (49.0%)
7,244-114-0 (68.2%),176-171-12 (50.7%),219-135-0 (61.9%),176-167-12 (51.3%),170-65-0 (72.3%),116-110-10 (51.3%),48-69-0 (41.0%),59-56-2 (51.3%),175-179-7 (49.4%)
8,244-116-0 (67.8%),181-175-5 (50.8%),207-143-0 (59.1%),169-176-5 (49.0%),168-75-0 (69.1%),119-120-4 (49.8%),39-68-0 (36.4%),50-56-1 (47.2%),178-175-8 (50.4%)
9,225-124-0 (64.5%),162-177-10 (47.9%),188-166-0 (53.1%),167-177-10 (48.6%),138-78-0 (63.9%),99-113-4 (46.8%),45-86-0 (34.4%),63-62-6 (50.4%),177-171-8 (50.8%)
10,216-150-0 (59.0%),156-205-8 (43.4%),204-161-0 (55.9%),167-193-8 (46.5%),150-98-0 (60.5%),103-143-5 (42.0%),52-63-0 (45.2%),62-50-3 (55.2%),186-177-8 (51.2%)
11,284-97-0 (74.5%),199-165-18 (54.5%),221-160-0 (58.0%),175-189-18 (48.2%),184-64-0 (74.2%),122-116-10 (51.2%),33-95-0 (25.8%),49-72-8 (41.1%),163-218-6 (42.9%)
12,290-112-0 (72.1%),202-189-12 (51.6%),227-176-0 (56.3%),188-204-12 (48.0%),186-72-0 (72.1%),125-127-7 (49.6%),40-103-0 (28.0%),62-76-5 (45.1%),190-211-4 (47.4%)
13,266-130-0 (67.2%),206-187-4 (52.4%),218-185-0 (54.1%),206-194-4 (51.5%),162-78-0 (67.5%),126-111-3 (53.1%),52-104-0 (33.3%),76-80-1 (48.7%),205-198-1 (50.9%)
14,278-124-0 (69.2%),210-185-7 (53.1%),238-168-0 (58.6%),209-190-7 (52.3%),185-72-0 (72.0%),138-115-4 (54.5%),52-93-0 (35.9%),70-72-3 (49.3%),188-210-8 (47.3%)
15,285-125-0 (69.5%),199-194-17 (50.6%),230-182-0 (55.8%),200-195-17 (50.6%),185-82-0 (69.3%),132-128-7 (50.7%),43-100-0 (30.1%),66-67-10 (49.7%),206-197-9 (51.1%)
16,253-156-0 (61.9%),171-225-13 (43.4%),231-181-0 (56.1%),196-203-13 (49.2%),169-96-0 (63.8%),113-144-8 (44.2%),60-84-0 (41.7%),81-58-5 (58.0%),189-212-11 (47.2%)
17,302-107-0 (73.8%),208-194-7 (51.7%),250-161-0 (60.8%),214-190-7 (52.9%),209-66-0 (76.0%),144-124-7 (53.6%),41-93-0 (30.6%),70-64-0 (52.2%),200-208-3 (49.0%)
18,32-16-0 (66.7%),24-23-1 (51.0%),26-22-0 (54.2%),24-23-1 (51.0%),19-9-0 (67.9%),14-13-1 (51.8%),7-13-0 (35.0%),10-10-0 (50.0%),25-22-1 (53.1%)
Playoffs,188-106-0 (63.9%),132-158-4 (45.6%),174-96-0 (64.4%),132-135-3 (49.4%),157-78-0 (66.8%),111-122-2 (47.7%),17-18-0 (48.6%),21-13-1 (61.4%),138-151-5 (47.8%)
