Name,College,Years_Played,First_Season,Last_Season,Games_Played,Games_Started,Link
Isaako,Aaitui Nevada-Las Vegas,1,2013,2013,4,https://www.profootballarchives.com/players/a/aait00200.html
Israel,Abanikanda Pittsburgh,1,2023,2023,6,https://www.profootballarchives.com/players/a/aban00100.html
Joe,Abbey Texas; North Texas,2,1948,1949,18,https://www.profootballarchives.com/players/a/abbe00150.html
Fay,Abbott Kenyon; Syracuse,9,1921,1929,55,https://www.profootballarchives.com/players/a/abbo00250.html
Vince,Abbott Washington; Fullerton State,2,1987,1988,23,https://www.profootballarchives.com/players/a/abbo00400.html
Jared,Abbrederis Wisconsin,3,2015,2017,22,https://www.profootballarchives.com/players/a/abbr00020.html
Duke,Abbruzzi Rhode Island,1,1946,1946,5,https://www.profootballarchives.com/players/a/abbr00050.html
Mehdi,Abdesmad Boston College,1,2016,2016,2,https://www.profootballarchives.com/players/a/abde00200.html
Karim,Abdul-Jabbar UCLA,6,1996,2000,61,https://www.profootballarchives.com/players/a/abdu00100.html
Ameer,Abdullah Nebraska,12,2015,2024,141,https://www.profootballarchives.com/players/a/abdu00140.html
Hamza,Abdullah Washington State,7,2005,2011,47,https://www.profootballarchives.com/players/a/abdu00150.html
Husain,Abdullah Washington State,7,2008,2015,97,https://www.profootballarchives.com/players/a/abdu00170.html
Khalid,Abdullah Mars Hill,1,2003,2003,16,https://www.profootballarchives.com/players/a/abdu00210.html
Rabih,Abdullah Lehigh,6,1999,2004,83,https://www.profootballarchives.com/players/a/abdu00220.html
Rahim,Abdullah Clemson,2,1999,2000,29,https://www.profootballarchives.com/players/a/abdu00230.html
Yasir,Abdullah Louisville,2,2023,2024,19,https://www.profootballarchives.com/players/a/abdu00235.html
Isa,Abdul-Quddus Fordham,6,2011,2016,89,https://www.profootballarchives.com/players/a/abdu00250.html
Fred,Abel Washington,1,1926,1926,3,https://www.profootballarchives.com/players/a/abel00050.html
Bud,Abell Missouri,3,1966,1968,40,https://www.profootballarchives.com/players/a/abel00250.html
Walter,Abercrombie Baylor,7,1982,1988,84,https://www.profootballarchives.com/players/a/aber00100.html
Micah,Abernathy Tennessee,3,2022,2024,19,https://www.profootballarchives.com/players/a/aber00320.html
Cliff,Aberson none,1,1946,1946,11,https://www.profootballarchives.com/players/a/aber00600.html
Victor,Abiamiri Notre Dame,3,2007,2009,29,https://www.profootballarchives.com/players/a/abia00400.html
Oday,Aboushi Virginia,9,2014,2022,85,https://www.profootballarchives.com/players/a/abou00400.html
Clifton,Abraham Florida State,3,1995,1997,9,https://www.profootballarchives.com/players/a/abra00100.html
Donnie,Abraham East Tennessee State,9,1996,2004,132,https://www.profootballarchives.com/players/a/abra00150.html
John,Abraham South Carolina,15,2000,2014,192,https://www.profootballarchives.com/players/a/abra00180.html
Robert,Abraham North Carolina State,6,1982,1987,73,https://www.profootballarchives.com/players/a/abra00200.html
Johnathan,Abram Georgia; Jones County JC; Mississippi State,8,2019,2024,55,https://www.profootballarchives.com/players/a/abra00450.html
Danny,Abramowicz Xavier (Ohio),9,1967,1974,111,https://www.profootballarchives.com/players/a/abra00500.html
Sid,Abramowitz Air Force; Tulsa,4,1983,1987,22,https://www.profootballarchives.com/players/a/abra00550.html
Bobby,Abrams Michigan,9,1990,1995,74,https://www.profootballarchives.com/players/a/abra00750.html
Delrick,Abrams Independence CC; Colorado,1,2020,2020,3,https://www.profootballarchives.com/players/a/abra00890.html
Kevin,Abrams Syracuse,3,1997,1999,32,https://www.profootballarchives.com/players/a/abra00980.html
Nate,Abrams none,1,1921,1921,1,https://www.profootballarchives.com/players/a/abra01000.html
Kris,Abrams-Draine Missouri,1,2024,2024,5,https://www.profootballarchives.com/players/a/abra01180.html
George,Abramson Minnesota,1,1925,1925,9,https://www.profootballarchives.com/players/a/abra01200.html
Dick,Abrell Purdue,1,1920,1920,5,https://www.profootballarchives.com/players/a/abre00100.html
Ray,Abruzzese Hinds CC; Alabama,5,1962,1966,61,https://www.profootballarchives.com/players/a/abru00050.html
Frank,Abruzzino Colgate,2,1931,1933,23,https://www.profootballarchives.com/players/a/abru00200.html
Dick,Absher Maryland,7,1967,1972,58,https://www.profootballarchives.com/players/a/absh00050.html
De'Von,Achane Texas A&M,2,2023,2024,28,https://www.profootballarchives.com/players/a/acha00200.html
Steve,Ache Coffeyville CC; Triton JC; Missouri State,1,1987,1987,3,https://www.profootballarchives.com/players/a/ache00050.html
George,Achica Southern California,1,1985,1985,4,https://www.profootballarchives.com/players/a/achi00050.html
Walt,Achiu Dayton,2,1927,1928,10,https://www.profootballarchives.com/players/a/achi00200.html
Emmanuel,Acho Texas,2,2013,2014,20,https://www.profootballarchives.com/players/a/acho00050.html
Sam,Acho Texas,9,2011,2019,110,https://www.profootballarchives.com/players/a/acho00100.html
Bill,Acker Texas,6,1980,1987,55,https://www.profootballarchives.com/players/a/acke00050.html
Kenneth,Acker Southern Methodist,3,2015,2017,40,https://www.profootballarchives.com/players/a/acke00055.html
Rick,Ackerman Memphis,5,1982,1987,42,https://www.profootballarchives.com/players/a/acke00250.html
Tom,Ackerman Eastern Washington,8,1996,2003,105,https://www.profootballarchives.com/players/a/acke00400.html
Ron,Acks Illinois,9,1968,1976,105,https://www.profootballarchives.com/players/a/acks00050.html
Fred,Acorn Texas,1,1984,1984,16,https://www.profootballarchives.com/players/a/acor00050.html
Ed,Adamchik Pittsburgh,2,1965,1965,4,https://www.profootballarchives.com/players/a/adam00400.html
Mike,Adamle Northwestern,6,1971,1976,76,https://www.profootballarchives.com/players/a/adam00500.html
Tony,Adamle Ohio State,6,1947,1954,75,https://www.profootballarchives.com/players/a/adam00550.html
Andrew,Adams Connecticut,8,2016,2023,104,https://www.profootballarchives.com/players/a/adam00920.html
Anthony,Adams Penn State,9,2003,2011,121,https://www.profootballarchives.com/players/a/adam00930.html
Bill,Adams Holy Cross,6,1972,1978,46,https://www.profootballarchives.com/players/a/adam01000.html
Blue,Adams Cincinnati,4,2003,2007,50,https://www.profootballarchives.com/players/a/adam01120.html
Bill,Adams San Mateo JC; Pacific,7,1969,1976,82,https://www.profootballarchives.com/players/a/adam01150.html
Brent,Adams Tennessee-Chattanooga,3,1975,1977,41,https://www.profootballarchives.com/players/a/adam01250.html
Charlie,Adams Hofstra,3,2003,2005,24,https://www.profootballarchives.com/players/a/adam01510.html
Chet,Adams Ohio University,10,1939,1950,116,https://www.profootballarchives.com/players/a/adam01550.html
Curtis,Adams Central Michigan,4,1985,1988,27,https://www.profootballarchives.com/players/a/adam01650.html
Darvin,Adams Auburn,1,2011,2011,2,https://www.profootballarchives.com/players/a/adam01680.html
Davante,Adams Fresno State,12,2014,2024,164,https://www.profootballarchives.com/players/a/adam01690.html
David,Adams Arizona,1,1987,1987,3,https://www.profootballarchives.com/players/a/adam01900.html
Doug,Adams Ohio State,4,1971,1974,49,https://www.profootballarchives.com/players/a/adam02250.html
Earnest,Adams Illinois,1,1987,1987,3,https://www.profootballarchives.com/players/a/adam02350.html
Flozell,Adams Michigan State,13,1998,2010,198,https://www.profootballarchives.com/players/a/adam02570.html
Gaines,Adams Clemson,4,2007,2009,47,https://www.profootballarchives.com/players/a/adam02590.html
George,Adams Kentucky,6,1985,1991,76,https://www.profootballarchives.com/players/a/adam02700.html
Hank,Adams Pittsburgh,1,1939,1939,3,https://www.profootballarchives.com/players/a/adam02850.html
Isaiah,Adams Wilfrid Laurier; Garden City CC; Illinois,1,2024,2024,15,https://www.profootballarchives.com/players/a/adam02935.html
Jamal,Adams Louisiana State,9,2017,2024,86,https://www.profootballarchives.com/players/a/adam03090.html
Jamar,Adams Michigan,3,2008,2010,8,https://www.profootballarchives.com/players/a/adam03100.html
Jeff,Adams Columbia,2,2014,2015,4,https://www.profootballarchives.com/players/a/adam03150.html
Jerell,Adams South Carolina,3,2016,2019,30,https://www.profootballarchives.com/players/a/adam03160.html
Joe,Adams Arkansas,1,2012,2012,9,https://www.profootballarchives.com/players/a/adam03351.html
John,Adams UCLA; Santa Monica JC; Los Angeles State,5,1959,1963,64,https://www.profootballarchives.com/players/a/adam03550.html
John,Adams Notre Dame,5,1945,1949,55,https://www.profootballarchives.com/players/a/adam03700.html
Johnny,Adams Michigan State,1,2013,2013,4,https://www.profootballarchives.com/players/a/adam03851.html
Josh,Adams Notre Dame,4,2018,2021,26,https://www.profootballarchives.com/players/a/adam03880.html
Julius,Adams Texas Southern,16,1971,1987,206,https://www.profootballarchives.com/players/a/adam03900.html
Keith,Adams Clemson,8,2001,2007,85,https://www.profootballarchives.com/players/a/adam03930.html
Kris,Adams Texas-El Paso,1,2012,2012,3,https://www.profootballarchives.com/players/a/adam04030.html
Kyle,Adams Purdue,4,2011,2013,29,https://www.profootballarchives.com/players/a/adam04040.html
Matthew,Adams Houston,7,2018,2024,98,https://www.profootballarchives.com/players/a/adam04360.html
Michael,Adams Louisiana-Lafayette,7,2007,2013,80,https://www.profootballarchives.com/players/a/adam04500.html
Mike,Adams Texas,1,1997,1997,6,https://www.profootballarchives.com/players/a/adam04520.html
Mike,Adams Mississippi Delta CC; Arkansas State,3,1987,1989,15,https://www.profootballarchives.com/players/a/adam04550.html
Mike,Adams Delaware,16,2004,2019,228,https://www.profootballarchives.com/players/a/adam04560.html
Mike,Adams Ohio State,4,2012,2016,53,https://www.profootballarchives.com/players/a/adam04561.html
Montravius,Adams Auburn,9,2017,2024,96,https://www.profootballarchives.com/players/a/adam04570.html
Myles,Adams Rice,5,2021,2024,29,https://www.profootballarchives.com/players/a/adam04572.html
O'Neal,Adams Arkansas,5,1942,1947,44,https://www.profootballarchives.com/players/a/adam04600.html
Pete,Adams San Diego CC; Southern California,2,1974,1976,25,https://www.profootballarchives.com/players/a/adam04850.html
Phillip,Adams South Carolina State,7,2010,2015,78,https://www.profootballarchives.com/players/a/adam04870.html
Rodney,Adams Toledo; South Florida,1,2021,2021,1,https://www.profootballarchives.com/players/a/adam05090.html
Sam,Adams Prairie View A&M,10,1972,1981,135,https://www.profootballarchives.com/players/a/adam05350.html
Sam,Adams Texas A&M,14,1994,2007,206,https://www.profootballarchives.com/players/a/adam05370.html
Scott,Adams Georgia,6,1992,1997,58,https://www.profootballarchives.com/players/a/adam05450.html
Stan,Adams Memphis,1,1984,1984,4,https://www.profootballarchives.com/players/a/adam05500.html
Stefon,Adams East Carolina,6,1986,1990,65,https://www.profootballarchives.com/players/a/adam05600.html
Theo,Adams Hawaii,2,1992,1993,17,https://www.profootballarchives.com/players/a/adam05700.html
Titus,Adams Nebraska,1,2009,2009,2,https://www.profootballarchives.com/players/a/adam05770.html
Tom,Adams Minnesota-Duluth,1,1962,1962,6,https://www.profootballarchives.com/players/a/adam05850.html
Tony,Adams Texas; Riverside CC; Utah State,5,1975,1987,53,https://www.profootballarchives.com/players/a/adam06000.html
Tony,Adams Illinois,3,2022,2024,41,https://www.profootballarchives.com/players/a/adam06002.html
Tyrell,Adams West Georgia,7,2016,2021,44,https://www.profootballarchives.com/players/a/adam06010.html
Vashone,Adams Fort Hays State; Butte CC; Eastern Michigan,3,1995,1997,29,https://www.profootballarchives.com/players/a/adam06050.html
Verlin,Adams Charleston,3,1943,1945,23,https://www.profootballarchives.com/players/a/adam06100.html
Willie,Adams New Mexico State,2,1965,1966,28,https://www.profootballarchives.com/players/a/adam06350.html
Willis,Adams Navarro JC; Houston,7,1979,1985,75,https://www.profootballarchives.com/players/a/adam06400.html
Ken,Adamson Notre Dame,3,1960,1962,32,https://www.profootballarchives.com/players/a/adam06600.html
Jahleel,Addae Central Michigan,9,2013,2021,116,https://www.profootballarchives.com/players/a/adda00025.html
Joseph,Addai Louisiana State,6,2006,2011,78,https://www.profootballarchives.com/players/a/adda00050.html
Abe,Addams Indiana,1,1949,1949,1,https://www.profootballarchives.com/players/a/adda00100.html
Herb,Adderley Michigan State,12,1961,1972,164,https://www.profootballarchives.com/players/a/adde00050.html
Nasir,Adderley Delaware,4,2019,2022,50,https://www.profootballarchives.com/players/a/adde00090.html
Tucker,Addington Sam Houston State,4,2022,2024,10,https://www.profootballarchives.com/players/a/addi00060.html
Bralon,Addison Oregon,1,2016,2016,2,https://www.profootballarchives.com/players/a/addi00075.html
Jordan,Addison Pittsburgh; Southern California,2,2023,2024,32,https://www.profootballarchives.com/players/a/addi00155.html
Mario,Addison Northeast Mississippi CC; Troy,15,2011,2022,170,https://www.profootballarchives.com/players/a/addi00230.html
