Name,College,Years_Played,First_Season,Last_Season,Games_Played,Games_Started,Link
Player College,Years,First,Last,GP,GS,0,No Link
Mike Baab,Tarrant,County,JC;,Austin,JC,(Minnesota);,https://www.profootballarchives.com/players/b/baab00200.html
Steve Baack,Oregon,4,1984,1987,55,1,https://www.profootballarchives.com/players/b/baac00200.html
David Baas,Michigan,9,2005,2013,122,84,https://www.profootballarchives.com/players/b/baas00200.html
Al Babartsky,Fordham,6,1938,1945,58,37,https://www.profootballarchives.com/players/b/baba00200.html
Charlie Babb,Memphis,8,1972,1979,97,35,https://www.profootballarchives.com/players/b/babb00200.html
Gene Babb,Austin,6,1957,1963,76,42,https://www.profootballarchives.com/players/b/babb00400.html
Harry Babcock,Georgia,3,1953,1955,32,0,https://www.profootballarchives.com/players/b/babc00200.html
Sam Babcock,Syracuse,1,1926,1926,8,3,https://www.profootballarchives.com/players/b/babc00400.html
Billy Baber,Virginia,4,2001,2004,30,2,https://www.profootballarchives.com/players/b/babe00200.html
Rod Babers,Texas,2,2003,2004,7,0,https://www.profootballarchives.com/players/b/babe00400.html
Bob Babich,Miami,(Ohio),9,1970,1978,125,https://www.profootballarchives.com/players/b/babi00200.html
Jason Babin,Western,Michigan,14,2004,2015,148,https://www.profootballarchives.com/players/b/babi00290.html
Jonathan Babineaux,Iowa,12,2005,2016,185,133,https://www.profootballarchives.com/players/b/babi00330.html
Jordan Babineaux,Southern,Arkansas,9,2004,2012,131,https://www.profootballarchives.com/players/b/babi00350.html
John Babinecz,Villanova,3,1972,1975,40,1,https://www.profootballarchives.com/players/b/babi00400.html
Jeff Baca,UCLA,1,2013,2013,4,0,https://www.profootballarchives.com/players/b/baca00200.html
Marty Baccaglio,Marin,JC;,San,Jose,State,4,https://www.profootballarchives.com/players/b/bacc00200.html
Andre Baccellia,Washington,2,2022,2023,12,0,https://www.profootballarchives.com/players/b/bacc00300.html
Carl Bacchus,Missouri,2,1927,1928,19,17,https://www.profootballarchives.com/players/b/bacc00400.html
Joe Bachie,Michigan,State,5,2020,2024,51,https://www.profootballarchives.com/players/b/bach00170.html
Joe Bachmaier,none,5,1920,1924,12,2,https://www.profootballarchives.com/players/b/bach00200.html
Alex Bachman,Wake,Forest,3,2020,2024,10,https://www.profootballarchives.com/players/b/bach00300.html
Jay Bachman,Cincinnati,4,1968,1971,45,1,https://www.profootballarchives.com/players/b/bach00400.html
Ted Bachman,Porterville,JC;,New,Mexico,State,2,https://www.profootballarchives.com/players/b/bach00600.html
Ludwig Bachor,Detroit,Mercy,1,1928,1928,1,https://www.profootballarchives.com/players/b/bach01000.html
Kennard Backman,Alabama-Birmingham,1,2015,2015,7,0,https://www.profootballarchives.com/players/b/back00100.html
