Name,College,Years_Played,First_Season,Last_Season,Games_Played,Games_Started,Link
Player College,Years,First,Last,GP,GS,0,No Link
Jason Cabinda,Penn,State,6,2018,2023,56,https://www.profootballarchives.com/players/c/cabi00200.html
Brian Cabral,Colorado,8,1979,1986,70,8,https://www.profootballarchives.com/players/c/cabr00200.html
Larry Cabrelli,Colgate,7,1941,1947,62,47,https://www.profootballarchives.com/players/c/cabr00400.html
Augie Cabrinha,Dayton,1,1927,1927,3,1,https://www.profootballarchives.com/players/c/cabr00600.html
Ernie Caddel,Stanford,6,1933,1938,65,56,https://www.profootballarchives.com/players/c/cadd00200.html
Eddie Cade,Arizona,State,1,1995,1995,10,https://www.profootballarchives.com/players/c/cade00100.html
Mossy Cade,Texas,2,1985,1986,30,19,https://www.profootballarchives.com/players/c/cade00200.html
Travaris Cadet,Toledo;,Pearl,River,CC;,Appalachian,State,https://www.profootballarchives.com/players/c/cade00800.html
Dave Cadigan,Southern,California,7,1988,1994,82,https://www.profootballarchives.com/players/c/cadi00200.html
Jim Cadile,San,Jose,CC;,San,Jose,State,https://www.profootballarchives.com/players/c/cadi00400.html
Glenn Cadrez,Chaffey,JC;,Houston,12,1992,2002,https://www.profootballarchives.com/players/c/cadr00200.html
John Cadwell,Oregon,State,1,1961,1961,4,https://www.profootballarchives.com/players/c/cadw00200.html
Ivan Caesar,Boston,College,1,1991,1991,14,https://www.profootballarchives.com/players/c/caes00200.html
George Cafego,Tennessee,5,1940,1945,35,20,https://www.profootballarchives.com/players/c/cafe00200.html
Lee Roy,Caffey,Texas,A&M,10,1963,1972,https://www.profootballarchives.com/players/c/caff00200.html
Lawrence Cager,Miami,(Florida);,Georgia,5,2020,2023,https://www.profootballarchives.com/players/c/cage00390.html
Chris Cagle,Louisiana-Lafayette;,Army,5,1930,1934,48,https://www.profootballarchives.com/players/c/cagl00200.html
Jim Cagle,Georgia,1,1974,1974,14,0,https://www.profootballarchives.com/players/c/cagl00400.html
Johnny Cagle,Clemson,1,1969,1969,6,1,https://www.profootballarchives.com/players/c/cagl00600.html
Bill Cahill,Washington,2,1973,1974,19,1,https://www.profootballarchives.com/players/c/cahi00200.html
Dave Cahill,Northern,Arizona,3,1966,1969,39,https://www.profootballarchives.com/players/c/cahi00400.html
Ronnie Cahill,Holy,Cross,1,1943,1943,10,https://www.profootballarchives.com/players/c/cahi00600.html
Tiny Cahoon,Montana;,Gonzaga,4,1926,1929,30,https://www.profootballarchives.com/players/c/caho00200.html
Deon Cain,Clemson,3,2019,2020,15,6,https://www.profootballarchives.com/players/c/cain00140.html
Jeremy Cain,Massachusetts,9,2004,2014,99,0,https://www.profootballarchives.com/players/c/cain00190.html
Jim Cain,Alabama,5,1949,1955,60,57,https://www.profootballarchives.com/players/c/cain00200.html
Joe Cain,Stanford;,Oregon,Tech,9,1989,1997,https://www.profootballarchives.com/players/c/cain00400.html
J.V. Cain,Colorado,4,1974,1977,55,37,https://www.profootballarchives.com/players/c/cain00600.html
Lynn Cain,East,Los,Angeles,JC;,Southern,California,https://www.profootballarchives.com/players/c/cain00800.html
Pat Cain,Wichita,State,1,1987,1987,3,https://www.profootballarchives.com/players/c/cain01000.html
Yodny Cajuste,West,Virginia,2,2021,2022,17,https://www.profootballarchives.com/players/c/caju00400.html
Pete Calac,Carlisle,Indian;,West,Virginia,Wesleyan;,8,https://www.profootballarchives.com/players/c/cala00200.html
Jeremy Calahan,Rice,1,2005,2005,1,0,https://www.profootballarchives.com/players/c/cala00300.html
Raymond Calais,Louisiana-Lafayette,1,2020,2020,4,0,https://www.profootballarchives.com/players/c/cala00350.html
Ralph Calcagni,Pennsylvania;,Cornell,2,1946,1947,20,https://www.profootballarchives.com/players/c/calc00200.html
Grant Calcaterra,Oklahoma;,Southern,Methodist,3,2022,2024,https://www.profootballarchives.com/players/c/calc00700.html
Alan Caldwell,North,Carolina,1,1979,1979,16,https://www.profootballarchives.com/players/c/cald00200.html
Andre Caldwell,Florida,8,2008,2015,105,18,https://www.profootballarchives.com/players/c/cald00220.html
Antoine Caldwell,Alabama,4,2009,2012,39,19,https://www.profootballarchives.com/players/c/cald00230.html
Bruce Caldwell,Brown;,Yale,1,1928,1928,10,https://www.profootballarchives.com/players/c/cald00400.html
Bryan Caldwell,Arizona,State,1,1984,1984,8,https://www.profootballarchives.com/players/c/cald00600.html
Darryl Caldwell,Tennessee,State,1,1983,1983,14,https://www.profootballarchives.com/players/c/cald01000.html
David Caldwell,William,&,Mary,1,2011,2011,https://www.profootballarchives.com/players/c/cald01190.html
David Caldwell,Texas,Christian,1,1987,1987,3,https://www.profootballarchives.com/players/c/cald01200.html
Mike Caldwell,Middle,Tennessee,State,11,1993,2003,https://www.profootballarchives.com/players/c/cald01300.html
Mike Caldwell,California,2,1995,1996,3,0,https://www.profootballarchives.com/players/c/cald01350.html
Ravin Caldwell,Arkansas,6,1987,1992,79,14,https://www.profootballarchives.com/players/c/cald01400.html
Reche Caldwell,Florida,6,2002,2007,71,29,https://www.profootballarchives.com/players/c/cald01500.html
Scotty Caldwell,Texas-Arlington,1,1987,1987,3,1,https://www.profootballarchives.com/players/c/cald01800.html
Tony Caldwell,Washington,4,1983,1987,36,1,https://www.profootballarchives.com/players/c/cald02000.html
Trey Caldwell,Louisiana-Monroe,1,2016,2016,1,0,https://www.profootballarchives.com/players/c/cald02100.html
Jamie Caleb,Grambling,State,3,1960,1965,27,https://www.profootballarchives.com/players/c/cale00200.html
Brian Calhoun,Wisconsin,2,2006,2007,11,0,https://www.profootballarchives.com/players/c/calh00050.html
Don Calhoun,Kansas,State,10,1974,1982,114,https://www.profootballarchives.com/players/c/calh00200.html
Duke Calhoun,Memphis,1,2010,2010,9,0,https://www.profootballarchives.com/players/c/calh00250.html
Eric Calhoun,Denison,1,1926,1926,6,6,https://www.profootballarchives.com/players/c/calh00400.html
Mike Calhoun,Notre,Dame,2,1980,1980,7,https://www.profootballarchives.com/players/c/calh00600.html
Rick Calhoun,Fullerton,State,1,1987,1987,3,https://www.profootballarchives.com/players/c/calh00800.html
Shaq Calhoun,Mississippi,State,3,2019,2021,12,https://www.profootballarchives.com/players/c/calh01180.html
Shilique Calhoun,Michigan,State,5,2016,2020,51,https://www.profootballarchives.com/players/c/calh01220.html
Taveze Calhoun,Mississippi,State,1,2016,2016,1,https://www.profootballarchives.com/players/c/calh01380.html
Lonny Calicchio,Northwest,Mississippi,CC;,Mississippi,1,1997,https://www.profootballarchives.com/players/c/cali00100.html
Tyrone Calico,Middle,Tennessee,State,3,2003,2005,https://www.profootballarchives.com/players/c/cali00150.html
Mike Caliendo,Western,Michigan,2,2023,2024,25,https://www.profootballarchives.com/players/c/cali00180.html
Dean Caliguire,Pittsburgh,2,1991,1991,9,0,https://www.profootballarchives.com/players/c/cali00200.html
Austin Calitro,Villanova,6,2018,2022,54,11,https://www.profootballarchives.com/players/c/cali00670.html
Jack Call,Colgate,3,1957,1959,28,3,https://www.profootballarchives.com/players/c/call00200.html
Kevin Call,Colorado,State,10,1984,1993,130,https://www.profootballarchives.com/players/c/call00400.html
Bill Callahan,Pittsburgh,1,1987,1987,1,1,https://www.profootballarchives.com/players/c/call00800.html
Bob Callahan,Missouri;,Michigan,1,1948,1948,7,https://www.profootballarchives.com/players/c/call01000.html
Bryce Callahan,Rice,7,2015,2022,82,56,https://www.profootballarchives.com/players/c/call01060.html
Dan Callahan,Wooster,1,1960,1960,9,2,https://www.profootballarchives.com/players/c/call01200.html
Jim Callahan,Texas,Tech;,Texas,1,1946,1946,https://www.profootballarchives.com/players/c/call01600.html
Joe Callahan,Wesley,1,2017,2017,1,0,https://www.profootballarchives.com/players/c/call01620.html
Lee Calland,Louisville,11,1963,1972,101,81,https://www.profootballarchives.com/players/c/call02000.html
Antonio Callaway,Florida,3,2018,2020,24,13,https://www.profootballarchives.com/players/c/call02090.html
Marquez Callaway,Tennessee,5,2020,2024,47,17,https://www.profootballarchives.com/players/c/call02105.html
Rob Callaway,Saginaw,Valley,State,1,2012,2012,https://www.profootballarchives.com/players/c/call02110.html
Ken Callicutt,Clemson,5,1978,1982,66,0,https://www.profootballarchives.com/players/c/call02200.html
Len Calligaro,Wisconsin,1,1944,1944,10,7,https://www.profootballarchives.com/players/c/call02400.html
Bill Callihan,Nebraska,6,1940,1945,62,41,https://www.profootballarchives.com/players/c/call02600.html
Chris Calloway,Michigan,11,1990,2000,158,96,https://www.profootballarchives.com/players/c/call02800.html
Ernie Calloway,Texas,Southern,4,1969,1972,47,https://www.profootballarchives.com/players/c/call03000.html
Rocky Calmus,Oklahoma,3,2002,2004,27,12,https://www.profootballarchives.com/players/c/calm00200.html
Tony Calvelli,San,Mateo,JC;,Stanford,3,1939,https://www.profootballarchives.com/players/c/calv00200.html
Jorrick Calvin,East,Central,CC;,Troy,1,2010,https://www.profootballarchives.com/players/c/calv00370.html
Tom Calvin,Alabama,4,1952,1955,30,6,https://www.profootballarchives.com/players/c/calv00400.html
Jake Camarda,Georgia,3,2022,2024,38,0,https://www.profootballarchives.com/players/c/cama00120.html
Greg Camarillo,Stanford,7,2006,2012,80,28,https://www.profootballarchives.com/players/c/cama00150.html
Rich Camarillo,Cerritos,JC;,Washington,16,1981,1996,https://www.profootballarchives.com/players/c/cama00200.html
Dennis Cambal,William,&,Mary,1,1973,1973,https://www.profootballarchives.com/players/c/camb00200.html
Glenn Cameron,Florida,11,1975,1985,159,103,https://www.profootballarchives.com/players/c/came00400.html
Jack Cameron,Winston-Salem,State,1,1984,1984,16,https://www.profootballarchives.com/players/c/came00600.html
John Cameron,Kalamazoo;,Central,Michigan,1,1926,1926,https://www.profootballarchives.com/players/c/came00700.html
Jordan Cameron,Brigham,Young;,Ventura,JC;,Southern,California,https://www.profootballarchives.com/players/c/came00720.html
Paul Cameron,UCLA,1,1954,1954,12,12,https://www.profootballarchives.com/players/c/came00800.html
Jalen Camp,Georgia,Tech,2,2021,2022,5,https://www.profootballarchives.com/players/c/camp00190.html
Jim Camp,Randolph-Macon;,North,Carolina,1,1948,1948,https://www.profootballarchives.com/players/c/camp00200.html
Reggie Camp,California,6,1983,1988,74,69,https://www.profootballarchives.com/players/c/camp00400.html
Al Campana,Youngstown,State,4,1950,1953,37,https://www.profootballarchives.com/players/c/camp00600.html
Mike Campanaro,Wake,Forest,4,2014,2017,24,https://www.profootballarchives.com/players/c/camp00750.html
Joe Campanella,Ohio,State,6,1952,1957,68,https://www.profootballarchives.com/players/c/camp00800.html
Arnold Campbell,Alcorn,State,1,1987,1987,3,https://www.profootballarchives.com/players/c/camp01000.html
Billy Campbell,Oklahoma,6,1945,1949,42,12,https://www.profootballarchives.com/players/c/camp01200.html
Bob Campbell,Penn,State,1,1969,1969,14,https://www.profootballarchives.com/players/c/camp01400.html
Bruce Campbell,Maryland,3,2010,2012,19,0,https://www.profootballarchives.com/players/c/camp01480.html
Calais Campbell,Miami,(Florida),17,2008,2024,261,https://www.profootballarchives.com/players/c/camp01550.html
Caleb Campbell,Army,1,2010,2010,3,0,https://www.profootballarchives.com/players/c/camp01560.html
