Name,College,Years_Played,First_Season,Last_Season,Games_Played,Games_Started,Link
Player College,Years,First,Last,GP,GS,0,No Link
Jerry Daanen,Miami,(Florida),3,1968,1970,37,https://www.profootballarchives.com/players/d/daan00200.html
Carlton Dabney,Morgan,State,1,1968,1968,14,https://www.profootballarchives.com/players/d/dabn00200.html
Carson Dach,Eastern,Michigan,1,2003,2003,16,https://www.profootballarchives.com/players/d/dach00200.html
Weston Dacus,Arkansas,1,2008,2008,8,0,https://www.profootballarchives.com/players/d/dacu00400.html
Bill Daddio,Pittsburgh,3,1941,1946,24,13,https://www.profootballarchives.com/players/d/dadd00200.html
Dave D'Addio,Maryland,1,1984,1984,16,2,https://www.profootballarchives.com/players/d/dadd00400.html
Harrie Dadmun,Tufts;,Harvard,2,1920,1921,4,https://www.profootballarchives.com/players/d/dadm00200.html
Ted Daffer,Tennessee,1,1954,1954,9,1,https://www.profootballarchives.com/players/d/daff00200.html
Bernard Dafney,Los,Angeles,Southwest,JC;,Tennessee,6,https://www.profootballarchives.com/players/d/dafn00200.html
Dominique Dafney,Iowa,Western,CC;,Iowa;,Indiana,State,https://www.profootballarchives.com/players/d/dafn00400.html
Fred Dagata,Providence,1,1931,1931,1,0,https://www.profootballarchives.com/players/d/daga00200.html
Frank D'Agostino,Auburn,2,1956,1960,14,3,https://www.profootballarchives.com/players/d/dago00200.html
Lou D'Agostino,Hofstra;,Rhode,Island,1,1996,1996,https://www.profootballarchives.com/players/d/dago00400.html
Bob Dahl,Notre,Dame,6,1992,1997,82,https://www.profootballarchives.com/players/d/dahl00200.html
Craig Dahl,North,Dakota,State,8,2007,2015,https://www.profootballarchives.com/players/d/dahl00230.html
Harvey Dahl,Nevada-Reno,8,2006,2013,87,82,https://www.profootballarchives.com/players/d/dahl00300.html
Joe Dahl,Montana;,Washington,State,5,2016,2020,https://www.profootballarchives.com/players/d/dahl00360.html
George Dahlgren,Beloit,4,1924,1926,11,8,https://www.profootballarchives.com/players/d/dahl00600.html
Tom Dahms,San,Diego,State,7,1951,1957,https://www.profootballarchives.com/players/d/dahm00200.html
Anthony Daigle,Arizona,State;,El,Camino,JC;,Fresno,https://www.profootballarchives.com/players/d/daig00100.html
Casey Dailey,Northwestern,1,1999,1999,6,0,https://www.profootballarchives.com/players/d/dail00100.html
Ted Dailey,Pittsburgh,1,1933,1933,10,4,https://www.profootballarchives.com/players/d/dail00400.html
Dave Dalby,UCLA,14,1972,1985,205,135,https://www.profootballarchives.com/players/d/dalb00200.html
Carroll Dale,Virginia,Tech,14,1960,1973,189,https://www.profootballarchives.com/players/d/dale00200.html
Jeff Dale,Louisiana,State,3,1985,1988,42,https://www.profootballarchives.com/players/d/dale00400.html
Roland Dale,Mississippi,1,1950,1950,12,3,https://www.profootballarchives.com/players/d/dale00600.html
Bill Daley,DePaul;,Minnesota;,Michigan;,Columbia,4,1946,https://www.profootballarchives.com/players/d/dale00800.html
Dennis Daley,Georgia,Military,JC;,South,Carolina,5,https://www.profootballarchives.com/players/d/dale00840.html
Ken Dallafior,Minnesota,8,1985,1992,86,57,https://www.profootballarchives.com/players/d/dall00200.html
DeeJay Dallas,Miami,(Florida),5,2020,2024,78,https://www.profootballarchives.com/players/d/dall00240.html
Dilly Dally,none,1,1926,1926,5,3,https://www.profootballarchives.com/players/d/dall00400.html
Chris Dalman,Stanford,7,1993,1999,105,64,https://www.profootballarchives.com/players/d/dalm00200.html
Drew Dalman,Stanford,4,2021,2024,57,40,https://www.profootballarchives.com/players/d/dalm00400.html
Pete D'Alonzo,Villanova,2,1951,1952,16,1,https://www.profootballarchives.com/players/d/dalo00200.html
Bob Dalrymple,Wabash,1,1922,1922,1,1,https://www.profootballarchives.com/players/d/dalr00200.html
Andy Dalton,Texas,Christian,14,2011,2024,175,https://www.profootballarchives.com/players/d/dalt00020.html
Antico Dalton,Hampton,2,1999,2000,5,0,https://www.profootballarchives.com/players/d/dalt00030.html
Jalen Dalton,North,Carolina,1,2022,2022,7,https://www.profootballarchives.com/players/d/dalt00090.html
Leather Dalton,Carroll,(Wisconsin);,Dubuque,1,1922,1922,https://www.profootballarchives.com/players/d/dalt00200.html
Lional Dalton,Eastern,Michigan,10,1998,2006,120,https://www.profootballarchives.com/players/d/dalt00300.html
Oakley Dalton,Jackson,State,1,1977,1977,1,https://www.profootballarchives.com/players/d/dalt00400.html
Brad Daluiso,San,Diego,State;,Grossmont,JC;,UCLA,https://www.profootballarchives.com/players/d/dalu00200.html
Scott Daly,Notre,Dame,4,2021,2024,59,https://www.profootballarchives.com/players/d/daly00190.html
Mike D'Amato,Hofstra,1,1968,1968,13,0,https://www.profootballarchives.com/players/d/dama00400.html
