Name,College,Years_Played,First_Season,Last_Season,Games_Played,Games_Started,Link
Player College,Years,First,Last,GP,GS,0,No Link
Steve Gabbard,Florida,State,1,1991,1991,4,https://www.profootballarchives.com/players/g/gabb00200.html
Blaine Gabbert,Missouri,12,2011,2023,69,49,https://www.profootballarchives.com/players/g/gabb00250.html
John Gabler,none,1,1925,1925,1,0,https://www.profootballarchives.com/players/g/gabl00200.html
Doug Gabriel,Mississippi,Gulf,Coast,CC;,Central,Florida,https://www.profootballarchives.com/players/g/gabr00070.html
Roman Gabriel,North,Carolina,State,16,1962,1977,https://www.profootballarchives.com/players/g/gabr00400.html
Taylor Gabriel,Abilene,Christian,6,2014,2019,83,https://www.profootballarchives.com/players/g/gabr00440.html
Andrew Gachkar,Missouri,7,2011,2017,101,9,https://www.profootballarchives.com/players/g/gach00400.html
Dennis Gadbois,Boston,University,2,1987,1988,5,https://www.profootballarchives.com/players/g/gadb00200.html
Bob Gaddis,Mississippi,Valley,State,1,1976,1976,https://www.profootballarchives.com/players/g/gadd00200.html
Christian Gaddis,Villanova,2,2007,2009,2,0,https://www.profootballarchives.com/players/g/gadd00230.html
Sam Gado,Liberty,7,2005,2009,41,8,https://www.profootballarchives.com/players/g/gado00200.html
Oronde Gadsden,Winston-Salem,State,6,1998,2003,74,https://www.profootballarchives.com/players/g/gads00200.html
Mike Gaechter,Oregon,8,1962,1969,108,86,https://www.profootballarchives.com/players/g/gaec00200.html
Derrick Gaffney,Florida,8,1978,1987,100,68,https://www.profootballarchives.com/players/g/gaff00200.html
Jabar Gaffney,Florida,11,2002,2012,158,103,https://www.profootballarchives.com/players/g/gaff00270.html
Jeff Gaffney,Virginia,1,1987,1987,3,0,https://www.profootballarchives.com/players/g/gaff00300.html
Jim Gaffney,Tennessee,2,1945,1946,12,2,https://www.profootballarchives.com/players/g/gaff00400.html
Monk Gafford,Auburn,4,1946,1948,39,33,https://www.profootballarchives.com/players/g/gaff00800.html
Rico Gafford,Iowa,Western,CC;,Wyoming,3,2018,https://www.profootballarchives.com/players/g/gaff00820.html
Thomas Gafford,Houston,10,2008,2016,125,0,https://www.profootballarchives.com/players/g/gaff00830.html
Bobby Gage,Clemson,2,1949,1950,22,19,https://www.profootballarchives.com/players/g/gage00200.html
Justin Gage,Missouri,8,2003,2010,100,49,https://www.profootballarchives.com/players/g/gage00330.html
Russell Gage,Louisiana,State,5,2018,2022,74,https://www.profootballarchives.com/players/g/gage00380.html
