Name,College,Years_Played,First_Season,Last_Season,Games_Played,Games_Started,Link
Player College,Years,First,Last,GP,GS,0,No Link
Matt Haack,Arizona,State,8,2017,2024,103,https://www.profootballarchives.com/players/h/haac01000.html
Bob Haak,Indiana,1,1939,1939,10,6,https://www.profootballarchives.com/players/h/haak00200.html
Bobby Haas,Purdue,1,1929,1929,5,3,https://www.profootballarchives.com/players/h/haas00200.html
Bruno Haas,none,3,1921,1922,10,6,https://www.profootballarchives.com/players/h/haas00400.html
Andy Haase,Northern,Colorado,1,1998,1998,7,https://www.profootballarchives.com/players/h/haas00600.html
Ira Haaven,Hamline,1,1923,1923,3,2,https://www.profootballarchives.com/players/h/haav00200.html
Adam Haayer,Minnesota,3,2002,2005,20,5,https://www.profootballarchives.com/players/h/haay00200.html
Brian Habib,Washington,11,1989,1999,174,133,https://www.profootballarchives.com/players/h/habi00200.html
Bill Hachten,California;,Stanford,1,1947,1947,11,https://www.profootballarchives.com/players/h/hach00200.html
Dale Hackbart,Wisconsin,13,1960,1973,152,71,https://www.profootballarchives.com/players/h/hack00200.html
Johnny Hackenbruck,Oregon,State,1,1940,1940,7,https://www.profootballarchives.com/players/h/hack00400.html
Dino Hackett,Appalachian,State,7,1986,1993,88,https://www.profootballarchives.com/players/h/hack00600.html
D.J. Hackett,Northridge,State;,Colorado,4,2005,2008,https://www.profootballarchives.com/players/h/hack00620.html
Joey Hackett,Elon,3,1986,1988,36,4,https://www.profootballarchives.com/players/h/hack00800.html
Elmer Hackney,Kansas,State,7,1940,1946,60,https://www.profootballarchives.com/players/h/hack01250.html
Gary Hadd,Minnesota,2,1988,1989,15,4,https://www.profootballarchives.com/players/h/hadd00200.html
Drew Haddad,Buffalo,2,2002,2004,2,0,https://www.profootballarchives.com/players/h/hadd00400.html
Al Hadden,Washington,&,Jefferson,7,1925,1930,https://www.profootballarchives.com/players/h/hadd00470.html
Kamal Hadden,Independence,CC;,Tennessee,1,2024,2024,https://www.profootballarchives.com/players/h/hadd00540.html
Michael Haddix,Mississippi,State,8,1983,1990,120,https://www.profootballarchives.com/players/h/hadd00600.html
Wayne Haddix,Liberty,5,1987,1991,41,27,https://www.profootballarchives.com/players/h/hadd00800.html
Jack Haden,Arkansas,3,1936,1938,31,7,https://www.profootballarchives.com/players/h/hade00200.html
Joe Haden,Florida,12,2010,2021,158,148,https://www.profootballarchives.com/players/h/hade00230.html
Nick Haden,Penn,State,1,1986,1986,8,https://www.profootballarchives.com/players/h/hade00400.html
Pat Haden,Southern,California,6,1976,1981,65,https://www.profootballarchives.com/players/h/hade00600.html
John Hadl,Kansas,17,1962,1977,224,167,https://www.profootballarchives.com/players/h/hadl00200.html
Dave Hadley,Alcorn,State,2,1970,1971,28,https://www.profootballarchives.com/players/h/hadl00300.html
Ron Hadley,Washington,2,1987,1988,6,2,https://www.profootballarchives.com/players/h/hadl00400.html
Spencer Hadley,Brigham,Young,1,2014,2014,2,https://www.profootballarchives.com/players/h/hadl00500.html
James Hadnot,Texas,Tech,4,1980,1983,43,https://www.profootballarchives.com/players/h/hadn00200.html
Rex Hadnot,Houston,9,2004,2012,130,96,https://www.profootballarchives.com/players/h/hadn00400.html
Joe Haeg,North,Dakota,State,7,2016,2022,https://www.profootballarchives.com/players/h/haeg00100.html
Jake Haener,Washington;,Fresno,State,1,2024,2024,https://www.profootballarchives.com/players/h/haen00100.html
Barney Hafen,Dixie,JC;,Utah,2,1949,1950,https://www.profootballarchives.com/players/h/hafe00200.html
Mike Haffner,UCLA,4,1968,1971,37,16,https://www.profootballarchives.com/players/h/haff00200.html
Derek Hagan,Arizona,State,9,2006,2014,99,https://www.profootballarchives.com/players/h/haga00230.html
Marques Hagans,Virginia,2,2007,2008,6,1,https://www.profootballarchives.com/players/h/haga00600.html
Roger Hagberg,Minnesota,5,1965,1969,68,17,https://www.profootballarchives.com/players/h/hagb00200.html
Rudy Hagberg,West,Virginia,2,1929,1930,21,https://www.profootballarchives.com/players/h/hagb00400.html
Fred Hageman,Arkansas;,Kansas,4,1961,1964,55,https://www.profootballarchives.com/players/h/hage00200.html
Ra'Shede Hageman,Minnesota,3,2014,2016,44,16,https://www.profootballarchives.com/players/h/hage00240.html
Halvor Hagen,Shoreline,CC;,Weber,State,7,1969,https://www.profootballarchives.com/players/h/hage00400.html
Mike Hagen,Walla,Walla,CC;,Montana,1,1987,https://www.profootballarchives.com/players/h/hage00600.html
Vern Hagenbuckle,Dartmouth,2,1926,1926,3,3,https://www.profootballarchives.com/players/h/hage00800.html
Britt Hager,Texas,9,1989,1997,121,18,https://www.profootballarchives.com/players/h/hage00900.html
Bryce Hager,Baylor,6,2015,2020,79,7,https://www.profootballarchives.com/players/h/hage00910.html
Jack Hagerty,Georgetown,(DC),6,1926,1932,63,https://www.profootballarchives.com/players/h/hage01000.html
Loris Hagerty,Iowa,1,1930,1930,7,2,https://www.profootballarchives.com/players/h/hage01200.html
Eric Hagg,Nebraska,2,2011,2012,22,4,https://www.profootballarchives.com/players/h/hagg00000.html
Mario Haggan,Mississippi,State,10,2003,2012,132,https://www.profootballarchives.com/players/h/hagg00010.html
Clark Haggans,Colorado,State,13,2000,2012,172,https://www.profootballarchives.com/players/h/hagg00020.html
John Haggerty,Tufts,3,1920,1921,6,5,https://www.profootballarchives.com/players/h/hagg00200.html
Mike Haggerty,Miami,(Florida),6,1967,1973,60,https://www.profootballarchives.com/players/h/hagg00400.html
Steve Haggerty,Colorado;,Nevada-Las,Vegas,1,1975,1975,https://www.profootballarchives.com/players/h/hagg00600.html
Odell Haggins,Florida,State,1,1991,1991,5,https://www.profootballarchives.com/players/h/hagg00800.html
Isaac Hagins,Southern,University,5,1976,1980,50,https://www.profootballarchives.com/players/h/hagi00200.html
Scott Hagler,South,Carolina,1,1987,1987,2,https://www.profootballarchives.com/players/h/hagl00200.html
Tyjuan Hagler,Cincinnati,5,2006,2010,50,19,https://www.profootballarchives.com/players/h/hagl00400.html
Jay Hagood,Virginia,Tech,1,1997,1997,2,https://www.profootballarchives.com/players/h/hago00100.html
Rickey Hagood,South,Carolina,1,1984,1984,2,https://www.profootballarchives.com/players/h/hago00200.html
John Hagy,Texas,3,1988,1990,28,11,https://www.profootballarchives.com/players/h/hagy00200.html
Ray Hahn,Kansas,State,1,1926,1926,4,https://www.profootballarchives.com/players/h/hahn00200.html
Mike Haight,Iowa,7,1986,1992,63,43,https://www.profootballarchives.com/players/h/haig00200.html
Mac Haik,Mississippi,4,1968,1971,44,20,https://www.profootballarchives.com/players/h/haik00200.html
Kahlef Hailassie,Oregon;,Independence,CC;,Western,Kentucky,2,https://www.profootballarchives.com/players/h/hail00150.html
By Haines,Washington,1,1937,1937,6,1,https://www.profootballarchives.com/players/h/hain00200.html
Harry Haines,Colgate,3,1930,1931,17,10,https://www.profootballarchives.com/players/h/hain00400.html
Hinkey Haines,Lebanon,Valley;,Penn,State,6,1925,https://www.profootballarchives.com/players/h/hain00600.html
John Haines,Texas,2,1984,1986,19,0,https://www.profootballarchives.com/players/h/hain00800.html
Kris Haines,Notre,Dame,5,1979,1987,21,https://www.profootballarchives.com/players/h/hain01000.html
Robert Hainsey,Notre,Dame,4,2021,2024,60,https://www.profootballarchives.com/players/h/hain01400.html
Carl Hairston,Maryland-Eastern,Shore,15,1976,1990,224,https://www.profootballarchives.com/players/h/hair00200.html
Chris Hairston,Clemson,6,2011,2017,75,31,https://www.profootballarchives.com/players/h/hair00220.html
Nate Hairston,Temple,7,2017,2022,61,18,https://www.profootballarchives.com/players/h/hair00360.html
Russell Hairston,Kentucky,1,1987,1987,3,2,https://www.profootballarchives.com/players/h/hair00400.html
Stacey Hairston,Ohio,Northern,2,1993,1994,31,https://www.profootballarchives.com/players/h/hair00600.html
Troy Hairston,Central,Michigan,2,2022,2024,18,https://www.profootballarchives.com/players/h/hair00800.html
Chuck Hajek,South,Carolina;,Northwestern,1,1934,1934,https://www.profootballarchives.com/players/h/haje00200.html
Ali Haji-Sheikh,Michigan,5,1983,1987,51,0,https://www.profootballarchives.com/players/h/haji00200.html
Lirim Hajrullahu,Western,Ontario,2,2021,2021,4,https://www.profootballarchives.com/players/h/hajr00200.html
Az-Zahir Hakim,San,Diego,State,9,1998,2006,https://www.profootballarchives.com/players/h/haki00200.html
Saalim Hakim,Palomar,JC;,Tarleton,State,3,2013,https://www.profootballarchives.com/players/h/haki00400.html
Andre Hal,Vanderbilt,5,2014,2018,69,40,https://www.profootballarchives.com/players/h/hal000200.html
Mike Halapin,Pittsburgh,3,1996,1999,21,4,https://www.profootballarchives.com/players/h/hala00100.html
Jon Halapio,Florida,3,2017,2019,27,23,https://www.profootballarchives.com/players/h/hala00110.html
George Halas,Illinois,9,1920,1928,100,85,https://www.profootballarchives.com/players/h/hala00200.html
Chris Hale,Nebraska;,Glendale,CC;,Southern,California,4,https://www.profootballarchives.com/players/h/hale00100.html
Dave Hale,Ottawa,(Kansas),4,1969,1973,30,https://www.profootballarchives.com/players/h/hale00200.html
David Hale,Weber,State,2,2008,2009,18,https://www.profootballarchives.com/players/h/hale00230.html
Ryan Hale,Arkansas,2,1999,2000,25,0,https://www.profootballarchives.com/players/h/hale00500.html
Art Haley,Akron,2,1921,1923,5,0,https://www.profootballarchives.com/players/h/hale00600.html
Charles Haley,James,Madison,12,1986,1999,169,https://www.profootballarchives.com/players/h/hale00800.html
Darryl Haley,Utah,6,1982,1988,79,25,https://www.profootballarchives.com/players/h/hale01000.html
Dennis Haley,Virginia,3,2005,2007,15,0,https://www.profootballarchives.com/players/h/hale01100.html
Dick Haley,Pittsburgh,7,1959,1964,75,52,https://www.profootballarchives.com/players/h/hale01200.html
Grant Haley,Penn,State,5,2018,2022,35,https://www.profootballarchives.com/players/h/hale01440.html
Jermaine Haley,Butte,CC,5,2000,2004,62,https://www.profootballarchives.com/players/h/hale01450.html
Tamba Hali,Penn,State,12,2006,2017,177,https://www.profootballarchives.com/players/h/hali00100.html
Ronnie Haliburton,Louisiana,State,2,1990,1991,17,https://www.profootballarchives.com/players/h/hali00200.html
Eddie Halicki,Bucknell,3,1929,1930,32,19,https://www.profootballarchives.com/players/h/hali00400.html
Ahmard Hall,Texas,6,2006,2011,85,40,https://www.profootballarchives.com/players/h/hall00170.html
Alex Hall,St.,Augustine's,3,2008,2010,32,https://www.profootballarchives.com/players/h/hall00250.html
Alvin Hall,none,3,1961,1963,26,14,https://www.profootballarchives.com/players/h/hall00290.html
Alvin Hall,Miami,(Ohio),6,1981,1987,76,https://www.profootballarchives.com/players/h/hall00300.html
Andre Hall,Georgia,Military,JC;,South,Florida,2,https://www.profootballarchives.com/players/h/hall00320.html
Breece Hall,Iowa,State,3,2022,2024,40,https://www.profootballarchives.com/players/h/hall00493.html
Bryan Hall,Arkansas,State,1,2012,2012,5,https://www.profootballarchives.com/players/h/hall00505.html
Bryce Hall,Virginia,5,2020,2024,40,26,https://www.profootballarchives.com/players/h/hall00506.html
Carlos Hall,Arkansas,4,2002,2005,59,33,https://www.profootballarchives.com/players/h/hall00520.html
Chad Hall,Air,Force,3,2010,2013,24,https://www.profootballarchives.com/players/h/hall00540.html
Charlie Hall,Houston,10,1971,1980,146,132,https://www.profootballarchives.com/players/h/hall00600.html
Charlie Hall,Pittsburgh,6,1971,1976,83,8,https://www.profootballarchives.com/players/h/hall00700.html
Chris Hall,East,Carolina,1,1993,1993,1,https://www.profootballarchives.com/players/h/hall00800.html
Corey Hall,Appalachian,State,1,2001,2001,3,https://www.profootballarchives.com/players/h/hall00830.html
Cory Hall,Fresno,State,6,1999,2004,87,https://www.profootballarchives.com/players/h/hall00850.html
Courtney Hall,Rice,8,1989,1996,118,118,https://www.profootballarchives.com/players/h/hall00900.html
Daeshon Hall,Texas,A&M,3,2017,2019,13,https://www.profootballarchives.com/players/h/hall00950.html
Dana Hall,Washington,6,1992,1997,91,38,https://www.profootballarchives.com/players/h/hall01000.html
Dante Hall,Texas,A&M,9,2000,2008,112,https://www.profootballarchives.com/players/h/hall01030.html
Darren Hall,San,Diego,State,3,2021,2024,https://www.profootballarchives.com/players/h/hall01055.html
Darryl Hall,Long,Beach,CC;,San,Diego,State,https://www.profootballarchives.com/players/h/hall01100.html
Darryl Hall,Washington,3,1993,1995,44,5,https://www.profootballarchives.com/players/h/hall01200.html
DeAngelo Hall,Virginia,Tech,15,2004,2017,171,https://www.profootballarchives.com/players/h/hall01280.html
Deiondre' Hall,Northern,Iowa,3,2016,2018,23,https://www.profootballarchives.com/players/h/hall01290.html
Delton Hall,Clemson,6,1987,1992,76,20,https://www.profootballarchives.com/players/h/hall01300.html
Derick Hall,Auburn,2,2023,2024,34,14,https://www.profootballarchives.com/players/h/hall01335.html
De'Von Hall,Utah,State,1,2009,2009,4,https://www.profootballarchives.com/players/h/hall01350.html
Dick Hall,Butler;,Illinois,2,1926,1927,29,https://www.profootballarchives.com/players/h/hall01400.html
Dino Hall,Rowan,5,1979,1983,64,0,https://www.profootballarchives.com/players/h/hall01600.html
Forrest Hall,Duquesne;,San,Francisco,1,1948,1948,https://www.profootballarchives.com/players/h/hall01800.html
Galen Hall,Penn,State,2,1962,1963,16,https://www.profootballarchives.com/players/h/hall02000.html
Harold Hall,Springfield,1,1942,1942,1,0,https://www.profootballarchives.com/players/h/hall02200.html
Harry Hall,Chicago;,Illinois,1,1926,1926,2,https://www.profootballarchives.com/players/h/hall02400.html
Irv Hall,Brown,1,1942,1942,8,3,https://www.profootballarchives.com/players/h/hall02800.html
James Hall,Northwestern,State,(Louisiana),1,1987,1987,https://www.profootballarchives.com/players/h/hall03000.html
James Hall,Michigan,12,2000,2011,165,129,https://www.profootballarchives.com/players/h/hall03020.html
Jaren Hall,Brigham,Young,1,2023,2023,3,https://www.profootballarchives.com/players/h/hall03027.html
Jeff Hall,Tennessee,1,2000,2000,3,0,https://www.profootballarchives.com/players/h/hall03050.html
John Hall,Iowa,1,1955,1955,2,0,https://www.profootballarchives.com/players/h/hall03400.html
John Hall,Wisconsin,10,1997,2006,134,0,https://www.profootballarchives.com/players/h/hall03450.html
Johnny Hall,Texas,Christian,4,1940,1943,36,https://www.profootballarchives.com/players/h/hall03500.html
Kemon Hall,Itawamba,CC;,North,Texas,3,2021,https://www.profootballarchives.com/players/h/hall03590.html
Ken Hall,Texas,A&M,4,1959,1961,34,https://www.profootballarchives.com/players/h/hall03600.html
Korey Hall,Boise,State,5,2007,2011,61,https://www.profootballarchives.com/players/h/hall03730.html
Lamont Hall,Clemson,6,1999,2005,94,19,https://www.profootballarchives.com/players/h/hall03750.html
Lemanski Hall,Alabama,8,1995,2002,101,20,https://www.profootballarchives.com/players/h/hall03850.html
Leon Hall,Michigan,12,2007,2018,152,111,https://www.profootballarchives.com/players/h/hall03870.html
Logan Hall,Houston,3,2022,2024,49,24,https://www.profootballarchives.com/players/h/hall03878.html
Mark Hall,Louisiana,State;,Mississippi,Gulf,Coast,CC;,https://www.profootballarchives.com/players/h/hall03900.html
Marvin Hall,Washington,6,2017,2021,47,6,https://www.profootballarchives.com/players/h/hall03912.html
Max Hall,Arizona,State;,Brigham,Young,1,2010,https://www.profootballarchives.com/players/h/hall03930.html
Michael Hall,Ohio,State,1,2024,2024,8,https://www.profootballarchives.com/players/h/hall03941.html
Nate Hall,Northwestern,1,2020,2020,10,0,https://www.profootballarchives.com/players/h/hall03965.html
Parker Hall,Mississippi,5,1939,1946,53,34,https://www.profootballarchives.com/players/h/hall04000.html
Pete Hall,Marquette,1,1961,1961,12,2,https://www.profootballarchives.com/players/h/hall04200.html
P.J. Hall,Sam,Houston,State,3,2018,2020,https://www.profootballarchives.com/players/h/hall04220.html
Randy Hall,Idaho,2,1974,1976,27,0,https://www.profootballarchives.com/players/h/hall04300.html
Rannell Hall,Central,Florida,1,2015,2015,1,https://www.profootballarchives.com/players/h/hall04310.html
Ray Hall,Washington,State,1,1995,1995,12,https://www.profootballarchives.com/players/h/hall04400.html
Rhett Hall,Gavilan,JC;,California,8,1991,1998,https://www.profootballarchives.com/players/h/hall04500.html
Ron Hall,Cal,Poly,(Pomona);,Hawaii,9,1987,https://www.profootballarchives.com/players/h/hall04700.html
Ronnie Hall,Missouri,Valley,8,1959,1967,97,https://www.profootballarchives.com/players/h/hall04800.html
Roy Hall,Ohio,State,2,2007,2008,7,https://www.profootballarchives.com/players/h/hall04870.html
Steven Hall,Kentucky,2,1996,1996,3,0,https://www.profootballarchives.com/players/h/hall04920.html
Terez Hall,Missouri,1,2020,2020,8,4,https://www.profootballarchives.com/players/h/hall04940.html
Tim Hall,Kemper,Military,JC;,Robert,Morris,2,https://www.profootballarchives.com/players/h/hall04950.html
Tom Hall,Minnesota,8,1962,1969,96,36,https://www.profootballarchives.com/players/h/hall05000.html
Travis Hall,Brigham,Young,11,1995,2005,150,https://www.profootballarchives.com/players/h/hall05100.html
Tyler Hall,Wyoming,4,2020,2023,30,6,https://www.profootballarchives.com/players/h/hall05110.html
Willie Hall,Arizona,Western,JC;,Southern,California,6,https://www.profootballarchives.com/players/h/hall05200.html
Windlan Hall,Arizona,State,7,1972,1977,81,https://www.profootballarchives.com/players/h/hall05400.html
Death Halladay,Chicago,2,1923,1924,17,17,https://www.profootballarchives.com/players/h/hall05600.html
Jack Halleck,none,1,1924,1924,5,2,https://www.profootballarchives.com/players/h/hall05800.html
Paul Halleck,Ohio,University,1,1937,1937,11,https://www.profootballarchives.com/players/h/hall06000.html
Bob Hallen,Kent,State,8,1998,2005,86,https://www.profootballarchives.com/players/h/hall06050.html
Alan Haller,Michigan,State,4,1992,1995,12,https://www.profootballarchives.com/players/h/hall06100.html
Jack Halliday,Southern,Methodist,1,1951,1951,12,https://www.profootballarchives.com/players/h/hall06200.html
Ty Hallock,Michigan,State,7,1993,2000,86,https://www.profootballarchives.com/players/h/hall06300.html
Clarence Halloran,Boston,College;,Fordham,1,1926,1926,https://www.profootballarchives.com/players/h/hall06400.html
Shawn Halloran,Boston,College,1,1987,1987,3,https://www.profootballarchives.com/players/h/hall06600.html
Stone Hallquist,Middlebury,1,1926,1926,8,4,https://www.profootballarchives.com/players/h/hall06800.html
Ron Hallstrom,Iowa,Central,CC;,Iowa,12,1982,https://www.profootballarchives.com/players/h/hall07000.html
Bob Halperin,Wisconsin,1,1932,1932,2,0,https://www.profootballarchives.com/players/h/halp00200.html
Willie Halpern,CCNY,1,1930,1930,3,2,https://www.profootballarchives.com/players/h/halp00400.html
Bernie Halstrom,Illinois,2,1920,1921,11,9,https://www.profootballarchives.com/players/h/hals00200.html
Aaron Halterman,Indiana,1,2007,2007,9,0,https://www.profootballarchives.com/players/h/halt00100.html
Jim Haluska,Wisconsin,1,1956,1956,5,0,https://www.profootballarchives.com/players/h/halu00200.html
Bill Halverson,Oregon,State,1,1942,1942,9,https://www.profootballarchives.com/players/h/halv00200.html
Dean Halverson,Washington,7,1968,1975,66,6,https://www.profootballarchives.com/players/h/halv00400.html
C.J. Ham,Augustana,(South,Dakota),8,2017,2024,https://www.profootballarchives.com/players/h/ham000050.html
Derrick Ham,Miami,(Florida),2,2000,2001,2,https://www.profootballarchives.com/players/h/ham000100.html
