Name,College,Years_Played,First_Season,Last_Season,Games_Played,Games_Started,Link
Player College,Years,First,Last,GP,GS,0,No Link
Cosmo Iacavazzi,Princeton,1,1965,1965,2,0,https://www.profootballarchives.com/players/i/iaca00200.html
Mike Iaquainiello,Michigan,State,1,1991,1991,15,https://www.profootballarchives.com/players/i/iaqu00200.html
Mohamed Ibrahim,Minnesota,1,2023,2023,1,0,https://www.profootballarchives.com/players/i/ibra00200.html
Israel Idonije,Manitoba,10,2004,2013,149,50,https://www.profootballarchives.com/players/i/idon00200.html
Mekeli Ieremia,Brigham,Young,1,1978,1978,2,https://www.profootballarchives.com/players/i/iere00200.html
Israel Ifeanyi,Orange,Coast,JC;,Southern,California,1,https://www.profootballarchives.com/players/i/ifea00200.html
Germain Ifedi,Texas,A&M,8,2016,2024,119,https://www.profootballarchives.com/players/i/ifed00100.html
Noah Igbinoghene,Auburn,5,2020,2024,53,18,https://www.profootballarchives.com/players/i/igbi00100.html
Floyd Iglehart,Wiley,1,1958,1958,1,0,https://www.profootballarchives.com/players/i/igle00200.html
Juaquin Iglesias,Oklahoma,1,2009,2009,1,0,https://www.profootballarchives.com/players/i/igle00550.html
Donald Igwebuike,Clemson,6,1985,1990,80,0,https://www.profootballarchives.com/players/i/igwe00200.html
Godwin Igwebuike,Northwestern,6,2018,2023,40,1,https://www.profootballarchives.com/players/i/igwe00250.html
Emil Igwenagu,Massachusetts,1,2012,2012,3,1,https://www.profootballarchives.com/players/i/igwe00400.html
James Ihedigbo,Massachusetts,9,2008,2016,117,55,https://www.profootballarchives.com/players/i/ihed00200.html
Carl Ihenacho,San,Jose,State,1,2012,2012,https://www.profootballarchives.com/players/i/ihen00200.html
Duke Ihenacho,San,Jose,State,5,2012,2016,https://www.profootballarchives.com/players/i/ihen00400.html
Ben Ijalana,Villanova,4,2011,2017,34,13,https://www.profootballarchives.com/players/i/ijal00200.html
Siaki Ika,Louisiana,State;,Baylor,1,2023,2023,https://www.profootballarchives.com/players/i/ika000200.html
Gabe Ikard,Oklahoma,3,2015,2016,6,0,https://www.profootballarchives.com/players/i/ikar00200.html
Jack Ikegwuonu,Wisconsin,1,2009,2009,1,0,https://www.profootballarchives.com/players/i/ikeg00200.html
Hank Ilesic,none,1,1989,1989,14,0,https://www.profootballarchives.com/players/i/iles00200.html
Ray Ilg,Colgate,2,1967,1968,28,2,https://www.profootballarchives.com/players/i/ilg000200.html
