Name,College,Years_Played,First_Season,Last_Season,Games_Played,Games_Started,Link
Vyto,Kab Penn State,6,1982,1987,58,https://www.profootballarchives.com/players/k/kab000200.html
Mike,Kabealo Ohio State,1,1944,1944,10,https://www.profootballarchives.com/players/k/kabe00200.html
John,Kacherski Ohio State,1,1992,1992,7,https://www.profootballarchives.com/players/k/kach00200.html
Jeff,Kacmarek Western Michigan,1,1987,1987,3,https://www.profootballarchives.com/players/k/kacm00200.html
Isaiah,Kacyvenski Harvard,8,2000,2006,100,https://www.profootballarchives.com/players/k/kacy00200.html
Mike,Kaczmarek Southern Illinois,1,1973,1973,14,https://www.profootballarchives.com/players/k/kacz00200.html
Nick,Kaczur Toledo,5,2005,2009,68,https://www.profootballarchives.com/players/k/kacz00600.html
Josh,Kaddu Oregon,3,2012,2014,6,https://www.profootballarchives.com/players/k/kadd00200.html
Dave,Kadela Virginia Tech,2,2001,2004,2,https://www.profootballarchives.com/players/k/kade00050.html
Max,Kadesky Iowa,1,1923,1923,8,https://www.profootballarchives.com/players/k/kade00200.html
Mike,Kadish Notre Dame,9,1973,1981,127,https://www.profootballarchives.com/players/k/kadi00200.html
Ron,Kadziel Stanford,1,1972,1972,14,https://www.profootballarchives.com/players/k/kadz00200.html
Nate,Kaeding Iowa,10,2004,2012,115,https://www.profootballarchives.com/players/k/kaed00200.html
Colin,Kaepernick Nevada-Reno,6,2011,2016,69,https://www.profootballarchives.com/players/k/kaep00200.html
Mort,Kaer Southern California,1,1931,1931,8,https://www.profootballarchives.com/players/k/kaer00200.html
Kevin,Kaesviharn Augustana (South Dakota),9,2001,2009,127,https://www.profootballarchives.com/players/k/kaes00200.html
Kurt,Kafentzis Hawaii,1,1987,1987,2,https://www.profootballarchives.com/players/k/kafe00200.html
Mark,Kafentzis Hawaii,3,1982,1984,40,https://www.profootballarchives.com/players/k/kafe00400.html
Mike,Kafka Northwestern,1,2011,2011,4,https://www.profootballarchives.com/players/k/kafk00200.html
Cy,Kahl North Dakota,2,1930,1931,11,https://www.profootballarchives.com/players/k/kahl00200.html
Bob,Kahler Nebraska,3,1942,1944,18,https://www.profootballarchives.com/players/k/kahl00400.html
Royal,Kahler Nebraska,2,1941,1942,17,https://www.profootballarchives.com/players/k/kahl00600.html
Eddie,Kahn North Carolina,3,1935,1937,26,https://www.profootballarchives.com/players/k/kahn00200.html
Karl,Kaimer Dean JC; Boston University,1,1962,1962,8,https://www.profootballarchives.com/players/k/kaim00200.html
Josh,Kaindoh Florida State,1,2021,2021,3,https://www.profootballarchives.com/players/k/kain01000.html
Jason,Kaiser Culver-Stockton,1,1998,1998,1,https://www.profootballarchives.com/players/k/kais00180.html
John,Kaiser Sequoias JC; Arizona,4,1984,1987,60,https://www.profootballarchives.com/players/k/kais00200.html
George,Kakasic Duquesne,4,1936,1939,36,https://www.profootballarchives.com/players/k/kaka00200.html
Ike,Kakela Minnesota,1,1930,1930,3,https://www.profootballarchives.com/players/k/kake00200.html
Jim,Kalafat Montana State,1,1987,1987,1,https://www.profootballarchives.com/players/k/kala00200.html
Peter,Kalambayi Stanford,3,2018,2020,41,https://www.profootballarchives.com/players/k/kala00850.html
Matt,Kalil Southern California,6,2012,2017,82,https://www.profootballarchives.com/players/k/kali00240.html
Ryan,Kalil Southern California,13,2007,2019,155,https://www.profootballarchives.com/players/k/kali00250.html
Dave,Kalina Coffeyville CC; Miami (Florida),1,1970,1970,2,https://www.profootballarchives.com/players/k/kali00600.html
Nikola,Kalinic York,2,2022,2024,9,https://www.profootballarchives.com/players/k/kali00650.html
Kyle,Kalis Michigan,2,2017,2018,7,https://www.profootballarchives.com/players/k/kali00770.html
Todd,Kalis Arizona State,7,1988,1995,103,https://www.profootballarchives.com/players/k/kali00800.html
Ed,Kallina Sam Houston State; Texas State,1,1928,1928,4,https://www.profootballarchives.com/players/k/kall00200.html
Tommy,Kalmanir Pittsburgh; Nevada-Reno,4,1949,1953,39,https://www.profootballarchives.com/players/k/kalm00200.html
Bob,Kalsu Oklahoma,1,1968,1968,14,https://www.profootballarchives.com/players/k/kals00200.html
Joshua,Kalu Nebraska,4,2018,2022,45,https://www.profootballarchives.com/players/k/kalu00050.html
N.D.,Kalu Rice,11,1997,2008,136,https://www.profootballarchives.com/players/k/kalu00100.html
Ufomba,Kamalu Butler CC; Miami (Florida),3,2016,2018,15,https://www.profootballarchives.com/players/k/kama00160.html
John,Kamana Southern California,2,1984,1987,5,https://www.profootballarchives.com/players/k/kama00200.html
Lew,Kamanu Weber State; Wenatchee Valley JC; Weber State,2,1967,1968,12,https://www.profootballarchives.com/players/k/kama00400.html
Alvin,Kamara Alabama; Hutchinson CC; Tennessee,8,2017,2024,115,https://www.profootballarchives.com/players/k/kama00590.html
Azur,Kamara Arizona Western JC; Kansas,1,2021,2021,9,https://www.profootballarchives.com/players/k/kama00800.html
Mohamed,Kamara Colorado State,1,2024,2024,5,https://www.profootballarchives.com/players/k/kama00950.html
Sam,Kamara Stony Brook,4,2021,2024,26,https://www.profootballarchives.com/players/k/kama01000.html
Larry,Kaminski Purdue,8,1966,1973,96,https://www.profootballarchives.com/players/k/kami00200.html
Carl,Kammerer San Joaquin Delta JC; Pacific,9,1961,1969,123,https://www.profootballarchives.com/players/k/kamm00200.html
