Name,College,Years_Played,First_Season,Last_Season,Games_Played,Games_Started,Link
Herb,Maack Columbia,1,1946,1946,8,https://www.profootballarchives.com/players/m/maac00200.html
J.D.,Maarleveld Notre Dame; Maryland,2,1986,1987,25,https://www.profootballarchives.com/players/m/maar00200.html
Bill,Maas Pittsburgh,10,1984,1993,130,https://www.profootballarchives.com/players/m/maas00200.html
Dylan,Mabin Fordham,2,2020,2020,4,https://www.profootballarchives.com/players/m/mabi00050.html
Greg,Mabin Iowa,7,2017,2022,46,https://www.profootballarchives.com/players/m/mabi00100.html
Ron,Mabra Howard,3,1975,1977,19,https://www.profootballarchives.com/players/m/mabr00200.html
Tyler,Mabry Buffalo; Maryland,3,2021,2024,12,https://www.profootballarchives.com/players/m/mabr00800.html
Ken,MacAfee Alabama,7,1954,1959,62,https://www.profootballarchives.com/players/m/maca00200.html
Ken,MacAfee Notre Dame,2,1978,1979,29,https://www.profootballarchives.com/players/m/maca00400.html
John,Macaulay Stanford,1,1984,1984,3,https://www.profootballarchives.com/players/m/maca00600.html
Red,MacCollum Centre,1,1922,1922,1,https://www.profootballarchives.com/players/m/macc00200.html
Allen,MacDonald,2,1923,1924,7,https://www.profootballarchives.com/players/m/macd00200.html
Buck,MacDonald Lehigh,2,1921,1921,2,https://www.profootballarchives.com/players/m/macd00400.html
Danny,MacDonald Golden West JC; Idaho State,1,1987,1987,3,https://www.profootballarchives.com/players/m/macd00600.html
Mark,MacDonald Boston College,5,1985,1988,44,https://www.profootballarchives.com/players/m/macd00800.html
Mickey,MacDonnell none,8,1925,1931,52,https://www.profootballarchives.com/players/m/macd00955.html
Jay,MacDowell Washington,6,1946,1951,64,https://www.profootballarchives.com/players/m/macd01000.html
Corey,Mace Palomar JC; Wyoming,2,2008,2009,5,https://www.profootballarchives.com/players/m/mace00070.html
Mel,Maceau Marquette,3,1946,1948,34,https://www.profootballarchives.com/players/m/mace00200.html
Don,Macek Boston College,14,1976,1989,162,https://www.profootballarchives.com/players/m/mace00400.html
John,Macerelli St. Vincent,1,1956,1956,12,https://www.profootballarchives.com/players/m/mace00600.html
J.P.,Machado Illinois,5,1999,2003,69,https://www.profootballarchives.com/players/m/mach00100.html
Mike,Machurek San Diego CC; Idaho State,1,1984,1984,4,https://www.profootballarchives.com/players/m/mach00600.html
Art,Macioszczyk Western Michigan,3,1944,1948,23,https://www.profootballarchives.com/players/m/maci00200.html
Alex,Mack California,13,2009,2021,196,https://www.profootballarchives.com/players/m/mack00130.html
Austin,Mack Ohio State,1,2020,2020,11,https://www.profootballarchives.com/players/m/mack00150.html
Cedric,Mack Baylor,12,1983,1993,140,https://www.profootballarchives.com/players/m/mack00400.html
Daylon,Mack Texas A&M,1,2019,2019,1,https://www.profootballarchives.com/players/m/mack00410.html
Elbert,Mack Butler CC; Troy,7,2008,2014,81,https://www.profootballarchives.com/players/m/mack00430.html
Isaiah,Mack Tennessee-Chattanooga,5,2019,2022,26,https://www.profootballarchives.com/players/m/mack00550.html
Kevin,Mack Clemson,9,1985,1993,99,https://www.profootballarchives.com/players/m/mack01000.html
Khalil,Mack Buffalo,11,2014,2024,167,https://www.profootballarchives.com/players/m/mack01100.html
Kim,Mack Florida State,1,1987,1987,1,https://www.profootballarchives.com/players/m/mack01200.html
Ledarius,Mack ASA JC; Buffalo,1,2021,2021,3,https://www.profootballarchives.com/players/m/mack01270.html
Marlon,Mack South Florida,7,2017,2022,55,https://www.profootballarchives.com/players/m/mack01300.html
Milton,Mack Alcorn State,8,1987,1994,111,https://www.profootballarchives.com/players/m/mack01400.html
Red,Mack Notre Dame,7,1961,1966,58,https://www.profootballarchives.com/players/m/mack01580.html
Rico,Mack Appalachian State,1,1993,1993,8,https://www.profootballarchives.com/players/m/mack01600.html
Stacey,Mack Southwest Mississippi CC; Temple,5,1999,2003,58,https://www.profootballarchives.com/players/m/mack01700.html
Terence,Mack Clemson,1,1987,1987,5,https://www.profootballarchives.com/players/m/mack01800.html
