Name,College,Years_Played,First_Season,Last_Season,Games_Played,Games_Started,Link
Player College,Years,First,Last,GP,GS,0,No Link
Marc Raab,Southern,California,2,1993,1998,3,https://www.profootballarchives.com/players/r/raab00200.html
Bob Raba,Maryland,5,1977,1981,37,0,https://www.profootballarchives.com/players/r/raba00200.html
Casey Rabach,Wisconsin,9,2002,2010,137,118,https://www.profootballarchives.com/players/r/raba00400.html
Warren Rabb,Louisiana,State,3,1960,1962,32,https://www.profootballarchives.com/players/r/rabb00200.html
Mike Rabold,Indiana,8,1959,1967,105,67,https://www.profootballarchives.com/players/r/rabo00200.html
Buster Raborn,Southern,Methodist,2,1936,1937,23,https://www.profootballarchives.com/players/r/rabo00400.html
Chilo Rachal,Southern,California,5,2008,2012,64,https://www.profootballarchives.com/players/r/rach00100.html
Latario Rachal,El,Camino,JC;,Fresno,State,2,https://www.profootballarchives.com/players/r/rach00200.html
Frank Racis,none,8,1925,1931,76,69,https://www.profootballarchives.com/players/r/raci00200.html
Neil Rackers,Illinois,12,2000,2011,180,0,https://www.profootballarchives.com/players/r/rack00100.html
David Rackley,Miami-Dade,JC;,Texas,Southern,1,1985,https://www.profootballarchives.com/players/r/rack00200.html
Derek Rackley,Minnesota,8,2000,2007,116,1,https://www.profootballarchives.com/players/r/rack00250.html
Will Rackley,Lehigh,2,2011,2013,26,25,https://www.profootballarchives.com/players/r/rack00600.html
George Radachowsky,Boston,College,5,1984,1989,52,https://www.profootballarchives.com/players/r/rada00200.html
John Rade,Northern,Arizona;,Modesto,JC;,Boise,State,https://www.profootballarchives.com/players/r/rade00200.html
Keith Radecic,Penn,State,1,1987,1987,3,https://www.profootballarchives.com/players/r/rade00400.html
Scott Radecic,Penn,State,12,1984,1995,182,https://www.profootballarchives.com/players/r/rade00600.html
Bill Rademacher,Northern,Michigan,7,1964,1970,57,https://www.profootballarchives.com/players/r/rade01000.html
Jason Rader,Georgia;,Marshall,2,2006,2008,11,https://www.profootballarchives.com/players/r/rade01350.html
Kevin Rader,Youngstown,State,4,2020,2023,35,https://www.profootballarchives.com/players/r/rade01600.html
Bruce Radford,Grambling,State,3,1979,1981,37,https://www.profootballarchives.com/players/r/radf00200.html
Ken Radick,Indiana;,Marquette,3,1930,1931,7,https://www.profootballarchives.com/players/r/radi00200.html
Wayne Radloff,Georgia,5,1985,1989,64,42,https://www.profootballarchives.com/players/r/radl00200.html
Alex Rado,West,Virginia,Tech,1,1934,1934,https://www.profootballarchives.com/players/r/rado00200.html
George Rado,Duquesne,5,1935,1938,42,21,https://www.profootballarchives.com/players/r/rado00400.html
George Radosevich,Pittsburgh,3,1954,1956,30,16,https://www.profootballarchives.com/players/r/rado00600.html
Bill Radovich,Southern,California,7,1938,1947,78,https://www.profootballarchives.com/players/r/rado00800.html
Dillon Radunz,North,Dakota,State,4,2021,2024,https://www.profootballarchives.com/players/r/radu00400.html
Vic Radzevich,Connecticut,1,1926,1926,8,0,https://www.profootballarchives.com/players/r/radz00200.html
Mike Rae,Southern,California,4,1976,1979,28,https://www.profootballarchives.com/players/r/rae000200.html
Bill Raffel,Pennsylvania,1,1932,1932,4,2,https://www.profootballarchives.com/players/r/raff00200.html
Ian Rafferty,North,Carolina,State,1,1999,1999,https://www.profootballarchives.com/players/r/raff00250.html
Tom Rafferty,Penn,State,14,1976,1989,203,https://www.profootballarchives.com/players/r/raff00400.html
Vince Rafferty,Colorado,1,1987,1987,3,3,https://www.profootballarchives.com/players/r/raff00600.html
Billy Rafter,Syracuse,2,1921,1924,3,0,https://www.profootballarchives.com/players/r/raft00200.html
Trey Ragas,Louisiana-Lafayette,1,2021,2021,1,0,https://www.profootballarchives.com/players/r/raga00150.html
Phil Ragazzo,Western,Reserve,8,1938,1947,63,https://www.profootballarchives.com/players/r/raga00200.html
Reggie Ragland,Alabama,6,2017,2022,79,49,https://www.profootballarchives.com/players/r/ragl00100.html
Floyd Raglin,Nevada-Las,Vegas;,Southern,University,1,1987,https://www.profootballarchives.com/players/r/ragl00200.html
Frank Ragnow,Arkansas,7,2018,2024,97,97,https://www.profootballarchives.com/players/r/ragn00200.html
Dave Ragone,Louisville,1,2003,2003,2,2,https://www.profootballarchives.com/players/r/rago00170.html
George Ragsdale,North,Carolina,A&T,State,3,1977,https://www.profootballarchives.com/players/r/rags00200.html
Vince Ragunas,Virginia,Military,Institute,1,1949,1949,https://www.profootballarchives.com/players/r/ragu00200.html
Pat Ragusa,St.,John's,(New,York),1,1987,https://www.profootballarchives.com/players/r/ragu00400.html
Steve Raible,Georgia,Tech,6,1976,1981,84,https://www.profootballarchives.com/players/r/raib00200.html
Jim Raiff,Dayton,1,1954,1954,1,0,https://www.profootballarchives.com/players/r/raif00200.html
Bernhard Raimann,Central,Michigan,3,2022,2024,45,https://www.profootballarchives.com/players/r/raim00100.html
Dave Raimey,Michigan,1,1964,1964,5,0,https://www.profootballarchives.com/players/r/raim00200.html
Ben Raimondi,William,&,Mary;,Indiana,1,1947,https://www.profootballarchives.com/players/r/raim00400.html
Wali Rainer,Virginia,7,1999,2005,110,73,https://www.profootballarchives.com/players/r/rain00100.html
Mike Raines,Alabama,1,1974,1974,2,0,https://www.profootballarchives.com/players/r/rain00200.html
Bobby Rainey,Western,Kentucky,6,2013,2017,65,https://www.profootballarchives.com/players/r/rain00290.html
Chris Rainey,Florida,2,2012,2013,18,0,https://www.profootballarchives.com/players/r/rain00300.html
Dan Rains,Cincinnati,4,1982,1986,42,5,https://www.profootballarchives.com/players/r/rain00400.html
Dominic Raiola,Nebraska,14,2001,2014,219,203,https://www.profootballarchives.com/players/r/raio00200.html
Donovan Raiola,Wisconsin,1,2010,2010,1,0,https://www.profootballarchives.com/players/r/raio00400.html
B.J. Raji,Boston,College,6,2009,2015,91,https://www.profootballarchives.com/players/r/raji00200.html
Pete Rajkovich,Detroit,Mercy,1,1934,1934,3,https://www.profootballarchives.com/players/r/rajk00200.html
Ennis Rakestraw,Missouri,1,2024,2024,8,0,https://www.profootballarchives.com/players/r/rake00120.html
