Name,College,Years_Played,First_Season,Last_Season,Games_Played,Games_Started,Link
Player College,Years,First,Last,GP,GS,0,No Link
Kelly Saalfeld,Nebraska,1,1980,1980,7,0,https://www.profootballarchives.com/players/s/saal00200.html
Brad Saar,Lake,County,JC;,Ball,State,1,https://www.profootballarchives.com/players/s/saar00200.html
Andy Sabados,The,Citadel,2,1939,1940,20,https://www.profootballarchives.com/players/s/saba00200.html
Ron Sabal,Purdue,2,1960,1961,28,28,https://www.profootballarchives.com/players/s/saba00400.html
Lou Saban,Indiana,4,1946,1949,54,54,https://www.profootballarchives.com/players/s/saba00600.html
Joe Sabasteanski,Fordham,3,1947,1949,35,19,https://www.profootballarchives.com/players/s/saba00800.html
Bill Sabatino,Colorado,2,1968,1969,13,4,https://www.profootballarchives.com/players/s/saba01000.html
Dwayne Sabb,New,Hampshire,5,1992,1996,74,https://www.profootballarchives.com/players/s/sabb00200.html
Tino Sabuco,Wayne,State,(Michigan);,San,Francisco,1,https://www.profootballarchives.com/players/s/sabu00200.html
Tony Sacca,Penn,State,1,1992,1992,2,https://www.profootballarchives.com/players/s/sacc00200.html
Frank Sacco,Fordham,1,1987,1987,2,0,https://www.profootballarchives.com/players/s/sacc00400.html
Lenny Sachs,American,College,of,Physical,Education,9,https://www.profootballarchives.com/players/s/sach00200.html
Frank Sachse,Texas,Tech,3,1943,1945,20,https://www.profootballarchives.com/players/s/sach00400.html
Jack Sachse,Southwestern,(Texas);,Texas,1,1945,1945,https://www.profootballarchives.com/players/s/sach00600.html
Jack Sack,Pittsburgh,3,1923,1926,17,17,https://www.profootballarchives.com/players/s/sack00200.html
Norb Sacksteder,Dayton;,Christian,Brothers,5,1920,1925,https://www.profootballarchives.com/players/s/sack00400.html
Nick Sacrinty,Wake,Forest,1,1947,1947,10,https://www.profootballarchives.com/players/s/sacr00200.html
Rod Saddler,Texas,A&M,6,1987,1991,65,https://www.profootballarchives.com/players/s/sadd00200.html
Jimmy Saddler-McQueen,Texas,A&M-Kingsville,2,2010,2012,2,https://www.profootballarchives.com/players/s/sadd00400.html
Steve Sader,none,1,1943,1943,1,0,https://www.profootballarchives.com/players/s/sade00200.html
Troy Sadowski,Georgia,9,1990,1998,100,6,https://www.profootballarchives.com/players/s/sado00200.html
Eddie Saenz,Loyola,Marymount;,Southern,California,6,1946,https://www.profootballarchives.com/players/s/saen00200.html
Rodger Saffold,Indiana,13,2010,2022,176,173,https://www.profootballarchives.com/players/s/saff00170.html
Saint Saffold,San,Jose,State,1,1968,1968,https://www.profootballarchives.com/players/s/saff00200.html
Pio Sagapolutele,San,Diego,State,7,1991,1997,https://www.profootballarchives.com/players/s/saga00200.html
Floyd Sagely,Arkansas,3,1954,1957,25,6,https://www.profootballarchives.com/players/s/sage00200.html
Ken Sager,Western,Washington,1,1987,1987,3,https://www.profootballarchives.com/players/s/sage00400.html
Tony Sagnella,Rutgers,1,1987,1987,3,2,https://www.profootballarchives.com/players/s/sagn00200.html
Tom Saidock,Michigan,State,4,1957,1962,41,https://www.profootballarchives.com/players/s/said00200.html
George Saimes,Michigan,State,10,1963,1972,121,https://www.profootballarchives.com/players/s/saim00200.html
Pat Saindon,Vanderbilt,2,1986,1987,11,4,https://www.profootballarchives.com/players/s/sain00200.html
Brandon Saine,Ohio,State,2,2011,2012,14,https://www.profootballarchives.com/players/s/sain00220.html
Mike Sainristil,Michigan,1,2024,2024,17,16,https://www.profootballarchives.com/players/s/sain00225.html
Amon-Ra St.,Brown,Southern,California,4,2021,2024,https://www.profootballarchives.com/players/s/sain00237.html
Equanimeous St.,Brown,Notre,Dame,6,2018,2024,https://www.profootballarchives.com/players/s/sain00240.html
Bob St.,Clair,San,Francisco;,Tulsa,11,1953,https://www.profootballarchives.com/players/s/sain00400.html
John St.,Clair,Virginia,9,2002,2010,132,https://www.profootballarchives.com/players/s/sain00550.html
Mike St.,Clair,Iowa,Central,CC;,Grambling,State,https://www.profootballarchives.com/players/s/sain00600.html
Tom St.,Germaine,Carlisle,Indian;,Howard,1,1922,https://www.profootballarchives.com/players/s/sain00800.html
Len St.,Jean,Northern,Michigan,10,1964,1973,https://www.profootballarchives.com/players/s/sain01000.html
Herb St.,John,Georgia,2,1948,1949,22,https://www.profootballarchives.com/players/s/sain01200.html
Benjamin St-Juste,Michigan;,Minnesota,4,2021,2024,54,https://www.profootballarchives.com/players/s/sain01330.html
Brad St.,Louis,Missouri,State,10,2000,2009,https://www.profootballarchives.com/players/s/sain01350.html
Tyree St.,Louis,Miami,(Florida),1,2020,2020,https://www.profootballarchives.com/players/s/sain01440.html
Brian St.,Pierre,Boston,College,3,2004,2010,https://www.profootballarchives.com/players/s/sain01700.html
Blaine Saipaia,Colorado,State,4,2004,2007,37,https://www.profootballarchives.com/players/s/saip00200.html
Abdul Salaam,Kent,State,8,1976,1983,97,https://www.profootballarchives.com/players/s/sala00200.html
Ephraim Salaam,San,Diego,State,13,1998,2010,https://www.profootballarchives.com/players/s/sala00300.html
Rashaan Salaam,Colorado,4,1995,1999,33,20,https://www.profootballarchives.com/players/s/sala00400.html
Greg Salas,Hawaii,6,2011,2016,29,3,https://www.profootballarchives.com/players/s/sala00650.html
Andy Salata,Pittsburgh,2,1929,1930,20,18,https://www.profootballarchives.com/players/s/sala00700.html
Paul Salata,Southern,California,3,1949,1950,23,https://www.profootballarchives.com/players/s/sala00800.html
Joe Salave'a,Arizona,8,1998,2006,100,28,https://www.profootballarchives.com/players/s/sala01000.html
Jay Saldi,South,Carolina,9,1976,1984,112,https://www.profootballarchives.com/players/s/sald00200.html
Nick Saldiveri,Old,Dominion,2,2023,2024,15,https://www.profootballarchives.com/players/s/sald00600.html
Dan Saleaumua,Arizona,State,12,1987,1998,177,https://www.profootballarchives.com/players/s/sale00200.html
Tarek Saleh,Wisconsin,5,1997,2001,59,1,https://www.profootballarchives.com/players/s/sale00300.html
Eddie Salem,Alabama,1,1951,1951,12,12,https://www.profootballarchives.com/players/s/sale00400.html
Harvey Salem,California,11,1983,1992,126,107,https://www.profootballarchives.com/players/s/sale00600.html
Sam Salemi,Columbia;,St.,John's,(New,York);,Canisius,https://www.profootballarchives.com/players/s/sale00800.html
Sean Salisbury,Southern,California,5,1987,1996,40,https://www.profootballarchives.com/players/s/sali00200.html
Nate Salley,Ohio,State,2,2006,2008,24,https://www.profootballarchives.com/players/s/sall00110.html
Jerome Sally,Missouri,7,1982,1988,83,24,https://www.profootballarchives.com/players/s/sall00200.html
Mike Salmon,Southern,California,1,1997,1997,1,https://www.profootballarchives.com/players/s/salm00200.html
Brian Salonen,Montana,2,1984,1985,32,0,https://www.profootballarchives.com/players/s/salo00200.html
Jim Salsbury,UCLA,4,1955,1958,47,43,https://www.profootballarchives.com/players/s/sals00200.html
Jack Salscheider,St.,Thomas,(Minnesota),1,1949,1949,https://www.profootballarchives.com/players/s/sals00400.html
Bryant Salter,Pittsburgh,7,1971,1976,71,48,https://www.profootballarchives.com/players/s/salt00200.html
Jamaree Salyer,Georgia,3,2022,2024,51,35,https://www.profootballarchives.com/players/s/saly00200.html
Andre' Sam,McNeese,State;,Marshall;,Louisiana,State,1,https://www.profootballarchives.com/players/s/sam000110.html
P.K. Sam,Florida,State,1,2004,2004,2,https://www.profootballarchives.com/players/s/sam000400.html
Ty Sambrailo,Colorado,State,7,2015,2021,71,https://www.profootballarchives.com/players/s/samb00100.html
Dru Samia,Oklahoma,2,2019,2020,15,4,https://www.profootballarchives.com/players/s/sami00200.html
Cam Sample,Tulane,3,2021,2023,47,3,https://www.profootballarchives.com/players/s/samp00140.html
Chuck Sample,Toledo,2,1942,1945,9,1,https://www.profootballarchives.com/players/s/samp00200.html
Drew Sample,Washington,6,2019,2024,78,50,https://www.profootballarchives.com/players/s/samp00250.html
James Sample,Washington;,American,River,JC;,Louisville,1,https://www.profootballarchives.com/players/s/samp00380.html
Johnny Sample,Maryland-Eastern,Shore,11,1958,1968,125,https://www.profootballarchives.com/players/s/samp00400.html
Lawrence Sampleton,Texas,4,1982,1987,35,5,https://www.profootballarchives.com/players/s/samp00800.html
Art Sampson,none,1,1921,1921,8,5,https://www.profootballarchives.com/players/s/samp01000.html
Clint Sampson,Mount,San,Antonio,JC;,San,Diego,https://www.profootballarchives.com/players/s/samp01200.html
DeMarco Sampson,San,Diego,State,1,2011,2011,https://www.profootballarchives.com/players/s/samp01270.html
Eber Sampson,none,3,1921,1923,14,13,https://www.profootballarchives.com/players/s/samp01300.html
Greg Sampson,Stanford,7,1972,1978,93,67,https://www.profootballarchives.com/players/s/samp01400.html
Howard Sampson,Arkansas,2,1978,1979,31,0,https://www.profootballarchives.com/players/s/samp01600.html
Kevin Sampson,Syracuse,3,2004,2006,17,7,https://www.profootballarchives.com/players/s/samp01740.html
B.J. Sams,McNeese,State,5,2004,2008,46,https://www.profootballarchives.com/players/s/sams00050.html
Ron Sams,Pittsburgh,2,1983,1984,15,10,https://www.profootballarchives.com/players/s/sams00200.html
Michael Samson,Grambling,State,1,1996,1996,2,https://www.profootballarchives.com/players/s/sams00300.html
Seneca Samson,Brown,1,1926,1926,2,1,https://www.profootballarchives.com/players/s/sams00400.html
Josh Samuda,Massachusetts,1,2012,2012,16,0,https://www.profootballarchives.com/players/s/samu00020.html
Asante Samuel,Central,Florida,11,2003,2013,157,https://www.profootballarchives.com/players/s/samu00050.html
Asante Samuel,Florida,State,4,2021,2024,50,https://www.profootballarchives.com/players/s/samu00051.html
Curtis Samuel,Ohio,State,8,2017,2024,105,https://www.profootballarchives.com/players/s/samu00150.html
Deebo Samuel,South,Carolina,6,2019,2024,81,https://www.profootballarchives.com/players/s/samu00180.html
Don Samuel,Oregon,State,2,1949,1950,7,https://www.profootballarchives.com/players/s/samu00200.html
Khari Samuel,Massachusetts,4,1999,2001,39,1,https://www.profootballarchives.com/players/s/samu00300.html
Chris Samuels,Texas,1,1991,1991,3,0,https://www.profootballarchives.com/players/s/samu00400.html
Chris Samuels,Alabama,10,2000,2009,141,141,https://www.profootballarchives.com/players/s/samu00420.html
Jaylen Samuels,North,Carolina,State,4,2018,2021,https://www.profootballarchives.com/players/s/samu00473.html
Stanford Samuels,Florida,State,1,2020,2020,2,https://www.profootballarchives.com/players/s/samu00521.html
Terry Samuels,Kentucky,2,1994,1995,20,7,https://www.profootballarchives.com/players/s/samu00550.html
Tony Samuels,Florida,A&M;,Bethune-Cookman,5,1977,1980,https://www.profootballarchives.com/players/s/samu00600.html
Carl Samuelson,Nebraska,4,1948,1951,43,27,https://www.profootballarchives.com/players/s/samu00800.html
Bill Sanborn,none,1,1921,1921,1,1,https://www.profootballarchives.com/players/s/sanb00200.html
Garrison Sanborn,Florida,State,11,2009,2019,163,https://www.profootballarchives.com/players/s/sanb00300.html
Jack Sanborn,Wisconsin,3,2022,2024,48,19,https://www.profootballarchives.com/players/s/sanb00320.html
Davis Sanchez,Capilano,JC;,Butte,CC;,Oregon,2,https://www.profootballarchives.com/players/s/sanc00070.html
Jeff Sanchez,Tulane,1,2003,2003,1,0,https://www.profootballarchives.com/players/s/sanc00160.html
Johnny Sanchez,Los,Angeles,CC;,San,Francisco;,Whittier;,https://www.profootballarchives.com/players/s/sanc00200.html
Lupe Sanchez,UCLA,3,1986,1988,39,9,https://www.profootballarchives.com/players/s/sanc00400.html
Mark Sanchez,Southern,California,8,2009,2018,79,https://www.profootballarchives.com/players/s/sanc00500.html
Rigoberto Sanchez,Butte,CC;,Hawaii,7,2017,2024,https://www.profootballarchives.com/players/s/sanc00645.html
Zack Sanchez,Oklahoma,1,2016,2016,5,1,https://www.profootballarchives.com/players/s/sanc00700.html
Arnie Sandberg,none,2,1926,1929,8,4,https://www.profootballarchives.com/players/s/sand00200.html
Sandy Sandberg,Iowa,Wesleyan,5,1934,1937,35,https://www.profootballarchives.com/players/s/sand00400.html
Dick Sandefur,Purdue,2,1936,1937,9,0,https://www.profootballarchives.com/players/s/sand00600.html
Bill Sandeman,Stockton,JC;,Pacific,9,1966,1973,https://www.profootballarchives.com/players/s/sand00800.html
B.J. Sander,Ohio,State,1,2005,2005,14,https://www.profootballarchives.com/players/s/sand00900.html
Mark Sander,Louisville,1,1992,1992,12,2,https://www.profootballarchives.com/players/s/sand01000.html
Ace Sanders,South,Carolina,2,2013,2014,27,https://www.profootballarchives.com/players/s/sand01040.html
Barry Sanders,Oklahoma,State,10,1989,1998,153,https://www.profootballarchives.com/players/s/sand01200.html
Bob Sanders,Tyler,JC;,North,Texas,1,1967,https://www.profootballarchives.com/players/s/sand01400.html
Bob Sanders,Iowa,8,2004,2011,49,47,https://www.profootballarchives.com/players/s/sand01450.html
Brandon Sanders,Arizona,3,1997,1999,34,2,https://www.profootballarchives.com/players/s/sand01500.html
Braylon Sanders,Mississippi,1,2022,2022,3,0,https://www.profootballarchives.com/players/s/sand01505.html
Charlie Sanders,Minnesota,10,1968,1977,128,122,https://www.profootballarchives.com/players/s/sand01600.html
Chris Sanders,Ohio,State,7,1995,2001,97,https://www.profootballarchives.com/players/s/sand01700.html
Chris Sanders,Texas,A&M,1,1997,1997,1,https://www.profootballarchives.com/players/s/sand01750.html
Chuck Sanders,Slippery,Rock,2,1986,1987,19,https://www.profootballarchives.com/players/s/sand01800.html
Clarence Sanders,Cincinnati,2,1978,1980,17,1,https://www.profootballarchives.com/players/s/sand02000.html
Darnell Sanders,Ohio,State,3,2002,2004,28,https://www.profootballarchives.com/players/s/sand02180.html
Daryl Sanders,Ohio,State,4,1963,1966,56,https://www.profootballarchives.com/players/s/sand02250.html
Deion Sanders,Florida,State,14,1989,2005,188,https://www.profootballarchives.com/players/s/sand02400.html
Drew Sanders,Alabama;,Arkansas,2,2023,2024,21,https://www.profootballarchives.com/players/s/sand02550.html
Emmanuel Sanders,Southern,Methodist,13,2010,2021,172,https://www.profootballarchives.com/players/s/sand02570.html
Eric Sanders,Nevada-Reno,13,1981,1992,157,42,https://www.profootballarchives.com/players/s/sand02600.html
Frank Sanders,Auburn,9,1995,2003,136,120,https://www.profootballarchives.com/players/s/sand02700.html
Gene Sanders,Texas,A&M,7,1979,1985,77,https://www.profootballarchives.com/players/s/sand02800.html
Glen Sanders,Louisiana,Tech,4,1990,1995,28,https://www.profootballarchives.com/players/s/sand03000.html
Jack Sanders,Southern,Methodist,4,1940,1945,33,https://www.profootballarchives.com/players/s/sand03200.html
James Sanders,Fresno,State,8,2005,2012,114,https://www.profootballarchives.com/players/s/sand03270.html
Jason Sanders,New,Mexico,7,2018,2024,116,https://www.profootballarchives.com/players/s/sand03280.html
Ja'Tavion Sanders,Texas,1,2024,2024,16,8,https://www.profootballarchives.com/players/s/sand03283.html
Joe Sanders,Kentucky,Wesleyan,1,1922,1922,2,https://www.profootballarchives.com/players/s/sand03400.html
John Sanders,South,Dakota,6,1974,1979,60,https://www.profootballarchives.com/players/s/sand03600.html
Ken Sanders,Howard,Payne,10,1972,1981,100,https://www.profootballarchives.com/players/s/sand03800.html
Lewis Sanders,Maryland,8,2000,2008,97,29,https://www.profootballarchives.com/players/s/sand03900.html
Lonnie Sanders,Michigan,State,7,1963,1969,71,https://www.profootballarchives.com/players/s/sand04000.html
Miles Sanders,Penn,State,6,2019,2024,84,https://www.profootballarchives.com/players/s/sand04060.html
