Name,College,Years_Played,First_Season,Last_Season,Games_Played,Games_Started,Link
Alameda,Ta'amu Washington,2,2013,2014,21,https://www.profootballarchives.com/players/t/taam00100.html
Paul,Tabor Oklahoma,1,1980,1980,16,https://www.profootballarchives.com/players/t/tabo00200.html
Phil,Tabor Oklahoma,4,1979,1982,56,https://www.profootballarchives.com/players/t/tabo00400.html
Teez,Tabor Florida,5,2017,2023,39,https://www.profootballarchives.com/players/t/tabo00550.html
Doyle,Tackett none,3,1946,1948,26,https://www.profootballarchives.com/players/t/tack00200.html
Cookie,Tackwell Kansas State,8,1930,1934,55,https://www.profootballarchives.com/players/t/tack00400.html
Joe,Taffoni West Virginia; Tennessee-Martin,6,1967,1973,78,https://www.profootballarchives.com/players/t/taff00200.html
Joe,Tafoya Arizona,6,2001,2007,76,https://www.profootballarchives.com/players/t/tafo00100.html
Jerry,Tagge Nebraska,3,1972,1974,18,https://www.profootballarchives.com/players/t/tagg00400.html
John,Tagliaferri Cornell,1,1987,1987,3,https://www.profootballarchives.com/players/t/tagl00200.html
Tua,Tagovailoa Alabama,5,2020,2024,65,https://www.profootballarchives.com/players/t/tago00200.html
Naufahu,Tahi Brigham Young,4,2007,2010,56,https://www.profootballarchives.com/players/t/tahi00200.html
Joe,Taibi Idaho,1,1987,1987,3,https://www.profootballarchives.com/players/t/taib00400.html
Taki,Taimani Washington; Oregon,1,2024,2024,7,https://www.profootballarchives.com/players/t/taim00200.html
Art,Tait Mississippi State,2,1951,1952,20,https://www.profootballarchives.com/players/t/tait00200.html
John,Tait Brigham Young,10,1999,2008,148,https://www.profootballarchives.com/players/t/tait00400.html
Sione,Takitaki Brigham Young,6,2019,2024,83,https://www.profootballarchives.com/players/t/taki00200.html
Bob,Talamini Kentucky,9,1960,1968,126,https://www.profootballarchives.com/players/t/tala00200.html
Kelly,Talavou Idaho; Utah,1,2009,2009,3,https://www.profootballarchives.com/players/t/tala00600.html
Diron,Talbert Texas,14,1967,1980,186,https://www.profootballarchives.com/players/t/talb00200.html
Don,Talbert Texas,8,1962,1971,103,https://www.profootballarchives.com/players/t/talb00400.html
John,Talbot Brown,1,1926,1926,2,https://www.profootballarchives.com/players/t/talb00600.html
Jim,Talbott North Dakota,1,1920,1920,1,https://www.profootballarchives.com/players/t/talb00800.html
Don,Talcott Nevada-Reno,1,1947,1947,8,https://www.profootballarchives.com/players/t/talc00200.html
George,Taliaferro Indiana,7,1949,1955,72,https://www.profootballarchives.com/players/t/tali00200.html
Lorenzo,Taliaferro Lackawanna JC; Coastal Carolina,3,2014,2016,19,https://www.profootballarchives.com/players/t/tali00400.html
Mike,Taliaferro Illinois,8,1964,1972,83,https://www.profootballarchives.com/players/t/tali00600.html
Aqib,Talib Kansas,13,2008,2019,148,https://www.profootballarchives.com/players/t/tali00700.html
Dave,Tallant Muskingum; Grove City,5,1921,1925,18,https://www.profootballarchives.com/players/t/tall00200.html
Ben,Talley Tennessee,2,1995,1998,12,https://www.profootballarchives.com/players/t/tall00300.html
Darryl,Talley West Virginia,14,1983,1996,216,https://www.profootballarchives.com/players/t/tall00400.html
John,Talley West Virginia,2,1990,1991,17,https://www.profootballarchives.com/players/t/tall00600.html
Julian,Talley Massachusetts,2,2013,2014,4,https://www.profootballarchives.com/players/t/tall00635.html
Ronald,Talley Notre Dame; Delaware,3,2011,2013,15,https://www.profootballarchives.com/players/t/tall00700.html
Stan,Talley El Camino JC; Texas Christian,1,1987,1987,12,https://www.profootballarchives.com/players/t/tall00800.html
Charlie,Tallman,1,1921,1921,1,https://www.profootballarchives.com/players/t/tall01000.html
Ken,Talton Cornell,1,1980,1980,2,https://www.profootballarchives.com/players/t/talt00200.html
Ty,Talton Northern Iowa,1,1999,1999,12,https://www.profootballarchives.com/players/t/talt00400.html
Ben,Tamburello Auburn,4,1987,1990,50,https://www.profootballarchives.com/players/t/tamb00200.html
Sam,Tamburo Penn State,1,1949,1949,12,https://www.profootballarchives.com/players/t/tamb00400.html
Ralph,Tamm West Chester,12,1990,1999,121,https://www.profootballarchives.com/players/t/tamm00200.html
Jacob,Tamme Kentucky,9,2008,2016,130,https://www.profootballarchives.com/players/t/tamm00600.html
T.J.,Tampa Iowa State,1,2024,2024,7,https://www.profootballarchives.com/players/t/tamp00200.html
George,Tandy North Carolina,1,1921,1921,3,https://www.profootballarchives.com/players/t/tand00200.html
Keith,Tandy West Virginia,7,2012,2018,90,https://www.profootballarchives.com/players/t/tand00400.html
James,Tanguay New York University,1,1933,1933,3,https://www.profootballarchives.com/players/t/tang00200.html
Cordrea,Tankersley Clemson,3,2017,2020,19,https://www.profootballarchives.com/players/t/tank00100.html
Ryan,Tannehill Texas A&M,11,2012,2023,154,https://www.profootballarchives.com/players/t/tann00150.html
Steve,Tannen Florida,5,1970,1974,61,https://www.profootballarchives.com/players/t/tann00200.html
Barron,Tanner Oklahoma,6,1997,2003,79,https://www.profootballarchives.com/players/t/tann00300.html
Bob,Tanner Minnesota,1,1930,1930,11,https://www.profootballarchives.com/players/t/tann00400.html
Hamp,Tanner Georgia,2,1951,1952,22,https://www.profootballarchives.com/players/t/tann00600.html
John,Tanner Centre,3,1922,1924,10,https://www.profootballarchives.com/players/t/tann00800.html
John,Tanner Brevard JC; Tennessee Tech,3,1971,1974,40,https://www.profootballarchives.com/players/t/tann01000.html
Phillip,Tanner Middle Tennessee State,4,2011,2014,41,https://www.profootballarchives.com/players/t/tann01150.html
Alex,Tanney Monmouth (Illinois),2,2015,2019,2,https://www.profootballarchives.com/players/t/tann01400.html
Jay,Tant Northwestern,1,2000,2000,5,https://www.profootballarchives.com/players/t/tant00400.html
Maa,Tanuvasa Hawaii,7,1995,2001,82,https://www.profootballarchives.com/players/t/tanu00200.html
Thomas,Tapeh Minnesota,4,2004,2008,41,https://www.profootballarchives.com/players/t/tape00200.html
Darryl,Tapp Virginia Tech,12,2006,2017,165,https://www.profootballarchives.com/players/t/tapp00250.html
Charles,Tapper Oklahoma,1,2017,2017,2,https://www.profootballarchives.com/players/t/tapp00300.html
George,Tarasovic Boston College; Northeast Louisana JC; Louisiana State,14,1952,1966,155,https://www.profootballarchives.com/players/t/tara00200.html
Bruce,Tarbox Syracuse,1,1961,1961,7,https://www.profootballarchives.com/players/t/tarb00200.html
Richard,Tardits Georgia,3,1990,1992,27,https://www.profootballarchives.com/players/t/tard00200.html
Fran,Tarkenton Georgia,18,1961,1978,246,https://www.profootballarchives.com/players/t/tark00200.html
Jim,Tarle South Carolina; Arkansas State,2,2000,2001,15,https://www.profootballarchives.com/players/t/tarl00200.html
Jeff,Tarpinian Iowa,4,2011,2014,32,https://www.profootballarchives.com/players/t/tarp00100.html
A.J.,Tarpley Stanford,1,2015,2015,14,https://www.profootballarchives.com/players/t/tarp00150.html
Jerry,Tarr Bakersfield CC; Oregon,1,1962,1962,14,https://www.profootballarchives.com/players/t/tarr00200.html
Jim,Tarr Missouri,1,1931,1931,1,https://www.profootballarchives.com/players/t/tarr00400.html
Bob,Tarrant Pittsburg State,1,1936,1936,1,https://www.profootballarchives.com/players/t/tarr00600.html
Jim,Tarrant Samford; Tennessee,1,1946,1946,4,https://www.profootballarchives.com/players/t/tarr00800.html
Teair,Tart ASA JC; Ellsworth CC; Florida International,6,2020,2024,65,https://www.profootballarchives.com/players/t/tart00350.html
Jaquiski,Tartt Samford,7,2015,2021,80,https://www.profootballarchives.com/players/t/tart00600.html
John,Tarver Bakersfield CC; Colorado,4,1972,1975,39,https://www.profootballarchives.com/players/t/tarv00200.html
Carl,Taseff John Carroll,12,1951,1962,115,https://www.profootballarchives.com/players/t/tase00200.html
Pasoni,Tasini Snow JC; Utah,1,2018,2018,1,https://www.profootballarchives.com/players/t/tasi00200.html
Steve,Tasker Dodge City CC; Northwestern,14,1985,1997,169,https://www.profootballarchives.com/players/t/task00200.html
Damon,Tassos Texas A&M,5,1945,1949,55,https://www.profootballarchives.com/players/t/tass00200.html
Bob,Tatarek Miami (Florida),6,1968,1972,49,https://www.profootballarchives.com/players/t/tata00200.html
Auden,Tate Florida State,4,2018,2021,35,https://www.profootballarchives.com/players/t/tate00035.html
Ben,Tate Auburn,5,2011,2014,51,https://www.profootballarchives.com/players/t/tate00040.html
Brandon,Tate North Carolina,10,2009,2018,127,https://www.profootballarchives.com/players/t/tate00070.html
David,Tate Colorado,10,1988,1997,142,https://www.profootballarchives.com/players/t/tate00200.html
Frank,Tate North Carolina Central,1,1975,1975,4,https://www.profootballarchives.com/players/t/tate00400.html
Golden,Tate Notre Dame,12,2010,2020,160,https://www.profootballarchives.com/players/t/tate00510.html
John,Tate Jackson State,1,1976,1976,2,https://www.profootballarchives.com/players/t/tate00600.html
Lars,Tate Georgia,3,1988,1990,33,https://www.profootballarchives.com/players/t/tate00800.html
Robert,Tate Cincinnati,9,1997,2006,116,https://www.profootballarchives.com/players/t/tate00900.html
Rodney,Tate Texas,3,1982,1984,28,https://www.profootballarchives.com/players/t/tate01000.html
Willy,Tate Oregon,2,1996,1998,14,https://www.profootballarchives.com/players/t/tate01200.html
Pete,Tatman Nebraska,1,1967,1967,5,https://www.profootballarchives.com/players/t/tatm00200.html
Jack,Tatum Ohio State,10,1971,1980,136,https://www.profootballarchives.com/players/t/tatu00200.html
Jess,Tatum North Carolina State,1,1938,1938,5,https://www.profootballarchives.com/players/t/tatu00400.html
Kinnon,Tatum Notre Dame,2,1997,1998,31,https://www.profootballarchives.com/players/t/tatu00500.html
Lofa,Tatupu Maine; Southern California,6,2005,2010,84,https://www.profootballarchives.com/players/t/tatu00570.html
Mosi,Tatupu Southern California,14,1978,1991,199,https://www.profootballarchives.com/players/t/tatu00600.html
Josiah,Tauaefa Texas-San Antonio,1,2019,2019,12,https://www.profootballarchives.com/players/t/taua00400.html
Will,Ta'ufo'ou California,3,2012,2014,38,https://www.profootballarchives.com/players/t/tauf00200.html
Biff,Taugher Carroll (Wisconsin); Marquette,1,1922,1922,2,https://www.profootballarchives.com/players/t/taug00200.html
Pita,Taumoepenu Utah,4,2017,2021,9,https://www.profootballarchives.com/players/t/taum00200.html
Terry,Tausch Texas,8,1982,1989,90,https://www.profootballarchives.com/players/t/taus00200.html
Mark,Tauscher Wisconsin,11,2000,2010,134,https://www.profootballarchives.com/players/t/taus00400.html
Junior,Tautalatasi Chabot JC; Washington State,4,1986,1989,51,https://www.profootballarchives.com/players/t/taut00200.html
John,Tautolo UCLA,3,1982,1987,10,https://www.profootballarchives.com/players/t/taut00400.html
Terry,Tautolo Long Beach CC; UCLA,10,1976,1984,104,https://www.profootballarchives.com/players/t/taut00600.html
Jahlani,Tavai Hawaii,6,2019,2024,95,https://www.profootballarchives.com/players/t/tava00080.html
J.R.,Tavai Southern California,1,2015,2015,4,https://www.profootballarchives.com/players/t/tava00100.html
Giorgio,Tavecchio California,2,2017,2018,19,https://www.profootballarchives.com/players/t/tave00100.html
John,Tavener Indiana,1,1946,1946,2,https://www.profootballarchives.com/players/t/tave00200.html
Josh,Taves Northeastern,3,2000,2002,29,https://www.profootballarchives.com/players/t/tave00400.html
Aaron,Taylor Notre Dame,5,1995,1999,75,https://www.profootballarchives.com/players/t/tayl00100.html
Adarius,Taylor Eastern Arizona JC; Florida Atlantic,7,2014,2020,88,https://www.profootballarchives.com/players/t/tayl00155.html
Alex,Taylor Appalachian State; South Carolina State,3,2020,2022,4,https://www.profootballarchives.com/players/t/tayl00191.html
Alontae,Taylor Tennessee,3,2022,2024,47,https://www.profootballarchives.com/players/t/tayl00195.html
Alphonso,Taylor Temple,1,1993,1993,3,https://www.profootballarchives.com/players/t/tayl00200.html
Altie,Taylor Diablo Valley JC; Utah State,8,1969,1976,102,https://www.profootballarchives.com/players/t/tayl00400.html
