Name,College,Years_Played,First_Season,Last_Season,Games_Played,Games_Started,Link
Player College,Years,First,Last,GP,GS,0,No Link
Sammy Vacanti,Iowa;,Purdue;,Nebraska,4,1947,1949,https://www.profootballarchives.com/players/v/vaca00200.html
Kenny Vaccaro,Texas,8,2013,2020,110,109,https://www.profootballarchives.com/players/v/vacc00350.html
Ted Vactor,Nebraska,6,1969,1975,69,0,https://www.profootballarchives.com/players/v/vact00200.html
Destiny Vaeao,Washington,State,3,2016,2018,33,https://www.profootballarchives.com/players/v/vaea00200.html
Pete Vainowski,none,1,1926,1926,1,1,https://www.profootballarchives.com/players/v/vain00200.html
Dom Vairo,Notre,Dame,1,1935,1935,1,https://www.profootballarchives.com/players/v/vair00200.html
Halapoulivaati Vaitai,Texas,Christian,7,2016,2023,86,https://www.profootballarchives.com/players/v/vait00200.html
Sione Vaki,Utah,1,2024,2024,16,0,https://www.profootballarchives.com/players/v/vaki00200.html
Vern Valdez,Antelope,Valley,JC;,Cal,Poly,(San,https://www.profootballarchives.com/players/v/vald00200.html
Marquez Valdes-Scantling,North,Carolina,State;,South,Florida,8,https://www.profootballarchives.com/players/v/vald00400.html
Carrington Valentine,Kentucky,2,2023,2024,32,20,https://www.profootballarchives.com/players/v/vale00180.html
Ira Valentine,Texas,A&M,1,1987,1987,7,https://www.profootballarchives.com/players/v/vale00200.html
Vincent Valentine,Nebraska,2,2016,2018,16,2,https://www.profootballarchives.com/players/v/vale00380.html
Zack Valentine,East,Carolina,4,1979,1982,56,https://www.profootballarchives.com/players/v/vale00400.html
Joe Valerio,Pennsylvania,5,1992,1996,62,4,https://www.profootballarchives.com/players/v/vale00600.html
Xazavian Valladay,Wyoming;,Arizona,State,1,2023,2023,https://www.profootballarchives.com/players/v/vall00050.html
Tanner Vallejo,Boise,State,7,2017,2022,82,https://www.profootballarchives.com/players/v/vall00180.html
Hakeem Valles,Monmouth,(New,Jersey),3,2016,2018,https://www.profootballarchives.com/players/v/vall00210.html
Emilio Vallez,New,Mexico,2,1968,1969,9,https://www.profootballarchives.com/players/v/vall00400.html
Steve Vallos,Wake,Forest,7,2008,2013,59,https://www.profootballarchives.com/players/v/vall01000.html
Jeremiah Valoaga,Nevada-Las,Vegas,2,2017,2019,13,https://www.profootballarchives.com/players/v/valo00050.html
Norm Van,Brocklin,Oregon,12,1949,1960,140,https://www.profootballarchives.com/players/v/vanb00200.html
Courtney Van,Buren,Arkansas-Pine,Bluff,2,2003,2004,https://www.profootballarchives.com/players/v/vanb00370.html
Ebert Van,Buren,Louisiana,State,3,1951,1953,https://www.profootballarchives.com/players/v/vanb00400.html
Steve Van,Buren,Louisiana,State,8,1944,1951,https://www.profootballarchives.com/players/v/vanb00600.html
Eric Vance,Vanderbilt,5,1998,2002,35,1,https://www.profootballarchives.com/players/v/vanc00180.html
Joe Vance,Texas,State;,Texas,1,1931,1931,https://www.profootballarchives.com/players/v/vanc00200.html
Ryan Van,Demark,Connecticut,2,2023,2024,26,https://www.profootballarchives.com/players/v/vand00030.html
Kyle Vanden,Bosch,Nebraska,11,2001,2012,152,https://www.profootballarchives.com/players/v/vand00090.html
Matt Vanderbeek,Michigan,State,7,1990,1996,81,https://www.profootballarchives.com/players/v/vand00130.html
Skip Vanderbundt,Oregon,State,10,1969,1978,134,https://www.profootballarchives.com/players/v/vand00200.html
Eddie Vanderdoes,UCLA,2,2017,2019,19,13,https://www.profootballarchives.com/players/v/vand00270.html
Leighton Vander,Esch,Boise,State,6,2018,2023,https://www.profootballarchives.com/players/v/vand00290.html
Mike Vanderjagt,Allan,Hancock,JC;,West,Virginia,9,https://www.profootballarchives.com/players/v/vand00380.html
Ron Vander,Kelen,Wisconsin,5,1963,1967,29,https://www.profootballarchives.com/players/v/vand00400.html
Jason Vander,Laan,Ferris,State,2,2017,2019,https://www.profootballarchives.com/players/v/vand00570.html
George Vanderloo,Iowa,State,1,1921,1921,3,https://www.profootballarchives.com/players/v/vand00600.html
Mark Vander,Poel,Colorado,2,1991,1992,23,https://www.profootballarchives.com/players/v/vand00700.html
Phil Vandersea,Massachusetts,4,1966,1969,46,0,https://www.profootballarchives.com/players/v/vand00800.html
Julian Vandervelde,Iowa,4,2011,2015,18,0,https://www.profootballarchives.com/players/v/vand00850.html
Al Vandeweghe,William,&,Mary,1,1946,1946,https://www.profootballarchives.com/players/v/vand01000.html
Randy Van,Divier,Washington,1,1981,1981,16,https://www.profootballarchives.com/players/v/vand01200.html
Bob Van,Doren,Southern,California,1,1953,1953,https://www.profootballarchives.com/players/v/vand01400.html
Bob Van,Duyne,Idaho,7,1974,1980,88,https://www.profootballarchives.com/players/v/vand01600.html
Alex Van,Dyke,Sacramento,CC;,Nevada-Reno,5,1996,https://www.profootballarchives.com/players/v/vand01700.html
Bruce Van,Dyke,Missouri,11,1966,1976,128,https://www.profootballarchives.com/players/v/vand01800.html
DeMarcus Van,Dyke,Miami,(Florida),3,2011,2013,https://www.profootballarchives.com/players/v/vand01850.html
Jimmy Van,Dyke,none,3,1921,1923,5,https://www.profootballarchives.com/players/v/vand02000.html
Ralph Van,Dyke,Southern,Illinois,1,1987,1987,https://www.profootballarchives.com/players/v/vand02200.html
Chase Van,Dyne,Missouri,1,1925,1925,7,https://www.profootballarchives.com/players/v/vand02400.html
Mark van,Eeghen,Colgate,10,1974,1983,136,https://www.profootballarchives.com/players/v/vane00200.html
Hal Van,Every,Minnesota,2,1940,1941,21,https://www.profootballarchives.com/players/v/vane00400.html
Tim Van,Galder,New,Mexico,Military,Institute,JC;,https://www.profootballarchives.com/players/v/vang00400.html
Andrew Van,Ginkel,South,Dakota;,Iowa,Western,CC;,https://www.profootballarchives.com/players/v/vang00650.html
Billy Van,Heusen,Maryland,9,1968,1976,109,https://www.profootballarchives.com/players/v/vanh00200.html
Charlie Van,Horn,Washington,&,Lee,2,1927,https://www.profootballarchives.com/players/v/vanh00400.html
Doug Van,Horn,Ohio,State,13,1966,1979,https://www.profootballarchives.com/players/v/vanh00600.html
Keith Van,Horne,Southern,California,13,1981,1993,https://www.profootballarchives.com/players/v/vanh00800.html
Sean Vanhorse,Howard,5,1992,1996,70,20,https://www.profootballarchives.com/players/v/vanh01000.html
