Name,College,Years_Played,First_Season,Last_Season,Games_Played,Games_Started,Link
Michael,Waddell North Carolina,3,2004,2008,33,https://www.profootballarchives.com/players/w/wadd00330.html
Reggie,Waddell Dodge City CC; Texas A&M; Western Illinois,1,2001,2001,1,https://www.profootballarchives.com/players/w/wadd00350.html
Jaylen,Waddle Alabama,4,2021,2024,62,https://www.profootballarchives.com/players/w/wadd00357.html
LaAdrian,Waddle Texas Tech,7,2013,2018,61,https://www.profootballarchives.com/players/w/wadd00360.html
Tom,Waddle Boston College,6,1989,1994,60,https://www.profootballarchives.com/players/w/wadd00400.html
Billy,Waddy Colorado,7,1977,1984,75,https://www.profootballarchives.com/players/w/wadd00600.html
Jude,Waddy William & Mary,2,1998,1999,27,https://www.profootballarchives.com/players/w/wadd00700.html
Ray,Waddy Wharton County JC; Texas A&M-Kingsville,2,1979,1980,23,https://www.profootballarchives.com/players/w/wadd00800.html
Barrington,Wade Iowa,1,2021,2021,4,https://www.profootballarchives.com/players/w/wade00150.html
Billy,Wade Vanderbilt,13,1954,1966,129,https://www.profootballarchives.com/players/w/wade00200.html
Bob,Wade Morgan State,3,1968,1970,30,https://www.profootballarchives.com/players/w/wade00400.html
Bobby,Wade Arizona,8,2003,2009,102,https://www.profootballarchives.com/players/w/wade00470.html
Charlie,Wade Tennessee State,3,1974,1977,21,https://www.profootballarchives.com/players/w/wade00600.html
Jim,Wade Oklahoma City,1,1949,1949,12,https://www.profootballarchives.com/players/w/wade00800.html
John,Wade Marshall,11,1998,2008,131,https://www.profootballarchives.com/players/w/wade00900.html
Jonathan,Wade Tennessee,6,2007,2011,61,https://www.profootballarchives.com/players/w/wade00930.html
Shaun,Wade Ohio State,3,2021,2023,20,https://www.profootballarchives.com/players/w/wade01090.html
Todd,Wade Mississippi,8,2000,2007,99,https://www.profootballarchives.com/players/w/wade01150.html
Tommy,Wade Texas,2,1964,1965,5,https://www.profootballarchives.com/players/w/wade01200.html
Trevin,Wade Arizona,4,2012,2016,47,https://www.profootballarchives.com/players/w/wade01400.html
