Name,College,Years_Played,First_Season,Last_Season,Games_Played,Games_Started,Link
Izzy,Yablok Colgate,3,1930,1931,20,https://www.profootballarchives.com/players/y/yabl00200.html
Vinnie,Yablonski Fordham; Columbia,4,1948,1951,39,https://www.profootballarchives.com/players/y/yabl00600.html
John,Yaccino Pittsburgh,1,1962,1962,3,https://www.profootballarchives.com/players/y/yacc00200.html
Joe,Yackanich Fordham,3,1946,1948,27,https://www.profootballarchives.com/players/y/yack00200.html
Ray,Yagiello Franklin & Marshall; Catawba,2,1948,1949,24,https://www.profootballarchives.com/players/y/yagi00200.html
Ray,Yakavonis East Stroudsburg,4,1981,1983,21,https://www.profootballarchives.com/players/y/yaka00200.html
Bashir,Yamini Iowa,1,2000,2000,6,https://www.profootballarchives.com/players/y/yami00100.html
Bill,Yanchar Purdue,1,1970,1970,5,https://www.profootballarchives.com/players/y/yanc00200.html
Carlos,Yancy Georgia,1,1995,1995,4,https://www.profootballarchives.com/players/y/yanc00800.html
Marshal,Yanda North Iowa Area CC; Iowa,13,2007,2019,177,https://www.profootballarchives.com/players/y/yand00100.html
David,Yankey Stanford,1,2016,2016,6,https://www.profootballarchives.com/players/y/yank00160.html
Colson,Yankoff Washington; UCLA,1,2024,2024,6,https://www.profootballarchives.com/players/y/yank00180.html
Ron,Yankowski Northeastern Oklahoma A&M JC; Kansas State,10,1971,1980,128,https://www.profootballarchives.com/players/y/yank00200.html
Eric,Yarber Los Angeles Valley JC; Idaho,2,1986,1987,14,https://www.profootballarchives.com/players/y/yarb00200.html
Ryan,Yarborough Wyoming,4,1994,1998,51,https://www.profootballarchives.com/players/y/yarb00300.html
Eddie,Yarbrough Wyoming,4,2017,2021,38,https://www.profootballarchives.com/players/y/yarb00345.html
Jim,Yarbrough Florida,9,1969,1977,112,https://www.profootballarchives.com/players/y/yarb00400.html
Jim,Yarbrough Murray State,1,1987,1987,3,https://www.profootballarchives.com/players/y/yarb00600.html
George,Yarno Washington State,10,1979,1989,136,https://www.profootballarchives.com/players/y/yarn00200.html
John,Yarno Idaho,6,1977,1982,74,https://www.profootballarchives.com/players/y/yarn00400.html
Tommy,Yarr Notre Dame,1,1933,1933,8,https://www.profootballarchives.com/players/y/yarr00200.html
Ron,Yary Cerritos JC; Southern California,15,1968,1982,207,https://www.profootballarchives.com/players/y/yary00200.html
Rock,Ya-Sin Presbyterian; Temple,6,2019,2024,80,https://www.profootballarchives.com/players/y/yasi00200.html
Billy,Yates Texas A&M,7,2003,2010,41,https://www.profootballarchives.com/players/y/yate00150.html
Bob,Yates Syracuse,5,1961,1965,68,https://www.profootballarchives.com/players/y/yate00200.html
Max,Yates Marshall,1,2004,2004,1,https://www.profootballarchives.com/players/y/yate00370.html
T.J.,Yates North Carolina,6,2011,2017,22,https://www.profootballarchives.com/players/y/yate00390.html
Howie,Yeager UC Santa Barbara,1,1941,1941,10,https://www.profootballarchives.com/players/y/yeag00200.html
Jim,Yeager Lehigh,1,1926,1926,10,https://www.profootballarchives.com/players/y/yeag00400.html
Bill,Yearby Michigan,1,1966,1966,9,https://www.profootballarchives.com/players/y/year00200.html
