Jersey Number,Player,Position,Date_of_Birth,Age,Height,Weight,School,Years_In_NFL
QB,"Murray, Kyler",1,08/07/1997,27,"5' 10""",207,Oklahoma,7
QB,"Tune, Clayton",15,03/23/1999,25,"6' 02""",220,Houston,3
RB,"Benson, Trey",33,07/23/2002,22,"6' 00""",223,Florida State,2
RB,"Carter, Michael",22,05/07/1999,25,"5' 08""",201,North Carolina,4
RB,"Conner, James",6,05/05/1995,29,"6' 01""",233,Pittsburgh,9
RB,"Dallas, DeeJay",20,09/16/1998,26,"5' 10""",214,Miami,6
RB,"Demercado, Emari",31,01/20/1999,26,"5' 09""",215,TCU,3
RB,"Knight, Bam",,04/11/2001,23,"5' 11""",210,North Carolina State,4
WR,"Dortch, Greg",4,05/29/1998,26,"5' 07""",175,Wake Forest,5
WR,"Harrison Jr., Marvin",18,08/11/2002,22,"6' 03""",205,Ohio State,2
WR,"Jones, Zay",17,03/30/1995,29,"6' 02""",200,East Carolina,9
WR,"Pascal, Zach",0,12/18/1994,30,"6' 02""",215,Old Dominion,8
WR,"Weaver, Xavier",89,10/12/2000,24,"6' 00""",180,Colorado,2
WR,"Wilson, Michael",14,02/23/2000,25,"6' 02""",213,Stanford,3
WR,"Baccellia, Andre",82,01/07/1997,28,"5' 09""",175,Washington,2
WR,"Jackson, Trishton",,03/09/1998,26,"6' 01""",191,Syracuse,4
WR,"Palmer, Tejhaun",83,05/19/2000,24,"6' 02""",210,UAB,1
WR,"Watkins, Quez",,06/09/1998,26,"6' 00""",193,Southern Miss,4
TE,"Higgins, Elijah",84,10/27/2000,24,"6' 03""",235,Stanford,3
TE,"McBride, Trey",85,11/22/1999,25,"6' 04""",246,Colorado State,4
TE,"Reiman, Tip",87,09/17/2001,23,"6' 05""",273,Illinois,2
TE,"Vokolek, Travis",81,06/04/1998,26,"6' 06""",260,Nebraska,2
TE,"Seikovits, Bernhard",47,07/24/1997,27,"6' 05""",262,No College,1
OG,"Adams, Isaiah",74,07/21/2000,24,"6' 04""",316,Illinois,2
S,"Baker, Budda",3,01/10/1996,29,"5' 10""",195,Washington,9
ILB,"Barnes, Krys",51,04/02/1998,26,"6' 02""",229,UCLA,6
OT/OG,"Barton, Jackson",66,08/08/1995,29,"6' 07""",302,Utah,5
OT,"Beachum, Kelvin",68,06/08/1989,35,"6' 03""",308,SMU,14
S,"Blount, Joey",32,11/16/1998,26,"6' 01""",201,Virginia,4
LS,"Brewer, Aaron",46,07/05/1990,34,"6' 05""",232,San Diego State,14
OC/OG,"Brown, Evan",62,09/16/1996,28,"6' 02""",320,SMU,7
OLB,"Browning, Baron",53,02/19/1999,26,"6' 03""",240,Ohio State,5
S,"Chachere, Andre",36,02/10/1996,29,"6' 00""",197,San Jose State,4
CB,"Clark, Kei'Trel",13,03/19/2001,23,"5' 10""",181,Louisville,3
DE,"Collier, L.J.",91,09/12/1995,29,"6' 02""",291,TCU,7
OLB,"Collins, Zaven",25,05/19/1999,25,"6' 05""",260,Tulsa,5
OC/OG,"Colon, Trystan",63,03/23/1998,26,"6' 03""",313,Missouri,6
OLB,"Dimukeje, Victor",52,11/18/1999,25,"6' 01""",262,Duke,5
ILB,"Eifler, Milo",48,02/13/1998,27,"6' 02""",225,Illinois,3
OC,"Froholdt, Hjalte",72,08/20/1996,28,"6' 05""",310,Arkansas,7
OC/OG,"Gaines II, Jon",59,05/24/1999,25,"6' 04""",303,UCLA,3
OLB,"Gardeck, Dennis",45,08/09/1994,30,"6' 00""",232,Sioux Falls,8
PT,"Gillikin, Blake",12,01/21/1998,27,"6' 02""",196,Penn State,6
OG,"Hernandez, Will",76,09/02/1995,29,"6' 02""",332,UTEP,8
OT,"Johnson Jr., Paris",70,07/03/2001,23,"6' 06""",313,Ohio State,3
OT,"Jones, Christian",75,05/12/2000,24,"6' 05""",318,Texas,2
CB,"Jones, Elijah",28,01/08/2000,25,"6' 01""",184,Boston College,2
