Jersey Number,Player,Position,Date_of_Birth,Age,Height,Weight,School,Years_In_NFL
QB,"Browning, Jake",6,04/11/1996,28,"6' 02""",209,Washington,2
QB,"Burrow, Joe",9,12/10/1996,28,"6' 03""",215,LSU,5
RB,"Brown, Chase",30,11/25/2000,24,"5' 09""",210,Illinois,2
RB,"Evans, Chris",25,10/05/1997,27,"5' 11""",215,Michigan,4
RB,"Herbert, Khalil",34,04/21/1998,26,"5' 09""",212,Virginia Tech,4
RB,"Milton, Kendall",36,02/10/2002,23,"6' 01""",230,Georgia,R
RB,"Moss, Zack",31,12/15/1997,27,"5' 09""",220,Utah,5
RB,"Williams, Trayveon",32,10/18/1997,27,"5' 08""",210,Texas A&M,6
RB,"Brightwell, Gary",44,02/28/1999,26,"5' 11""",218,Arizona,4
WR,"Burton, Jermaine",81,06/28/2001,23,"6' 00""",204,Alabama,R
WR,"Chase, Ja'Marr",1,03/01/2000,25,"6' 00""",205,LSU,4
WR,"Higgins, Tee",5,01/18/1999,26,"6' 04""",220,Clemson,5
WR,"Iosivas, Andrei",80,10/15/1999,25,"6' 03""",210,Princeton,2
WR,"Jones, Charlie",15,10/29/1998,26,"5' 11""",190,Purdue,2
WR,"Williams, Isaiah",18,01/29/2001,24,"5' 09""",185,Illinois,R
WR,"Burgess, Cole",17,02/11/2000,25,"6' 00""",198,SUNY Cortland,R
WR,"Pryor, Kendric",19,01/06/1998,27,"5' 11""",189,Wisconsin,2
WR,"Tinsley, Mitchell",,09/15/1999,25,"6' 00""",205,Penn State,2
TE,"All Jr., Erick",83,09/13/2000,24,"6' 04""",255,Iowa,R
TE,"Gesicki, Mike",88,10/03/1995,29,"6' 05""",245,Penn State,7
TE,"Grandy, Cam",85,11/19/2000,24,"6' 05""",253,Illinois State,R
TE,"Hudson, Tanner",87,11/12/1994,30,"6' 05""",241,Southern Arkansas,5
TE,"McLachlan, Tanner",84,03/15/1999,25,"6' 05""",244,Arizona,R
TE,"Sample, Drew",89,04/16/1996,28,"6' 05""",260,Washington,6
LS,"Adomitis, Cal",48,07/09/1998,26,"6' 02""",238,Pittsburgh,3
S,"Anderson, Tycen",26,06/13/1999,25,"6' 02""",205,Toledo,3
S,"Anthony, Daijahn",33,09/09/2000,24,"6' 00""",200,Mississippi,R
LB,"Bachie, Joe",49,02/26/1998,27,"6' 01""",235,Michigan State,5
S,"Battle, Jordan",27,12/14/2000,24,"6' 01""",215,Alabama,2
S,"Bell, Vonn",24,12/12/1994,30,"5' 11""",210,Ohio State,9
