Jersey Number,Player,Position,Date_of_Birth,Age,Height,Weight,School,Years_In_NFL
QB,"Grier, Will",16,04/03/1995,29,"6' 02""",220,West Virginia,6
QB,"Lance, Trey",19,05/09/2000,24,"6' 04""",226,North Dakota State,4
QB,"Prescott, Dak",4,07/29/1993,31,"6' 02""",238,Mississippi State,9
QB,"Rush, Cooper",10,11/21/1993,31,"6' 03""",225,Central Michigan,7
RB,"Dowdle, Rico",23,06/14/1998,26,"5' 11""",215,South Carolina,5
RB,"Vaughn, Deuce",42,11/02/2001,23,"5' 06""",176,Kansas State,2
RB,"Davis, Malik",34,11/26/1998,26,"5' 11""",202,Florida,2
WR,"Brooks, Jalen",83,05/07/2000,24,"6' 01""",205,South Carolina,2
WR,"Cooks, Brandin",3,09/25/1993,31,"5' 10""",189,Oregon State,11
WR,"Flournoy, Ryan",80,10/27/1999,25,"6' 01""",200,SE Missouri State,R
WR,"Lamb, CeeDee",88,04/08/1999,25,"6' 02""",200,Oklahoma,5
WR,"Mingo, Jonathan",81,04/20/2001,23,"6' 01""",220,Mississippi,2
WR,"Tolbert, Jalen",1,02/27/1999,26,"6' 01""",195,South Alabama,3
WR,"Turpin, KaVontae",9,08/02/1996,28,"5' 09""",153,TCU,3
WR,"Cropper, Jalen",16,05/03/2001,23,"5' 11""",172,Fresno State,1
WR,"Harmon, Kelvin",84,12/15/1996,28,"6' 02""",215,North Carolina State,3
WR,"Williams, Seth",13,04/10/2000,24,"6' 03""",211,Auburn,1
TE,"Fant, Princeton",85,03/11/1999,25,"6' 01""",235,Tennessee,1
TE,"Ferguson, Jake",87,01/18/1999,26,"6' 05""",244,Wisconsin,3
TE,"Schoonmaker, Luke",86,09/28/1998,26,"6' 05""",250,Michigan,2
TE,"Spann-Ford, Brevyn",89,12/27/1999,25,"6' 06""",270,Minnesota,R
TE,"Stephens Jr., John",81,09/23/1999,25,"6' 04""",221,Louisiana,2
PT,"Anger, Bryan",5,10/06/1988,36,"6' 04""",202,California,13
PK,"Aubrey, Brandon",17,03/14/1995,29,"6' 03""",218,Notre Dame,2
OG,"Bass, T.J.",66,03/31/1999,25,"6' 04""",325,Oregon,2
OC,"Beebe, Cooper",56,05/19/2001,23,"6' 03""",335,Kansas State,R
S,"Bell, Markquese",14,01/06/1999,26,"6' 02""",205,Florida A&M,3
