Jersey Number,Player,Position,Date_of_Birth,Age,Height,Weight,School,Years_In_NFL
QB,"Bridgewater, Teddy",12,11/10/1992,32,"6' 02""",212,Louisville,10
QB,"Goff, Jared",16,10/14/1994,30,"6' 04""",217,California,9
QB,"Hooker, Hendon",2,01/13/1998,27,"6' 04""",220,Tennessee,2
QB,"Fromm, Jake",18,07/30/1998,26,"6' 02""",215,Georgia,3
RB,"Gibbs, Jahmyr",26,03/20/2002,22,"5' 09""",202,Alabama,2
RB,"Montgomery, David",5,06/07/1997,27,"5' 10""",230,Iowa State,6
RB,"Reynolds, Craig",13,06/15/1996,28,"5' 11""",216,Kutztown,3
RB,"Vaki, Sione",33,07/30/2001,23,"5' 11""",213,Utah,R
WR,"Green, Antoine",,11/15/1999,25,"6' 02""",200,North Carolina,2
WR,"Patrick, Tim",17,11/23/1993,31,"6' 04""",210,Utah,7
WR,"Raymond, Kalif",11,08/08/1994,30,"5' 08""",180,Holy Cross,8
WR,"Robinson, Allen",8,08/24/1993,31,"6' 03""",210,Penn State,11
WR,"St. Brown, Amon-Ra",14,10/24/1999,25,"5' 11""",202,USC,4
WR,"Williams, Jameson",9,03/26/2001,23,"6' 01""",180,Alabama,3
WR,"Bell, Ronnie",,01/28/2000,25,"6' 00""",190,Michigan,2
WR,"Kennedy, Tom",85,07/29/1996,28,"5' 10""",195,Bryant,3
TE,"LaPorta, Sam",87,01/12/2001,24,"6' 04""",245,Iowa,2
TE,"Wright, Brock",89,11/27/1998,26,"6' 05""",254,Notre Dame,4
TE,"Zylstra, Shane",84,11/16/1996,28,"6' 04""",244,Minnesota State-Mankato,3
DT,"Adams, Myles",66,03/09/1998,26,"6' 02""",290,Rice,3
DE,"Agude, Mitchell",50,03/10/1999,25,"6' 04""",250,Miami,1
LB,"Anzalone, Alex",34,09/22/1994,30,"6' 03""",238,Florida,8
CB,"Arnold, Terrion",0,03/22/2003,21,"6' 00""",198,Alabama,R
OG,"Awosika, Kayode",74,10/27/1998,26,"6' 03""",322,Buffalo,3
PK,"Badgley, Michael",,07/28/1995,29,"5' 10""",188,Miami,6
LB,"Barnes, Derrick",55,05/29/1999,25,"6' 00""",240,Purdue,4
PK,"Bates, Jake",39,03/03/1999,25,"5' 10""",202,Arkansas,1
S,"Branch, Brian",32,10/22/2001,23,"6' 00""",203,Alabama,2
LB,"Campbell, Jack",46,08/22/2000,24,"6' 05""",246,Iowa,2
DE,"Cominsky, John",79,11/22/1995,29,"6' 05""",285,Charleston,6
DE,"Davenport, Marcus",92,09/04/1996,28,"6' 06""",285,UTSA,7
CB,"Davis, Carlton",23,12/31/1996,28,"6' 01""",202,Auburn,7
OT,"Decker, Taylor",68,08/23/1994,30,"6' 07""",318,Ohio State,9
