Jersey Number,Player,Position,Date_of_Birth,Age,Height,Weight,School,Years_In_NFL
QB,"Keenum, Case",18,02/17/1988,37,"6' 01""",215,Houston,12
QB,"Mills, Davis",10,10/21/1998,26,"6' 04""",225,Stanford,4
QB,"Stroud, C.J.",7,10/03/2001,23,"6' 03""",218,Ohio State,2
QB,"Slovis, Kedon",16,04/11/2001,23,"6' 02""",223,BYU,R
RB,"Mixon, Joe",28,07/24/1996,28,"6' 01""",220,Oklahoma,8
RB,"Ogunbowale, Dare",33,05/04/1994,30,"5' 11""",205,Wisconsin,6
RB,"Pierce, Dameon",31,02/19/2000,25,"5' 10""",215,Florida,3
RB,"Jordan, Jawhar",22,08/18/1999,25,"5' 09""",186,Louisville,R
RB,"Taylor, J.J.",26,01/04/1998,27,"5' 06""",185,Arizona,3
WR,"Collins, Nico",12,03/19/1999,25,"6' 04""",222,Michigan,4
WR,"Dell, Tank",3,10/29/1999,25,"5' 08""",165,Houston,2
WR,"Diggs, Stefon",1,11/29/1993,31,"6' 00""",191,Maryland,10
WR,"Hutchinson, Xavier",19,06/01/2000,24,"6' 02""",210,Iowa State,2
WR,"Metchie III, John",8,07/18/2000,24,"5' 11""",195,Alabama,2
WR,"Wayne, Jared",14,10/07/2000,24,"6' 03""",210,Pittsburgh,1
WR,"Woods, Robert",2,04/10/1992,32,"6' 00""",193,USC,12
WR,"Jackson, Kearis",,12/09/1999,25,"5' 11""",196,Georgia,2
WR,"Johnson, Xavier",89,05/11/1999,25,"6' 01""",204,Ohio State,R
WR,"Johnson III, Johnny",88,05/04/1999,25,"6' 00""",199,Oregon,1
TE,"Jordan, Brevin",9,07/16/2000,24,"6' 03""",245,Miami,4
TE,"Keene, Dalton",40,04/14/1999,25,"6' 04""",251,Virginia Tech,2
TE,"Quitoriano, Teagan",85,03/15/2000,24,"6' 06""",259,Oregon State,3
TE,"Schultz, Dalton",86,07/11/1996,28,"6' 05""",242,Stanford,7
TE,"Smith, Irv",83,08/09/1998,26,"6' 02""",242,Alabama,6
TE,"Stover, Cade",87,06/12/2000,24,"6' 04""",251,Ohio State,R
LB,"Al-Shaair, Azeez",0,08/04/1997,27,"6' 01""",228,Florida Atlantic,6
DE,"Anderson Jr., Will",51,09/02/2001,23,"6' 03""",243,Alabama,2
DE,"Autry, Denico",96,07/15/1990,34,"6' 05""",285,Mississippi State,11
DE,"Barnett, Derek",95,06/25/1996,28,"6' 03""",259,Tennessee,8
CB,"Boyd, Kris",17,09/12/1996,28,"5' 11""",201,Texas,6
OT/OG,"Broeker, Nick",64,10/07/2000,24,"6' 04""",305,Mississippi,2
FB,"Brooks, British",44,11/18/1999,25,"5' 10""",225,North Carolina,R
CB,"Bryant, Myles",27,01/02/1998,27,"5' 08""",185,Washington,5
S,"Bullock, Calen",21,04/30/2003,21,"6' 02""",190,USC,R
OT,"Deculus, Austin",75,03/12/1999,25,"6' 05""",321,LSU,3
DT,"Edwards Jr., Mario",97,04/19/1994,30,"6' 03""",280,Florida State,10
PK,"Fairbairn, Ka'imi",15,01/29/1994,31,"5' 11""",183,UCLA,9
DT,"Fatukasi, Folorunso",91,03/04/1995,29,"6' 04""",318,Connecticut,7
OT,"Fisher, Blake",57,11/25/2000,24,"6' 06""",312,Notre Dame,R
