Jersey Number,Player,Position,Date_of_Birth,Age,Height,Weight,School,Years_In_NFL
QB,"Ehlinger, Sam",4,09/30/1998,26,"6' 01""",225,Texas,4
QB,"Flacco, Joe",15,01/16/1985,40,"6' 06""",230,Delaware,18
QB,"Richardson, Anthony",5,05/22/2001,23,"6' 04""",244,Florida,2
RB,"Goodson, Tyler",31,11/10/2000,24,"5' 09""",197,Iowa,2
RB,"Sermon, Trey",27,01/30/1999,26,"6' 00""",215,Ohio State,4
RB,"Taylor, Jonathan",28,01/19/1999,26,"5' 10""",226,Wisconsin,5
RB,"Ahmed, Salvon",36,12/29/1998,26,"5' 11""",196,Washington,5
WR,"Downs, Josh",1,08/12/2001,23,"5' 10""",171,North Carolina,2
WR,"Dulin, Ashton",16,05/15/1997,27,"6' 01""",215,Malone,6
WR,"Gould, Anthony",6,04/06/2001,23,"5' 08""",174,Oregon State,R
WR,"Mitchell, Adonai",10,10/08/2002,22,"6' 01""",205,Texas,R
WR,"Pierce, Alec",14,05/02/2000,24,"6' 03""",211,Cincinnati,3
WR,"Pittman Jr., Michael",11,10/05/1997,27,"6' 04""",223,USC,5
WR,"Winfree, Juwann",9,09/04/1996,28,"6' 01""",210,Colorado,4
WR,"Ajou, Ajou",,01/10/2002,23,"6' 02""",218,Garden City CC,1
WR,"Montgomery, D.J.",2,11/17/1996,28,"6' 01""",201,Austin Peay,4
WR,"Treadwell, Laquon",17,06/14/1995,29,"6' 02""",215,Mississippi,6
TE,"Alie-Cox, Mo",81,09/19/1993,31,"6' 05""",267,Virginia Commonwealth,7
TE,"Granson, Kylen",83,03/27/1998,26,"6' 01""",242,SMU,4
TE,"Mallory, Will",86,06/02/1999,25,"6' 05""",239,Miami,2
TE,"Ogletree, Drew",85,07/28/1998,26,"6' 05""",260,Youngstown State,3
TE,"Woods, Jelani",80,10/09/1998,26,"6' 07""",253,Virginia,3
TE,"McKeon, Sean",49,12/28/1997,27,"6' 05""",255,Michigan,5
TE,"Okwuegbunam, Albert",84,04/25/1998,26,"6' 05""",258,Missouri,5
DT,"Adebawore, Adetomiwa",95,03/04/2001,23,"6' 02""",282,Northwestern,2
S,"Blackmon, Julian",32,08/24/1998,26,"6' 00""",202,Utah,5
OG/OC,"Bortolini, Tanor",60,06/18/2002,22,"6' 04""",303,Wisconsin,R
CB,"Brents, JuJu",29,01/18/2000,25,"6' 03""",198,Kansas State,2
DT,"Bryan, Taven",96,03/11/1996,28,"6' 05""",291,Florida,7
DT,"Buckner, DeForest",99,03/17/1994,30,"6' 07""",295,Oregon,9
LB,"Carlies, Jaylon",57,09/13/2001,23,"6' 03""",227,Missouri,R
OC,"Coll, Ryan",,02/21/2001,24,"6' 05""",324,Richmond,R
S,"Cross, Nick",20,09/10/2001,23,"6' 00""",212,Maryland,3
